index,File,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclExecutableUnit,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountPath,CountPathLog,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,keyword_bugs,fastread_bugs
0,cantherm.py,2.0,2.0,2.0,1.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,69.0,12.0,14.0,5.0,9.0,43.0,2.0,0.0,14.0,5.0,9.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,3.07,2.0,2.0,2.0,1.0,0.0,0
1,conf.py,1.0,1.0,1.0,1.0,39.0,0.0,0.0,0.0,0.0,1.0,0.0,243.0,63.0,40.0,1.0,39.0,142.0,1.0,0.0,26.0,1.0,25.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3.55,1.0,1.0,1.0,1.0,25.0,32
2,switchover_pressure.py,3.0,3.0,3.0,1.0,34.0,0.0,0.0,0.0,0.0,1.0,0.0,63.0,18.0,37.0,3.0,34.0,8.0,4.0,1.0,37.0,3.0,34.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,1.0,1.0,0.22,3.0,3.0,3.0,1.0,0.0,0
5,cantherm_dimetpropoxy.py,1.0,1.0,1.0,1.0,20.0,0.0,0.0,0.0,0.0,1.0,0.0,30.0,7.0,20.0,0.0,20.0,3.0,1.0,0.0,12.0,0.0,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.15,1.0,1.0,1.0,1.0,11.0,15
6,dimetpropoxy.py,1.0,1.0,1.0,1.0,25.0,0.0,0.0,0.0,0.0,1.0,0.0,38.0,11.0,25.0,0.0,25.0,2.0,1.0,0.0,11.0,0.0,11.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.08,1.0,1.0,1.0,1.0,12.0,20
7,dimetpropoxy_betasci.py,1.0,1.0,1.0,1.0,25.0,0.0,0.0,0.0,0.0,1.0,0.0,37.0,10.0,25.0,0.0,25.0,2.0,1.0,0.0,11.0,0.0,11.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.08,1.0,1.0,1.0,1.0,12.0,20
8,ch3oh.py,1.0,1.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,1.0,0.0,32.0,11.0,19.0,0.0,19.0,3.0,1.0,0.0,9.0,0.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.16,1.0,1.0,1.0,1.0,12.0,20
9,hco.py,1.0,1.0,1.0,1.0,18.0,0.0,0.0,0.0,0.0,1.0,0.0,31.0,11.0,18.0,0.0,18.0,2.0,1.0,0.0,9.0,0.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.11,1.0,1.0,1.0,1.0,12.0,20
11,ts.py,1.0,1.0,1.0,1.0,16.0,0.0,0.0,0.0,0.0,1.0,0.0,28.0,10.0,16.0,0.0,16.0,3.0,1.0,0.0,10.0,0.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.19,1.0,1.0,1.0,1.0,12.0,20
12,TS.py,1.0,1.0,1.0,1.0,15.0,0.0,0.0,0.0,0.0,1.0,0.0,27.0,10.0,15.0,0.0,15.0,2.0,1.0,0.0,10.0,0.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.13,1.0,1.0,1.0,1.0,12.0,20
15,ethene.py,1.0,1.0,1.0,1.0,20.0,0.0,0.0,0.0,0.0,1.0,0.0,32.0,10.0,20.0,0.0,20.0,2.0,1.0,0.0,10.0,0.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.1,1.0,1.0,1.0,1.0,15.0,23
17,ethyl.py,1.0,1.0,1.0,1.0,25.0,0.0,0.0,0.0,0.0,1.0,0.0,37.0,10.0,25.0,0.0,25.0,2.0,1.0,0.0,11.0,0.0,11.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.08,1.0,1.0,1.0,1.0,12.0,20
