index,File,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclExecutableUnit,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountPath,CountPathLog,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,keyword_bugs,fastread_bugs
127,statmech.py,2.0,2.0,2.0,1.0,14.0,0.0,10.0,4.0,5.0,39.0,39.0,704.0,81.0,405.0,79.0,326.0,219.0,0.0,0.0,311.0,52.0,259.0,0.0,0.0,0.0,0.0,13.0,13.0,13.0,4.0,6.0,0.54,104.0,104.0,104.0,52.0,63.0,78
128,statmechfit.py,3.0,3.0,3.0,1.0,24.0,2.0,15.0,7.0,4.0,16.0,15.0,506.0,75.0,248.0,26.0,222.0,186.0,1.0,0.0,255.0,26.0,229.0,1.0,1.0,1.0,1.0,9.0,9.0,9.0,3.0,2.0,0.75,54.0,54.0,54.0,20.0,24.0,26
129,gauche.py,1.0,1.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,3.0,4.0,0.0,4.0,2.0,1.0,0.0,3.0,0.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,1.0,1.0,1.0,1.0,27.0,36
131,int15.py,1.0,1.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,2.0,4.0,0.0,4.0,2.0,1.0,0.0,3.0,0.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,1.0,1.0,1.0,1.0,15.0,20
132,other.py,1.0,1.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,3.0,4.0,0.0,4.0,2.0,1.0,0.0,3.0,0.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,1.0,1.0,1.0,1.0,17.0,22
133,polycyclic.py,1.0,1.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,2.0,4.0,0.0,4.0,2.0,1.0,0.0,3.0,0.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,1.0,1.0,1.0,1.0,2.0,6
134,radical.py,1.0,1.0,1.0,1.0,94.0,0.0,0.0,0.0,0.0,1.0,0.0,112.0,16.0,94.0,0.0,94.0,2.0,1.0,0.0,10.0,0.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.02,1.0,1.0,1.0,1.0,39.0,47
135,ring.py,1.0,1.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,2.0,4.0,0.0,4.0,2.0,1.0,0.0,3.0,0.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,1.0,1.0,1.0,1.0,18.0,23
136,thermo.py,3.0,3.0,3.0,2.0,24.0,2.0,16.0,6.0,4.0,50.0,49.0,1352.0,177.0,830.0,89.0,741.0,352.0,1.0,0.0,637.0,69.0,568.0,1.0,1.0,1.0,1.0,18.0,18.0,18.0,9.0,5.0,0.42,199.0,199.0,199.0,100.0,90.0,120
137,thermoTest.py,2.0,2.0,2.0,1.0,19.0,3.0,12.0,5.0,3.0,13.0,12.0,345.0,68.0,173.0,29.0,144.0,105.0,2.0,0.0,151.0,27.0,124.0,2.0,2.0,2.0,1.0,7.0,7.0,7.0,1.0,4.0,0.61,27.0,27.0,27.0,13.0,59.0,79
