index,File,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclExecutableUnit,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountPath,CountPathLog,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,Bugs,human_bugs
33,rmg.py,1.0,1.0,1.0,1.0,9.0,0.0,6.0,3.0,1.0,10.0,9.0,153.0,18.0,64.0,17.0,47.0,71.0,1.0,0.0,63.0,17.0,46.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,1.0,1.0,1.11,15.0,15.0,15.0,10.0,71.0,0
34,states.py,2.0,2.0,2.0,1.0,13.0,0.0,9.0,4.0,5.0,37.0,37.0,627.0,77.0,348.0,50.0,298.0,202.0,0.0,0.0,290.0,50.0,240.0,0.0,0.0,0.0,0.0,12.0,12.0,12.0,4.0,4.0,0.58,96.0,96.0,96.0,48.0,36.0,0
35,statesfit.py,3.0,3.0,3.0,1.0,24.0,2.0,15.0,7.0,4.0,16.0,15.0,506.0,75.0,248.0,26.0,222.0,186.0,1.0,0.0,255.0,26.0,229.0,1.0,1.0,1.0,1.0,9.0,9.0,9.0,3.0,2.0,0.75,54.0,54.0,54.0,20.0,4.0,0
38,kinetics.py,3.0,3.0,3.0,1.0,13.0,0.0,9.0,3.0,11.0,80.0,80.0,1525.0,234.0,741.0,101.0,640.0,553.0,0.0,0.0,743.0,101.0,642.0,0.0,0.0,0.0,0.0,13.0,13.0,13.0,13.0,5.0,0.75,274.0,274.0,274.0,156.0,112.0,0
42,network.py,6.0,6.0,6.0,2.0,37.0,3.0,25.0,8.0,2.0,31.0,31.0,1313.0,142.0,818.0,55.0,763.0,356.0,0.0,0.0,797.0,55.0,742.0,0.0,0.0,0.0,0.0,33.0,33.0,33.0,10.0,6.0,0.44,214.0,214.0,214.0,66.0,73.0,0
45,simulate.py,3.0,3.0,3.0,1.0,17.0,2.0,8.0,7.0,1.0,7.0,7.0,185.0,30.0,66.0,12.0,54.0,89.0,0.0,0.0,66.0,12.0,54.0,0.0,0.0,0.0,0.0,11.0,11.0,11.0,1.0,4.0,1.35,22.0,22.0,22.0,7.0,37.0,0
47,atomtype.py,4.0,4.0,4.0,1.0,21.0,0.0,11.0,2.0,2.0,9.0,8.0,285.0,33.0,165.0,11.0,154.0,87.0,4.0,1.0,144.0,11.0,133.0,4.0,4.0,4.0,1.0,33.0,33.0,33.0,8.0,3.0,0.53,44.0,44.0,44.0,16.0,96.0,0
48,element.py,2.0,2.0,2.0,2.0,28.0,0.0,5.0,4.0,2.0,6.0,5.0,273.0,26.0,152.0,8.0,144.0,95.0,1.0,0.0,142.0,8.0,134.0,1.0,1.0,1.0,1.0,7.0,7.0,7.0,7.0,3.0,0.62,12.0,12.0,12.0,12.0,54.0,0
49,graph.py,4.0,4.0,4.0,2.0,19.0,1.0,10.0,7.0,3.0,45.0,45.0,997.0,139.0,462.0,52.0,410.0,404.0,0.0,0.0,461.0,50.0,411.0,0.0,0.0,0.0,0.0,37.0,37.0,37.0,31.0,4.0,0.87,184.0,184.0,184.0,122.0,5.0,0
50,group.py,3.0,3.0,3.0,2.0,15.0,0.0,8.0,5.0,5.0,52.0,52.0,944.0,114.0,456.0,61.0,399.0,381.0,0.0,0.0,465.0,61.0,404.0,0.0,0.0,0.0,0.0,37.0,37.0,37.0,21.0,5.0,0.84,193.0,193.0,193.0,136.0,144.0,0
51,molecule.py,2.0,2.0,2.0,1.0,11.0,0.0,6.0,4.0,3.0,89.0,89.0,1174.0,143.0,559.0,114.0,452.0,479.0,0.0,0.0,541.0,111.0,430.0,0.0,0.0,0.0,0.0,14.0,14.0,14.0,10.0,5.0,0.86,206.0,206.0,206.0,143.0,237.0,0
52,molecule_draw.py,17.0,17.0,17.0,1.0,79.0,8.0,56.0,19.0,1.0,14.0,13.0,1282.0,169.0,746.0,29.0,718.0,369.0,2.0,0.0,770.0,29.0,741.0,2.0,2.0,2.0,1.0,87.0,87.0,87.0,5.0,7.0,0.49,243.0,243.0,243.0,26.0,10.0,0
53,symmetry.py,25.0,25.0,25.0,4.0,73.0,10.0,45.0,18.0,0.0,5.0,5.0,411.0,62.0,228.0,5.0,223.0,125.0,0.0,0.0,246.0,5.0,241.0,0.0,0.0,0.0,0.0,39.0,39.0,39.0,13.0,7.0,0.55,126.0,126.0,126.0,22.0,101.0,0
54,quantity.py,4.0,4.0,4.0,2.0,21.0,1.0,13.0,7.0,3.0,15.0,14.0,444.0,51.0,207.0,21.0,186.0,186.0,1.0,0.0,180.0,21.0,159.0,1.0,1.0,1.0,1.0,23.0,23.0,23.0,17.0,6.0,0.9,62.0,62.0,62.0,44.0,61.0,0
55,reaction.py,5.0,5.0,5.0,2.0,25.0,2.0,15.0,7.0,3.0,37.0,37.0,1086.0,133.0,595.0,57.0,538.0,361.0,0.0,0.0,506.0,57.0,449.0,0.0,0.0,0.0,0.0,55.0,55.0,55.0,19.0,3.0,0.61,192.0,192.0,192.0,77.0,152.0,0
61,pdep.py,7.0,7.0,7.0,3.0,35.0,2.0,21.0,11.0,3.0,12.0,12.0,510.0,56.0,271.0,26.0,245.0,192.0,0.0,0.0,250.0,25.0,225.0,0.0,0.0,0.0,0.0,34.0,34.0,34.0,16.0,5.0,0.71,95.0,95.0,95.0,39.0,170.0,0
63,species.py,2.0,2.0,2.0,1.0,9.0,0.0,6.0,3.0,4.0,15.0,15.0,276.0,37.0,99.0,21.0,78.0,140.0,0.0,0.0,112.0,21.0,91.0,0.0,0.0,0.0,0.0,11.0,11.0,11.0,8.0,4.0,1.41,44.0,44.0,44.0,24.0,134.0,0
64,statmech.py,2.0,2.0,2.0,1.0,14.0,1.0,7.0,6.0,7.0,62.0,62.0,1158.0,184.0,460.0,79.0,381.0,519.0,0.0,0.0,435.0,79.0,356.0,0.0,0.0,0.0,0.0,14.0,14.0,14.0,3.0,3.0,1.13,136.0,136.0,136.0,64.0,148.0,0
