index,File,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclExecutableUnit,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountPath,CountPathLog,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,fastread_bugs,keyword_bugs,human_bugs
0,CKDTree.py,1.0,1.0,1.0,1.0,4.0,0.0,3.0,0.0,2.0,16.0,15.0,117.0,30.0,81.0,20.0,61.0,7.0,4.0,1.0,80.0,20.0,60.0,3.0,3.0,3.0,1.0,6.0,6.0,6.0,6.0,2.0,0.09,27.0,27.0,27.0,23.0,5,3.0,5
1,KDTree.py,2.0,2.0,2.0,1.0,14.0,2.0,8.0,5.0,1.0,17.0,16.0,332.0,68.0,132.0,19.0,112.0,139.0,2.0,0.0,126.0,19.0,107.0,2.0,2.0,2.0,1.0,5.0,5.0,5.0,3.0,2.0,1.05,36.0,36.0,36.0,21.0,20,12.0,20
2,NeighborSearch.py,1.0,1.0,1.0,1.0,13.0,1.0,6.0,6.0,4.0,17.0,16.0,339.0,62.0,120.0,26.0,94.0,161.0,6.0,1.0,102.0,26.0,76.0,4.0,4.0,4.0,1.0,6.0,6.0,6.0,6.0,2.0,1.34,33.0,33.0,33.0,26.0,39,32.0,36
6,align.py,4.0,4.0,4.0,2.0,75.0,13.0,30.0,42.0,0.0,8.0,7.0,736.0,139.0,211.0,25.0,186.0,394.0,1.0,0.0,182.0,20.0,162.0,1.0,1.0,1.0,1.0,12.0,12.0,12.0,7.0,3.0,1.87,37.0,37.0,37.0,19.0,57,51.0,50
7,contacts.py,2.0,2.0,2.0,1.0,26.0,3.0,14.0,10.0,2.0,19.0,18.0,770.0,154.0,276.0,41.0,235.0,355.0,1.0,0.0,258.0,39.0,219.0,1.0,1.0,1.0,1.0,6.0,6.0,6.0,5.0,3.0,1.29,56.0,56.0,56.0,33.0,40,34.0,37
8,density.py,2.0,2.0,2.0,1.0,27.0,3.0,12.0,13.0,2.0,23.0,22.0,849.0,165.0,283.0,43.0,229.0,428.0,2.0,0.0,253.0,40.0,213.0,2.0,2.0,2.0,1.0,7.0,7.0,7.0,6.0,3.0,1.51,54.0,54.0,54.0,36.0,46,36.0,42
9,distances.py,1.0,1.0,1.0,1.0,39.0,13.0,21.0,12.0,0.0,6.0,5.0,286.0,85.0,113.0,13.0,100.0,88.0,1.0,0.0,45.0,13.0,32.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,3.0,2.0,0.78,11.0,11.0,11.0,8.0,95,83.0,89
10,gnm.py,3.0,3.0,3.0,1.0,19.0,1.0,15.0,4.0,2.0,12.0,11.0,343.0,57.0,172.0,17.0,155.0,119.0,1.0,0.0,156.0,17.0,139.0,1.0,1.0,1.0,1.0,11.0,11.0,11.0,5.0,7.0,0.69,45.0,45.0,45.0,19.0,31,24.0,29
12,hbond_analysis.py,3.0,3.0,3.0,1.0,32.0,4.0,17.0,12.0,1.0,23.0,22.0,1128.0,212.0,383.0,41.0,342.0,554.0,1.0,0.0,321.0,36.0,285.0,1.0,1.0,1.0,1.0,20.0,20.0,20.0,8.0,6.0,1.45,83.0,83.0,83.0,36.0,50,41.0,47
13,hbond_autocorrel.py,3.0,3.0,3.0,1.0,36.0,5.0,20.0,12.0,1.0,11.0,11.0,522.0,99.0,208.0,28.0,180.0,232.0,0.0,0.0,154.0,19.0,135.0,0.0,0.0,0.0,0.0,8.0,8.0,8.0,6.0,3.0,1.12,38.0,38.0,38.0,20.0,33,28.0,31
