index,File,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclExecutableUnit,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountPath,CountPathLog,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,fastread_bugs,keyword_bugs,human_bugs
23,DCD.py,1.0,1.0,1.0,1.0,22.0,2.0,8.0,13.0,3.0,18.0,17.0,612.0,94.0,177.0,38.0,139.0,349.0,1.0,0.0,158.0,33.0,125.0,1.0,1.0,1.0,1.0,6.0,6.0,6.0,5.0,2.0,1.97,34.0,34.0,34.0,27.0,42,39.0,41
24,DLPoly.py,3.0,3.0,3.0,1.0,15.0,1.0,13.0,1.0,3.0,13.0,12.0,267.0,47.0,182.0,23.0,159.0,44.0,1.0,0.0,170.0,19.0,151.0,1.0,1.0,1.0,1.0,16.0,16.0,16.0,1.0,4.0,0.24,45.0,45.0,45.0,13.0,14,12.0,12
25,DMS.py,1.0,1.0,1.0,1.0,9.0,0.0,8.0,0.0,2.0,8.0,8.0,127.0,22.0,73.0,16.0,57.0,35.0,0.0,0.0,66.0,14.0,52.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,1.0,2.0,0.48,14.0,14.0,14.0,8.0,14,13.0,12
26,GMS.py,3.0,3.0,3.0,2.0,14.0,1.0,11.0,2.0,1.0,12.0,12.0,258.0,44.0,154.0,21.0,133.0,65.0,0.0,0.0,146.0,18.0,128.0,0.0,0.0,0.0,0.0,14.0,14.0,14.0,10.0,3.0,0.42,45.0,45.0,45.0,33.0,22,18.0,19
27,GRO.py,3.0,3.0,3.0,1.0,27.0,3.0,16.0,9.0,3.0,7.0,7.0,322.0,56.0,140.0,19.0,121.0,136.0,0.0,0.0,104.0,17.0,87.0,0.0,0.0,0.0,0.0,11.0,11.0,11.0,5.0,3.0,0.97,26.0,26.0,26.0,11.0,30,26.0,29
28,INPCRD.py,6.0,6.0,6.0,1.0,27.0,2.0,22.0,3.0,1.0,1.0,1.0,60.0,9.0,27.0,4.0,23.0,24.0,0.0,0.0,26.0,4.0,22.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,1.0,3.0,0.89,6.0,6.0,6.0,1.0,13,13.0,11
29,LAMMPS.py,3.0,3.0,3.0,2.0,8.0,0.0,8.0,1.0,3.0,4.0,4.0,168.0,33.0,48.0,11.0,37.0,91.0,0.0,0.0,47.0,11.0,36.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,3.0,1.9,12.0,12.0,12.0,10.0,17,15.0,15
30,MOL2.py,2.0,2.0,2.0,1.0,18.0,2.0,12.0,3.0,2.0,10.0,10.0,310.0,54.0,139.0,17.0,122.0,120.0,0.0,0.0,112.0,16.0,96.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,6.0,3.0,0.86,24.0,24.0,24.0,17.0,19,18.0,18
31,PDB.py,3.0,3.0,3.0,2.0,24.0,3.0,12.0,8.0,6.0,32.0,31.0,1259.0,255.0,455.0,55.0,400.0,574.0,2.0,0.0,394.0,53.0,341.0,2.0,2.0,2.0,1.0,17.0,17.0,17.0,14.0,4.0,1.26,110.0,110.0,110.0,69.0,23,22.0,23
32,PDBQT.py,2.0,2.0,2.0,1.0,14.0,1.0,9.0,5.0,2.0,13.0,13.0,372.0,51.0,138.0,23.0,115.0,202.0,0.0,0.0,118.0,21.0,97.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,3.0,3.0,1.46,28.0,28.0,28.0,17.0,25,22.0,24
33,PQR.py,2.0,2.0,2.0,1.0,15.0,1.0,8.0,7.0,2.0,8.0,8.0,272.0,51.0,83.0,14.0,69.0,150.0,0.0,0.0,73.0,14.0,59.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,1.0,4.0,1.81,18.0,18.0,18.0,8.0,28,25.0,28
34,TRJ.py,3.0,3.0,3.0,1.0,23.0,2.0,15.0,7.0,4.0,23.0,22.0,823.0,165.0,369.0,41.0,328.0,314.0,2.0,0.0,326.0,38.0,288.0,2.0,2.0,2.0,1.0,11.0,11.0,11.0,8.0,2.0,0.85,80.0,80.0,80.0,42.0,27,28.0,26
36,TRZ.py,2.0,2.0,2.0,1.0,19.0,1.0,14.0,3.0,3.0,22.0,22.0,588.0,98.0,355.0,42.0,310.0,145.0,0.0,0.0,254.0,36.0,218.0,0.0,0.0,0.0,0.0,9.0,9.0,9.0,3.0,3.0,0.41,52.0,52.0,52.0,28.0,21,20.0,19
38,XYZ.py,2.0,2.0,2.0,1.0,15.0,1.0,9.0,5.0,2.0,17.0,16.0,422.0,69.0,178.0,32.0,144.0,177.0,1.0,0.0,154.0,29.0,125.0,1.0,1.0,1.0,1.0,8.0,8.0,8.0,5.0,3.0,0.99,45.0,45.0,45.0,27.0,20,18.0,19
44,TRR.py,1.0,1.0,1.0,1.0,7.0,0.0,6.0,1.0,3.0,17.0,17.0,309.0,55.0,144.0,38.0,106.0,115.0,0.0,0.0,101.0,26.0,75.0,0.0,0.0,0.0,0.0,14.0,14.0,14.0,3.0,2.0,0.8,33.0,33.0,33.0,19.0,15,14.0,13
45,XTC.py,2.0,2.0,2.0,1.0,9.0,1.0,7.0,0.0,2.0,4.0,4.0,115.0,26.0,44.0,12.0,32.0,48.0,0.0,0.0,40.0,12.0,28.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,3.0,1.0,1.09,10.0,10.0,10.0,6.0,15,14.0,13
49,libxdrfile2.py,1.0,1.0,1.0,1.0,6.0,0.0,4.0,0.0,1.0,18.0,17.0,513.0,133.0,104.0,23.0,81.0,277.0,8.0,1.0,101.0,23.0,78.0,4.0,4.0,4.0,1.0,6.0,6.0,6.0,6.0,2.0,2.66,31.0,31.0,31.0,27.0,0,0.0,0
50,statno.py,1.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,42.0,9.0,4.0,1.0,3.0,29.0,1.0,0.0,4.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,7.25,1.0,1.0,1.0,1.0,0,0.0,0
51,AtomGroup.py,2.0,2.0,2.0,1.0,16.0,2.0,6.0,7.0,8.0,214.0,213.0,4721.0,976.0,1554.0,368.0,1167.0,2228.0,1.0,0.0,1226.0,260.0,966.0,1.0,1.0,1.0,1.0,18.0,18.0,18.0,8.0,3.0,1.43,428.0,428.0,428.0,284.0,17,17.0,15
