index,File,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclExecutableUnit,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountPath,CountPathLog,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,Bugs,fastread_bugs
24,rms.py,4.0,4.0,4.0,2.0,44.0,6.0,24.0,21.0,2.0,7.0,6.0,463.0,81.0,160.0,19.0,141.0,225.0,1.0,0.0,128.0,18.0,110.0,1.0,1.0,1.0,1.0,9.0,9.0,9.0,6.0,3.0,1.41,30.0,30.0,30.0,18.0,0.0,57
25,x3dna.py,4.0,4.0,4.0,1.0,32.0,3.0,22.0,8.0,3.0,15.0,14.0,677.0,126.0,337.0,39.0,298.0,221.0,1.0,0.0,321.0,39.0,282.0,1.0,1.0,1.0,1.0,17.0,17.0,17.0,13.0,6.0,0.66,60.0,60.0,60.0,29.0,0.0,49
28,CRD.py,2.0,2.0,2.0,1.0,15.0,1.0,10.0,5.0,2.0,10.0,10.0,228.0,32.0,127.0,18.0,109.0,85.0,0.0,0.0,114.0,18.0,96.0,0.0,0.0,0.0,0.0,8.0,8.0,8.0,6.0,4.0,0.67,28.0,28.0,28.0,17.0,0.0,48
29,DCD.py,2.0,2.0,2.0,1.0,16.0,1.0,8.0,8.0,2.0,19.0,18.0,387.0,33.0,164.0,32.0,132.0,200.0,1.0,0.0,155.0,31.0,124.0,1.0,1.0,1.0,1.0,7.0,7.0,7.0,6.0,2.0,1.22,42.0,42.0,42.0,33.0,0.0,77
30,DMS.py,1.0,1.0,1.0,1.0,10.0,0.0,7.0,2.0,2.0,10.0,10.0,157.0,28.0,84.0,21.0,63.0,53.0,0.0,0.0,83.0,20.0,63.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,1.0,2.0,0.63,16.0,16.0,16.0,10.0,0.0,39
31,GRO.py,2.0,2.0,2.0,1.0,20.0,2.0,11.0,8.0,3.0,9.0,9.0,266.0,43.0,131.0,22.0,109.0,116.0,0.0,0.0,108.0,21.0,87.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,1.0,4.0,0.89,26.0,26.0,26.0,9.0,0.0,59
32,LAMMPS.py,4.0,4.0,4.0,4.0,11.0,0.0,11.0,1.0,3.0,2.0,2.0,116.0,18.0,29.0,7.0,22.0,71.0,0.0,0.0,29.0,7.0,22.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,3.0,2.45,8.0,8.0,8.0,8.0,0.0,43
33,PDB.py,2.0,2.0,2.0,1.0,19.0,2.0,10.0,7.0,7.0,45.0,44.0,1345.0,270.0,501.0,70.0,431.0,607.0,2.0,0.0,457.0,66.0,391.0,2.0,2.0,2.0,1.0,14.0,14.0,14.0,10.0,4.0,1.21,130.0,130.0,130.0,83.0,0.0,63
34,PDBQT.py,1.0,1.0,1.0,1.0,12.0,1.0,7.0,4.0,3.0,18.0,18.0,408.0,59.0,158.0,31.0,127.0,213.0,0.0,0.0,143.0,28.0,115.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,3.0,3.0,1.35,35.0,35.0,35.0,22.0,0.0,50
35,PQR.py,2.0,2.0,2.0,1.0,10.0,0.0,7.0,2.0,1.0,6.0,6.0,172.0,28.0,57.0,13.0,44.0,93.0,0.0,0.0,57.0,13.0,44.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,1.0,4.0,1.63,12.0,12.0,12.0,6.0,0.0,54
36,TRJ.py,3.0,3.0,3.0,2.0,20.0,1.0,13.0,6.0,4.0,31.0,30.0,924.0,168.0,443.0,48.0,395.0,351.0,2.0,0.0,410.0,44.0,366.0,2.0,2.0,2.0,1.0,13.0,13.0,13.0,9.0,3.0,0.79,111.0,111.0,111.0,70.0,0.0,59
38,TRZ.py,2.0,2.0,2.0,2.0,15.0,0.0,12.0,4.0,2.0,16.0,16.0,383.0,46.0,212.0,29.0,183.0,149.0,0.0,0.0,203.0,25.0,178.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,5.0,2.0,0.7,41.0,41.0,41.0,32.0,0.0,55
40,XYZ.py,2.0,2.0,2.0,1.0,13.0,2.0,9.0,2.0,1.0,12.0,12.0,257.0,54.0,127.0,21.0,106.0,81.0,0.0,0.0,121.0,19.0,102.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,3.0,2.0,0.64,34.0,34.0,34.0,22.0,0.0,50
45,extensions.py,2.0,2.0,2.0,1.0,16.0,2.0,9.0,8.0,2.0,6.0,5.0,183.0,39.0,55.0,11.0,44.0,91.0,1.0,0.0,49.0,10.0,39.0,1.0,1.0,1.0,1.0,7.0,7.0,7.0,1.0,2.0,1.65,13.0,13.0,13.0,6.0,0.0,12
46,TRR.py,10.0,10.0,10.0,8.0,58.0,0.0,50.0,13.0,3.0,1.0,1.0,119.0,12.0,62.0,7.0,55.0,50.0,0.0,0.0,56.0,7.0,49.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,8.0,3.0,0.81,10.0,10.0,10.0,8.0,0.0,59
