index,File,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclExecutableUnit,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountPath,CountPathLog,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,Bugs
0,CKDTree.py,1.0,1.0,1.0,1.0,3.0,0.0,2.0,0.0,2.0,16.0,15.0,77.0,10.0,62.0,20.0,53.0,6.0,4.0,1.0,80.0,20.0,60.0,3.0,3.0,3.0,1.0,6.0,6.0,6.0,6.0,2.0,0.1,27.0,27.0,27.0,23.0,0.0
1,KDTree.py,2.0,2.0,2.0,1.0,13.0,1.0,8.0,5.0,1.0,17.0,16.0,320.0,62.0,131.0,19.0,112.0,134.0,2.0,0.0,126.0,19.0,107.0,2.0,2.0,2.0,1.0,5.0,5.0,5.0,3.0,2.0,1.02,36.0,36.0,36.0,21.0,0.0
2,NeighborSearch.py,1.0,1.0,1.0,1.0,11.0,0.0,6.0,4.0,4.0,17.0,16.0,271.0,52.0,119.0,26.0,93.0,104.0,6.0,1.0,102.0,26.0,76.0,4.0,4.0,4.0,1.0,6.0,6.0,6.0,6.0,2.0,0.87,33.0,33.0,33.0,26.0,0.0
6,align.py,4.0,4.0,4.0,2.0,50.0,7.0,27.0,26.0,0.0,7.0,6.0,368.0,53.0,159.0,21.0,138.0,168.0,1.0,0.0,121.0,19.0,102.0,1.0,1.0,1.0,1.0,14.0,14.0,14.0,6.0,3.0,1.06,28.0,28.0,28.0,15.0,0.0
7,contacts.py,3.0,3.0,3.0,1.0,26.0,2.0,15.0,9.0,1.0,7.0,7.0,250.0,41.0,115.0,19.0,96.0,103.0,0.0,0.0,109.0,18.0,91.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,3.0,3.0,0.9,21.0,21.0,21.0,11.0,0.0
8,distances.py,9.0,9.0,9.0,2.0,35.0,9.0,43.0,17.0,0.0,2.0,1.0,90.0,16.0,47.0,4.0,43.0,27.0,1.0,0.0,42.0,4.0,38.0,1.0,1.0,1.0,1.0,18.0,18.0,18.0,3.0,6.0,0.57,19.0,19.0,19.0,4.0,0.0
9,leaflet.py,1.0,1.0,1.0,1.0,12.0,0.0,6.0,5.0,1.0,13.0,13.0,240.0,43.0,87.0,22.0,65.0,115.0,0.0,0.0,77.0,21.0,56.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,2.0,1.32,23.0,23.0,23.0,16.0,0.0
11,CRD.py,2.0,2.0,2.0,1.0,11.0,0.0,9.0,2.0,2.0,11.0,11.0,187.0,29.0,122.0,19.0,103.0,48.0,0.0,0.0,106.0,19.0,87.0,0.0,0.0,0.0,0.0,8.0,8.0,8.0,7.0,3.0,0.39,28.0,28.0,28.0,19.0,0.0
12,DCD.py,2.0,2.0,2.0,1.0,14.0,0.0,8.0,6.0,2.0,17.0,16.0,281.0,22.0,148.0,29.0,119.0,119.0,1.0,0.0,142.0,28.0,114.0,1.0,1.0,1.0,1.0,7.0,7.0,7.0,6.0,2.0,0.8,39.0,39.0,39.0,31.0,0.0
13,GRO.py,2.0,2.0,2.0,1.0,17.0,1.0,10.0,6.0,3.0,9.0,9.0,210.0,31.0,118.0,20.0,98.0,80.0,0.0,0.0,95.0,19.0,76.0,0.0,0.0,0.0,0.0,8.0,8.0,8.0,1.0,3.0,0.68,21.0,21.0,21.0,9.0,0.0
14,PDB.py,1.0,1.0,1.0,1.0,9.0,0.0,7.0,2.0,4.0,28.0,27.0,419.0,56.0,222.0,42.0,180.0,160.0,2.0,0.0,210.0,40.0,170.0,2.0,2.0,2.0,1.0,7.0,7.0,7.0,6.0,3.0,0.72,55.0,55.0,55.0,39.0,0.0
17,XYZ.py,2.0,2.0,2.0,1.0,13.0,2.0,9.0,2.0,1.0,12.0,12.0,226.0,51.0,125.0,21.0,104.0,54.0,0.0,0.0,119.0,19.0,100.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,3.0,2.0,0.43,34.0,34.0,34.0,22.0,0.0
22,extensions.py,2.0,2.0,2.0,1.0,16.0,1.0,9.0,8.0,2.0,6.0,5.0,163.0,36.0,55.0,11.0,44.0,74.0,1.0,0.0,49.0,10.0,39.0,1.0,1.0,1.0,1.0,7.0,7.0,7.0,1.0,2.0,1.35,13.0,13.0,13.0,6.0,0.0
23,TRR.py,9.0,9.0,9.0,7.0,53.0,0.0,45.0,15.0,3.0,1.0,1.0,74.0,6.0,56.0,7.0,49.0,19.0,0.0,0.0,52.0,7.0,45.0,0.0,0.0,0.0,0.0,9.0,9.0,9.0,7.0,3.0,0.34,9.0,9.0,9.0,7.0,0.0
24,XTC.py,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,16.0,5.0,7.0,4.0,3.0,4.0,0.0,0.0,7.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57,0.0,0.0,0.0,0.0,0.0
27,libxdrfile.py,1.0,1.0,1.0,1.0,6.0,0.0,3.0,0.0,1.0,16.0,15.0,437.0,104.0,90.0,21.0,70.0,244.0,8.0,1.0,94.0,21.0,73.0,4.0,4.0,4.0,1.0,6.0,6.0,6.0,6.0,2.0,2.71,29.0,29.0,29.0,25.0,0.0
28,statno.py,1.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,25.0,8.0,4.0,1.0,3.0,13.0,1.0,0.0,4.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3.25,1.0,1.0,1.0,1.0,0.0
29,AtomGroup.py,1.0,1.0,1.0,1.0,10.0,1.0,5.0,3.0,7.0,85.0,85.0,1165.0,170.0,483.0,121.0,362.0,530.0,0.0,0.0,459.0,108.0,351.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,4.0,3.0,1.1,160.0,160.0,160.0,103.0,0.0
30,Selection.py,1.0,1.0,1.0,1.0,5.0,0.0,5.0,0.0,29.0,81.0,80.0,646.0,52.0,508.0,119.0,389.0,105.0,2.0,0.0,472.0,119.0,353.0,2.0,2.0,2.0,1.0,26.0,26.0,26.0,20.0,3.0,0.21,144.0,144.0,144.0,102.0,0.0
31,Timeseries.py,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,11.0,37.0,37.0,292.0,47.0,151.0,50.0,102.0,94.0,0.0,0.0,153.0,49.0,104.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,5.0,2.0,0.62,63.0,63.0,63.0,46.0,0.0
34,transformations.py,2.0,2.0,2.0,1.0,27.0,2.0,14.0,11.0,1.0,53.0,52.0,1803.0,283.0,758.0,63.0,695.0,765.0,2.0,0.0,675.0,61.0,614.0,2.0,2.0,2.0,1.0,8.0,8.0,8.0,5.0,4.0,1.01,152.0,152.0,152.0,85.0,0.0
39,charmm.py,1.0,1.0,1.0,1.0,3.0,0.0,2.0,0.0,1.0,4.0,4.0,38.0,9.0,16.0,6.0,10.0,14.0,0.0,0.0,16.0,6.0,10.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.88,4.0,4.0,4.0,4.0,0.0
40,gromacs.py,1.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,1.0,2.0,2.0,30.0,8.0,9.0,4.0,5.0,13.0,0.0,0.0,9.0,4.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.44,2.0,2.0,2.0,2.0,0.0
41,pymol.py,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,3.0,3.0,35.0,8.0,14.0,5.0,9.0,15.0,0.0,0.0,14.0,5.0,9.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.07,3.0,3.0,3.0,3.0,0.0
42,vmd.py,1.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,1.0,3.0,3.0,34.0,8.0,13.0,5.0,8.0,14.0,0.0,0.0,13.0,5.0,8.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.08,3.0,3.0,3.0,3.0,0.0
44,datafiles.py,1.0,1.0,1.0,1.0,18.0,0.0,0.0,0.0,0.0,1.0,0.0,34.0,8.0,19.0,1.0,18.0,12.0,1.0,0.0,15.0,1.0,14.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.63,1.0,1.0,1.0,1.0,0.0
45,test_analysis.py,1.0,1.0,1.0,1.0,8.0,0.0,6.0,2.0,1.0,4.0,4.0,49.0,8.0,31.0,11.0,20.0,10.0,0.0,0.0,31.0,11.0,20.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.32,4.0,4.0,4.0,4.0,0.0
46,test_atomgroup.py,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,6.0,32.0,32.0,227.0,42.0,172.0,49.0,123.0,22.0,0.0,0.0,148.0,48.0,100.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,0.13,33.0,33.0,33.0,32.0,0.0
47,test_coordinates.py,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,28.0,101.0,101.0,724.0,142.0,533.0,162.0,368.0,89.0,0.0,0.0,457.0,139.0,318.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,1.0,1.0,0.17,110.0,110.0,110.0,101.0,0.0
48,test_distances.py,1.0,1.0,1.0,1.0,10.0,0.0,9.0,0.0,2.0,10.0,10.0,125.0,15.0,101.0,19.0,82.0,9.0,0.0,0.0,88.0,18.0,70.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.09,10.0,10.0,10.0,10.0,0.0
49,test_libxdrfile.py,1.0,1.0,1.0,1.0,4.0,0.0,3.0,1.0,3.0,8.0,7.0,57.0,15.0,32.0,15.0,17.0,11.0,2.0,0.0,32.0,15.0,17.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,0.34,10.0,10.0,10.0,8.0,0.0
50,test_selections.py,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,17.0,17.0,101.0,22.0,69.0,24.0,45.0,11.0,0.0,0.0,65.0,24.0,41.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.16,17.0,17.0,17.0,17.0,0.0
51,test_units.py,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,2.0,5.0,5.0,31.0,4.0,27.0,11.0,16.0,0.0,0.0,0.0,20.0,11.0,9.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,5.0,5.0,5.0,5.0,0.0
52,CRDParser.py,4.0,4.0,4.0,3.0,21.0,2.0,33.0,6.0,0.0,2.0,1.0,51.0,6.0,39.0,5.0,34.0,7.0,1.0,0.0,36.0,5.0,31.0,1.0,1.0,1.0,1.0,8.0,8.0,8.0,6.0,4.0,0.18,9.0,9.0,9.0,7.0,0.0
53,GROParser.py,9.0,9.0,9.0,5.0,62.0,6.0,33.0,23.0,1.0,1.0,1.0,72.0,10.0,37.0,4.0,33.0,25.0,0.0,0.0,35.0,4.0,31.0,0.0,0.0,0.0,0.0,9.0,9.0,9.0,5.0,3.0,0.68,9.0,9.0,9.0,5.0,0.0
54,PDBParser.py,2.0,2.0,2.0,1.0,14.0,3.0,12.0,6.0,1.0,3.0,2.0,62.0,14.0,33.0,8.0,25.0,18.0,2.0,0.0,33.0,8.0,25.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,0.55,6.0,6.0,6.0,3.0,0.0
55,PSFParser.py,3.0,3.0,3.0,2.0,37.0,3.0,18.0,16.0,1.0,4.0,4.0,142.0,21.0,65.0,8.0,57.0,59.0,0.0,0.0,61.0,8.0,53.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,5.0,2.0,0.91,15.0,15.0,15.0,8.0,0.0
56,PrimitivePDBParser.py,1.0,1.0,1.0,1.0,17.0,3.0,10.0,5.0,1.0,2.0,2.0,50.0,12.0,24.0,6.0,18.0,17.0,0.0,0.0,24.0,6.0,18.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,0.71,3.0,3.0,3.0,2.0,0.0
59,LAMMPSParser.py,3.0,3.0,3.0,1.0,13.0,0.0,11.0,1.0,3.0,12.0,11.0,174.0,8.0,144.0,18.0,126.0,22.0,1.0,0.0,140.0,18.0,122.0,1.0,1.0,1.0,1.0,18.0,18.0,18.0,7.0,5.0,0.15,38.0,38.0,38.0,21.0,0.0
60,Transformation.py,1.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,3.0,5.0,5.0,25.0,4.0,17.0,9.0,8.0,4.0,0.0,0.0,17.0,9.0,8.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.24,5.0,5.0,5.0,5.0,0.0
62,conf.py,1.0,1.0,1.0,1.0,28.0,0.0,0.0,0.0,0.0,1.0,0.0,263.0,72.0,29.0,1.0,28.0,162.0,1.0,0.0,23.0,1.0,22.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,5.59,1.0,1.0,1.0,1.0,0.0
63,backbone_dihedral.py,2.0,2.0,2.0,1.0,28.0,0.0,0.0,0.0,0.0,1.0,0.0,56.0,12.0,31.0,3.0,28.0,13.0,2.0,0.0,31.0,3.0,28.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,0.42,2.0,2.0,2.0,1.0,0.0
64,dcd2xtc.py,2.0,2.0,2.0,1.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,31.0,10.0,12.0,3.0,9.0,10.0,2.0,0.0,12.0,3.0,9.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,0.83,2.0,2.0,2.0,1.0,0.0
65,lipid_order_parameters.py,2.0,2.0,2.0,1.0,15.0,0.0,0.0,0.0,0.0,1.0,0.0,29.0,9.0,17.0,2.0,15.0,4.0,2.0,0.0,17.0,2.0,15.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,0.24,2.0,2.0,2.0,1.0,0.0
66,make_MthK_tetramer.py,1.0,1.0,1.0,1.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,23.0,4.0,12.0,1.0,11.0,8.0,1.0,0.0,12.0,1.0,11.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.67,1.0,1.0,1.0,1.0,0.0
67,membrane-composition.py,5.0,5.0,5.0,3.0,37.0,0.0,2.0,1.0,0.0,2.0,1.0,121.0,24.0,80.0,7.0,73.0,24.0,121.0,2.0,53.0,7.0,46.0,10.0,10.0,10.0,6.0,10.0,10.0,10.0,6.0,3.0,0.3,11.0,11.0,11.0,7.0,0.0
