index,File,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,Bugs
1734,dapalign.h,0.0,0.0,0.0,6.0,42.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,6.0,24.0,24.0,0.0,23.0,0.0,18.0,22.0,22.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,0.0,0.0,0.0,0.0,0.0
1735,getvara.h,0.0,0.0,0.0,7.0,18.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,7.0,8.0,8.0,0.0,17.0,0.0,10.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.12,0.0,0.0,0.0,0.0,0.0
1736,nc_uri.h,0.0,0.0,0.0,11.0,28.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,11.0,21.0,21.0,0.0,23.0,0.0,7.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0
1737,introduction_ex5.C,29.0,44.0,35.0,124.0,160.0,144.0,4.0,4.0,4.0,1.0,107.0,29.0,43.0,35.0,0.0,3.0,426.0,124.0,135.0,50.0,101.0,144.0,2.0,23.0,95.0,108.0,37.0,1.0,70.0,7.0,7.0,7.0,1.0,4.0,1.07,13.0,13.0,13.0,3.0,0.0
1740,Algorithm.hpp,4.0,22.0,6.0,66.0,307.0,134.0,3.0,3.0,4.0,1.0,30.0,4.0,22.0,6.0,0.0,12.0,482.0,66.0,295.0,137.0,132.0,134.0,0.0,12.0,125.0,161.0,26.0,1.0,134.0,7.0,7.0,9.0,1.0,3.0,0.45,40.0,40.0,46.0,12.0,0.0
1741,GetLocation.hpp,2.0,33.0,2.0,15.0,78.0,21.0,35.0,19.0,35.0,17.0,37.0,2.0,24.0,2.0,0.0,2.0,114.0,15.0,54.0,25.0,17.0,21.0,1.0,23.0,47.0,118.0,5.0,1.0,112.0,65.0,34.0,65.0,33.0,2.0,0.39,69.0,38.0,69.0,34.0,0.0
1742,SetLocation.hpp,5.0,50.0,6.0,13.0,60.0,23.0,67.0,36.0,67.0,34.0,61.0,5.0,32.0,6.0,0.0,1.0,96.0,13.0,37.0,18.0,15.0,23.0,0.0,23.0,239.0,308.0,8.0,96.0,204.0,67.0,36.0,67.0,34.0,3.0,0.62,67.0,36.0,67.0,34.0,0.0
1743,GetBits.hpp,0.0,15.0,2.0,13.0,58.0,26.0,2.0,2.0,2.0,1.0,15.0,0.0,15.0,2.0,0.0,3.0,93.0,13.0,53.0,32.0,13.0,26.0,0.0,5.0,18.0,24.0,6.0,1.0,17.0,2.0,2.0,2.0,1.0,1.0,0.49,5.0,5.0,5.0,3.0,0.0
1744,SetBits.hpp,0.0,14.0,2.0,15.0,56.0,27.0,2.0,2.0,2.0,1.0,14.0,0.0,14.0,2.0,0.0,3.0,93.0,15.0,51.0,32.0,11.0,27.0,0.0,5.0,16.0,22.0,6.0,1.0,15.0,2.0,2.0,2.0,1.0,1.0,0.53,5.0,5.0,5.0,3.0,0.0
1745,GrayCodeRank.hpp,5.0,34.0,11.0,33.0,150.0,64.0,7.0,7.0,8.0,1.0,49.0,5.0,34.0,11.0,0.0,4.0,246.0,33.0,145.0,55.0,62.0,64.0,0.0,5.0,88.0,115.0,14.0,3.0,98.0,9.0,9.0,9.0,1.0,4.0,0.44,29.0,29.0,30.0,4.0,0.0
1747,nchashmap.h,0.0,0.0,0.0,17.0,27.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,17.0,17.0,17.0,0.0,18.0,1.0,10.0,16.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.06,0.0,0.0,0.0,0.0,0.0
1748,dapnc.h,0.0,0.0,0.0,2.0,13.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,2.0,0.0,0.0,0.0,17.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1749,constraints3.h,0.0,0.0,0.0,12.0,23.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,12.0,20.0,20.0,0.0,6.0,0.0,3.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0
1750,eigenval.C,6.0,37.0,8.0,57.0,265.0,73.0,7.0,7.0,9.0,1.0,52.0,6.0,37.0,8.0,0.0,6.0,387.0,51.0,235.0,32.0,174.0,66.0,26.0,11.0,132.0,172.0,29.0,0.0,143.0,22.0,22.0,29.0,1.0,6.0,0.28,43.0,43.0,56.0,6.0,0.0
1751,reference_counter.C,2.0,9.0,0.0,37.0,55.0,22.0,1.0,1.0,1.0,1.0,11.0,1.0,4.0,0.0,0.0,4.0,112.0,26.0,22.0,10.0,6.0,22.0,33.0,11.0,8.0,13.0,8.0,0.0,5.0,1.0,1.0,1.0,1.0,0.0,1.0,4.0,4.0,4.0,4.0,0.0
1752,fe_bernstein_shape_3D.C,0.0,0.0,0.0,362.0,1381.0,1286.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3025.0,7.0,0.0,0.0,0.0,16.0,3000.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1753,is_lvalue_reference.hpp,0.0,0.0,0.0,29.0,65.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.0,18.0,11.0,11.0,0.0,23.0,54.0,27.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.09,0.0,0.0,0.0,0.0,0.0
1754,is_rvalue_reference.hpp,0.0,0.0,0.0,10.0,12.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,10.0,3.0,3.0,0.0,9.0,1.0,8.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
1755,rb_eim_evaluation.h,0.0,0.0,0.0,44.0,48.0,136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,227.0,44.0,42.0,38.0,6.0,136.0,0.0,6.0,30.0,31.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.24,0.0,0.0,0.0,0.0,0.0
1758,transient_ex2.C,26.0,56.0,59.0,129.0,253.0,288.0,6.0,6.0,7.0,1.0,139.0,25.0,55.0,59.0,0.0,4.0,662.0,128.0,228.0,62.0,162.0,287.0,4.0,23.0,151.0,177.0,56.0,1.0,120.0,10.0,10.0,13.0,3.0,5.0,1.26,25.0,25.0,28.0,6.0,0.0
1759,fe_base.h,0.0,6.0,0.0,134.0,262.0,341.0,1.0,1.0,2.0,1.0,6.0,0.0,4.0,0.0,1.0,12.0,732.0,81.0,111.0,96.0,22.0,167.0,333.0,45.0,72.0,85.0,55.0,0.0,30.0,1.0,1.0,2.0,1.0,0.0,1.5,12.0,12.0,22.0,12.0,0.0
1762,rb_eim_construction.h,0.0,0.0,0.0,52.0,54.0,171.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,275.0,52.0,46.0,41.0,3.0,171.0,0.0,8.0,34.0,35.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.72,0.0,0.0,0.0,0.0,0.0
1765,ex_get_var_time.c,26.0,185.0,29.0,29.0,188.0,91.0,29.0,20.0,29.0,27.0,236.0,26.0,185.0,29.0,0.0,1.0,304.0,29.0,185.0,18.0,149.0,91.0,0.0,3.0,108.0,138.0,12.0,0.0,126.0,29.0,20.0,29.0,27.0,3.0,0.49,29.0,20.0,29.0,27.0,0.0
1767,tst_files3.c,4.0,27.0,4.0,32.0,177.0,31.0,20.0,20.0,20.0,11.0,34.0,4.0,27.0,4.0,0.0,6.0,233.0,32.0,161.0,33.0,112.0,31.0,0.0,16.0,290.0,362.0,32.0,0.0,330.0,40.0,40.0,40.0,22.0,4.0,0.19,122.0,122.0,122.0,66.0,0.0
1768,parameter_vector.C,0.0,8.0,0.0,31.0,58.0,18.0,2.0,2.0,2.0,1.0,8.0,0.0,8.0,0.0,0.0,7.0,106.0,31.0,57.0,23.0,31.0,18.0,0.0,1.0,32.0,45.0,17.0,0.0,28.0,2.0,2.0,2.0,1.0,1.0,0.32,12.0,12.0,12.0,7.0,0.0
1771,dapalign.c,1.0,25.0,1.0,35.0,246.0,65.0,7.0,3.0,7.0,1.0,27.0,1.0,23.0,1.0,0.0,3.0,332.0,18.0,77.0,44.0,57.0,47.0,173.0,50.0,216.0,235.0,96.0,29.0,110.0,17.0,4.0,17.0,1.0,1.0,0.61,21.0,8.0,21.0,3.0,0.0
1772,ex_open_par.c,21.0,137.0,45.0,26.0,143.0,155.0,23.0,23.0,26.0,11.0,197.0,21.0,137.0,45.0,0.0,1.0,318.0,26.0,138.0,26.0,98.0,155.0,0.0,5.0,70.0,92.0,19.0,0.0,73.0,23.0,23.0,26.0,11.0,4.0,1.12,23.0,23.0,26.0,11.0,0.0
1774,off_io.C,11.0,30.0,6.0,35.0,67.0,29.0,5.0,4.0,5.0,1.0,46.0,11.0,29.0,6.0,0.0,2.0,130.0,35.0,60.0,13.0,36.0,29.0,0.0,7.0,38.0,49.0,11.0,0.0,38.0,8.0,7.0,9.0,1.0,3.0,0.48,9.0,8.0,10.0,2.0,0.0
1775,ComplexSchur_MKL.h,0.0,1.0,0.0,8.0,54.0,34.0,5.0,5.0,5.0,1.0,1.0,0.0,1.0,0.0,0.0,4.0,94.0,8.0,6.0,6.0,4.0,34.0,0.0,48.0,116.0,133.0,49.0,0.0,84.0,5.0,5.0,5.0,1.0,2.0,5.67,20.0,20.0,20.0,4.0,0.0
1776,testcpd.c,16.0,40.0,17.0,19.0,44.0,69.0,3.0,3.0,3.0,1.0,60.0,16.0,40.0,17.0,0.0,1.0,119.0,19.0,40.0,5.0,34.0,69.0,0.0,4.0,29.0,32.0,5.0,0.0,27.0,3.0,3.0,3.0,1.0,1.0,1.73,3.0,3.0,3.0,1.0,0.0
1778,pres_temp_4D_rd.c,16.0,64.0,21.0,24.0,93.0,45.0,21.0,21.0,21.0,21.0,100.0,16.0,64.0,21.0,0.0,1.0,161.0,24.0,64.0,10.0,49.0,45.0,0.0,29.0,66.0,87.0,9.0,10.0,68.0,21.0,21.0,21.0,21.0,5.0,0.7,21.0,21.0,21.0,21.0,0.0
1781,dv2i.c,1.0,22.0,0.0,145.0,957.0,64.0,3.0,3.0,3.0,2.0,23.0,1.0,22.0,0.0,0.0,42.0,1160.0,136.0,913.0,355.0,385.0,57.0,44.0,33.0,380.0,520.0,154.0,40.0,326.0,11.0,11.0,11.0,8.0,3.0,0.06,140.0,140.0,144.0,89.0,0.0
1782,StdVector.h,0.0,2.0,0.0,9.0,97.0,21.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,0.0,8.0,126.0,9.0,20.0,9.0,6.0,17.0,29.0,52.0,11.0,27.0,20.0,0.0,7.0,3.0,3.0,3.0,1.0,1.0,0.85,10.0,10.0,10.0,8.0,0.0
1783,details.h,0.0,1.0,0.0,14.0,57.0,14.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,6.0,84.0,11.0,27.0,22.0,0.0,11.0,26.0,16.0,10.0,17.0,17.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.41,6.0,6.0,6.0,6.0,0.0
1791,occontent.c,4.0,33.0,5.0,141.0,881.0,191.0,11.0,9.0,12.0,6.0,41.0,4.0,31.0,4.0,0.0,23.0,1174.0,136.0,725.0,148.0,501.0,172.0,142.0,37.0,525.0,753.0,125.0,34.0,594.0,49.0,35.0,50.0,30.0,5.0,0.24,244.0,197.0,279.0,140.0,0.0
1792,occontent.h,0.0,0.0,0.0,6.0,26.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,6.0,23.0,23.0,0.0,9.0,0.0,3.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.0,0.0,0.0,0.0,0.0
1793,ocutil.h,0.0,0.0,0.0,11.0,20.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,11.0,16.0,16.0,0.0,6.0,0.0,4.0,16.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.0
1795,ForwardDeclarations.h,0.0,0.0,0.0,42.0,227.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,298.0,42.0,175.0,175.0,0.0,24.0,45.0,17.0,129.0,137.0,137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0
1796,tst_big_rvar.c,3.0,39.0,3.0,13.0,90.0,28.0,26.0,26.0,26.0,12.0,45.0,3.0,39.0,3.0,0.0,2.0,128.0,13.0,78.0,15.0,53.0,28.0,0.0,12.0,141.0,172.0,13.0,0.0,159.0,45.0,45.0,45.0,23.0,4.0,0.36,51.0,51.0,51.0,24.0,0.0
