,File,Hash,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclExecutableUnit,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,fastread_buggy
14,libmesh/src/partitioning/partitioner.C,4eda33c,18.0,52.0,20.0,143.0,327.0,141.0,5.0,5.0,6.0,1.0,89.0,12.0,34.0,15.0,0.0,,6.0,603.0,108.0,207.0,65.0,152.0,109.0,168.0,19.0,,,139.0,172.0,48.0,6.0,118.0,,,,,17.0,17.0,19.0,1.0,3.0,0.53,32.0,32.0,34.0,6.0,0.0
15,libmesh/src/mesh/mesh_communication.C,4eda33c,3.0,14.0,4.0,212.0,644.0,367.0,3.0,3.0,3.0,1.0,20.0,3.0,13.0,4.0,0.0,,17.0,1205.0,116.0,245.0,83.0,128.0,169.0,656.0,39.0,,,131.0,184.0,63.0,4.0,117.0,,,,,27.0,27.0,30.0,12.0,5.0,0.69,49.0,49.0,53.0,28.0,0.0
16,libmesh/src/numerics/petsc_vector.C,9d0da17,0.0,0.0,0.0,367.0,893.0,158.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1414.0,8.0,0.0,0.0,0.0,16.0,1387.0,46.0,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,1.0
17,libmesh/src/numerics/petsc_vector.C,fa631f4,0.0,0.0,0.0,371.0,900.0,158.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1425.0,8.0,0.0,0.0,0.0,16.0,1398.0,49.0,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0
18,libmesh/src/numerics/petsc_preconditioner.C,fa631f4,0.0,0.0,0.0,63.0,152.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,277.0,5.0,0.0,0.0,0.0,14.0,256.0,18.0,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,1.0
19,libmesh/src/numerics/petsc_preconditioner.C,ed82596,0.0,0.0,0.0,63.0,155.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,280.0,5.0,0.0,0.0,0.0,14.0,259.0,18.0,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0
20,libmesh/examples/vector_fe/vector_fe_ex2/laplace_system.C,9410f0c,6.0,17.0,5.0,51.0,113.0,101.0,2.0,2.0,2.0,1.0,28.0,6.0,17.0,5.0,0.0,,6.0,264.0,51.0,103.0,48.0,69.0,101.0,0.0,10.0,,,59.0,70.0,28.0,0.0,42.0,,,,,5.0,5.0,5.0,1.0,4.0,0.98,10.0,10.0,10.0,6.0,1.0
21,libmesh/src/systems/fem_context.C,9410f0c,5.0,16.0,4.0,457.0,1009.0,270.0,3.0,3.0,3.0,1.0,24.0,5.0,16.0,4.0,0.0,,45.0,1728.0,370.0,779.0,241.0,490.0,212.0,339.0,36.0,,,505.0,698.0,289.0,1.0,408.0,,,,,14.0,14.0,14.0,1.0,4.0,0.27,119.0,119.0,131.0,45.0,1.0
22,libmesh/examples/vector_fe/vector_fe_ex3/curl_curl_system.C,9410f0c,7.0,15.0,5.0,70.0,135.0,52.0,2.0,2.0,2.0,1.0,27.0,7.0,15.0,5.0,0.0,,8.0,256.0,70.0,124.0,44.0,75.0,52.0,0.0,11.0,,,86.0,103.0,41.0,0.0,62.0,,,,,5.0,5.0,5.0,1.0,4.0,0.42,16.0,16.0,16.0,8.0,1.0
23,libmesh/examples/vector_fe/vector_fe_ex2/laplace_system.C,6d9cf7d,6.0,17.0,5.0,51.0,113.0,101.0,2.0,2.0,2.0,1.0,28.0,6.0,17.0,5.0,0.0,,6.0,264.0,51.0,103.0,48.0,69.0,101.0,0.0,10.0,,,59.0,70.0,28.0,0.0,42.0,,,,,5.0,5.0,5.0,1.0,4.0,0.98,10.0,10.0,10.0,6.0,0.0
24,libmesh/src/systems/fem_context.C,6d9cf7d,5.0,17.0,4.0,483.0,1085.0,271.0,3.0,3.0,3.0,1.0,26.0,5.0,17.0,4.0,0.0,,45.0,1831.0,388.0,817.0,257.0,490.0,212.0,386.0,36.0,,,523.0,716.0,289.0,1.0,426.0,,,,,14.0,14.0,14.0,1.0,4.0,0.26,119.0,119.0,131.0,45.0,0.0
25,libmesh/examples/vector_fe/vector_fe_ex3/curl_curl_system.C,6d9cf7d,7.0,15.0,5.0,70.0,135.0,52.0,2.0,2.0,2.0,1.0,27.0,7.0,15.0,5.0,0.0,,8.0,256.0,70.0,124.0,44.0,75.0,52.0,0.0,11.0,,,86.0,103.0,41.0,0.0,62.0,,,,,5.0,5.0,5.0,1.0,4.0,0.42,16.0,16.0,16.0,8.0,0.0
26,src/systems/equation_systems.C,81ad7a0,9.0,28.0,9.0,306.0,709.0,248.0,4.0,4.0,5.0,1.0,45.0,8.0,23.0,8.0,0.0,,25.0,1249.0,285.0,585.0,173.0,382.0,219.0,140.0,34.0,,,360.0,473.0,159.0,22.0,292.0,,,,,22.0,22.0,22.0,5.0,6.0,0.37,112.0,109.0,120.0,38.0,1.0
27,src/systems/equation_systems.C,620ff34,9.0,28.0,9.0,307.0,710.0,249.0,4.0,4.0,5.0,1.0,45.0,8.0,23.0,8.0,0.0,,25.0,1252.0,286.0,586.0,173.0,383.0,220.0,140.0,34.0,,,361.0,474.0,159.0,22.0,293.0,,,,,22.0,22.0,22.0,5.0,6.0,0.38,112.0,109.0,120.0,38.0,0.0
28,src/quadrature/quadrature_gm.C,58f4a56,8.0,18.0,15.0,54.0,74.0,92.0,4.0,4.0,4.0,1.0,39.0,8.0,18.0,15.0,0.0,,4.0,213.0,54.0,73.0,28.0,45.0,92.0,0.0,1.0,,,43.0,59.0,21.0,0.0,38.0,,,,,10.0,10.0,10.0,1.0,3.0,1.26,15.0,15.0,15.0,4.0,1.0
29,src/partitioning/metis_partitioner.C,58f4a56,57.0,143.0,57.0,72.0,168.0,76.0,2.0,2.0,2.0,1.0,250.0,6.0,17.0,3.0,0.0,,1.0,308.0,21.0,20.0,6.0,10.0,21.0,233.0,23.0,,,8.0,11.0,3.0,0.0,8.0,,,,,2.0,2.0,2.0,1.0,1.0,1.05,2.0,2.0,2.0,1.0,1.0
