index,File,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,fastread_bugs,keyword_bugs,human_bugs
15662,triangle.c,5.0,84.0,13.0,1224.0,11374.0,4089.0,9.0,9.0,11.0,1.0,97.0,5.0,72.0,12.0,0.0,126.0,16010.0,1197.0,9209.0,1114.0,6972.0,3893.0,1278.0,1117.0,8341.0,9430.0,986.0,160.0,8284.0,64.0,64.0,87.0,11.0,6.0,0.42,1145.0,1145.0,1434.0,229.0,2,5.0,2
15663,node.C,0.0,0.0,0.0,15.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,15.0,0.0,0.0,0.0,20.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,16.0,15
15664,face_tri3.C,5.0,18.0,0.0,41.0,82.0,41.0,4.0,3.0,4.0,1.0,24.0,5.0,18.0,0.0,0.0,3.0,152.0,36.0,55.0,10.0,34.0,21.0,36.0,4.0,37.0,45.0,9.0,2.0,34.0,5.0,4.0,5.0,1.0,1.0,0.38,11.0,9.0,11.0,3.0,21,27.0,22
15665,balance.c,15.0,60.0,6.0,53.0,182.0,48.0,18.0,18.0,24.0,4.0,80.0,15.0,60.0,6.0,0.0,3.0,278.0,53.0,181.0,15.0,134.0,48.0,0.0,1.0,193.0,230.0,15.0,34.0,181.0,25.0,25.0,33.0,4.0,5.0,0.27,54.0,54.0,72.0,12.0,5,6.0,5
15666,xdr_head.C,1.0,12.0,0.0,15.0,38.0,17.0,2.0,2.0,2.0,1.0,13.0,1.0,12.0,0.0,0.0,3.0,70.0,15.0,37.0,5.0,26.0,17.0,0.0,1.0,24.0,29.0,5.0,0.0,24.0,3.0,3.0,3.0,1.0,2.0,0.46,5.0,5.0,5.0,3.0,12,14.0,12
15667,initpart.c,15.0,55.0,6.0,89.0,276.0,64.0,12.0,12.0,12.0,6.0,75.0,15.0,55.0,6.0,0.0,5.0,425.0,89.0,275.0,16.0,221.0,64.0,0.0,1.0,237.0,291.0,16.0,24.0,251.0,18.0,18.0,20.0,12.0,7.0,0.23,59.0,58.0,62.0,33.0,4,10.0,4
15668,system_base.C,5.0,22.0,4.0,190.0,511.0,108.0,3.0,3.0,3.0,1.0,30.0,4.0,20.0,3.0,0.0,23.0,808.0,178.0,463.0,86.0,276.0,98.0,49.0,23.0,215.0,283.0,56.0,20.0,207.0,20.0,20.0,22.0,1.0,4.0,0.21,75.0,75.0,77.0,23.0,0,0.0,0
15670,cell_prism6.C,6.0,23.0,2.0,87.0,222.0,101.0,4.0,3.0,4.0,1.0,29.0,6.0,23.0,2.0,0.0,4.0,352.0,49.0,92.0,10.0,65.0,25.0,185.0,6.0,74.0,81.0,9.0,5.0,67.0,8.0,4.0,8.0,1.0,1.0,0.27,16.0,12.0,16.0,4.0,18,23.0,19
15671,ometis.c,14.0,52.0,4.0,166.0,519.0,92.0,11.0,11.0,11.0,1.0,69.0,14.0,52.0,4.0,0.0,10.0,764.0,166.0,518.0,47.0,406.0,92.0,0.0,1.0,447.0,555.0,44.0,26.0,485.0,24.0,24.0,25.0,7.0,5.0,0.18,107.0,105.0,109.0,18.0,4,10.0,4
15672,mesh_xdr_support.C,13.0,46.0,28.0,209.0,518.0,330.0,6.0,4.0,6.0,1.0,85.0,12.0,37.0,24.0,0.0,11.0,1035.0,191.0,409.0,88.0,244.0,288.0,139.0,35.0,214.0,278.0,64.0,6.0,208.0,43.0,31.0,45.0,1.0,5.0,0.7,61.0,46.0,63.0,11.0,0,0.0,0
15673,thin_system.C,2.0,7.0,2.0,54.0,66.0,36.0,2.0,2.0,2.0,1.0,11.0,2.0,7.0,2.0,0.0,9.0,156.0,54.0,65.0,29.0,22.0,36.0,0.0,1.0,22.0,32.0,13.0,4.0,15.0,3.0,3.0,3.0,1.0,1.0,0.55,14.0,14.0,14.0,9.0,0,0.0,0
15674,edge_inf_edge2.C,0.0,0.0,0.0,25.0,59.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,9.0,0.0,0.0,0.0,15.0,74.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,17.0,14
15675,fe_xyz_shape_2D.C,13.0,41.0,5.0,105.0,261.0,48.0,12.0,3.0,12.0,9.0,59.0,13.0,41.0,5.0,0.0,6.0,414.0,105.0,255.0,52.0,177.0,48.0,0.0,6.0,118.0,191.0,22.0,11.0,158.0,42.0,9.0,42.0,34.0,3.0,0.19,71.0,20.0,71.0,55.0,19,21.0,19
15676,face_inf_quad6.C,0.0,0.0,0.0,66.0,135.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,261.0,7.0,0.0,0.0,0.0,16.0,236.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,23.0,18
15677,wave.c,35.0,170.0,17.0,38.0,171.0,32.0,46.0,46.0,49.0,16.0,222.0,35.0,170.0,17.0,0.0,1.0,241.0,38.0,170.0,12.0,134.0,32.0,0.0,1.0,146.0,179.0,12.0,3.0,164.0,46.0,46.0,49.0,16.0,7.0,0.19,46.0,46.0,49.0,16.0,2,5.0,2
15678,mlsolv.c,4.0,35.0,6.0,34.0,216.0,47.0,4.0,4.0,4.0,1.0,44.0,4.0,35.0,6.0,0.0,6.0,295.0,34.0,208.0,52.0,135.0,47.0,0.0,8.0,114.0,136.0,22.0,0.0,114.0,5.0,5.0,6.0,1.0,3.0,0.23,22.0,22.0,25.0,6.0,2,5.0,2
15679,mlsolv.h,0.0,0.0,0.0,7.0,50.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,7.0,36.0,36.0,0.0,15.0,2.0,12.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.0,0.0,0.0,0.0,2,5.0,2
15680,face_quad4.C,6.0,21.0,0.0,44.0,95.0,45.0,4.0,3.0,4.0,1.0,28.0,6.0,21.0,0.0,0.0,3.0,168.0,39.0,64.0,14.0,41.0,21.0,40.0,4.0,42.0,51.0,13.0,1.0,37.0,6.0,4.0,6.0,1.0,1.0,0.33,12.0,9.0,12.0,3.0,18,24.0,19
15681,quadrature_gauss_3D.C,98.0,301.0,76.0,107.0,303.0,91.0,37.0,6.0,37.0,11.0,474.0,98.0,299.0,76.0,0.0,1.0,500.0,107.0,299.0,27.0,244.0,91.0,0.0,4.0,224.0,263.0,27.0,3.0,233.0,37.0,6.0,37.0,11.0,3.0,0.3,37.0,6.0,37.0,11.0,11,15.0,12
15682,reference_counter.C,11.0,35.0,0.0,28.0,42.0,20.0,1.0,1.0,1.0,1.0,46.0,2.0,4.0,0.0,0.0,1.0,90.0,17.0,5.0,2.0,2.0,20.0,41.0,7.0,2.0,3.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,4.0,1.0,1.0,1.0,1.0,12,14.0,13
15683,perf_log.C,7.0,27.0,2.0,82.0,199.0,35.0,3.0,3.0,3.0,1.0,37.0,7.0,24.0,2.0,0.0,7.0,316.0,82.0,171.0,26.0,127.0,35.0,12.0,16.0,105.0,125.0,20.0,2.0,103.0,5.0,5.0,6.0,1.0,3.0,0.2,21.0,21.0,22.0,7.0,20,24.0,20
15684,mesh_triangle_support.C,0.0,0.0,0.0,75.0,113.0,126.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305.0,36.0,0.0,0.0,0.0,89.0,174.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,6.0,2
15685,kwayfm.c,40.0,164.0,12.0,131.0,494.0,57.0,45.0,45.0,54.0,18.0,213.0,40.0,164.0,12.0,0.0,3.0,672.0,131.0,493.0,23.0,366.0,57.0,0.0,1.0,433.0,548.0,23.0,61.0,464.0,47.0,47.0,57.0,19.0,8.0,0.12,136.0,136.0,162.0,54.0,4,10.0,4
