index,File,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,Bugs,fastread_bugs
4099,mesh_generation.h,3.0,31.0,0.0,32.0,105.0,63.0,8.0,2.0,8.0,1.0,34.0,3.0,31.0,0.0,0.0,2.0,191.0,30.0,93.0,42.0,46.0,54.0,14.0,7.0,22.0,42.0,9.0,2.0,31.0,8.0,2.0,8.0,1.0,1.0,0.58,15.0,4.0,15.0,2.0,0.0,16
4100,laspack_config.h,0.0,0.0,0.0,9.0,17.0,21.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,5.0,1.0,0.0,0.0,15.0,17.0,16.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,15.0,1.0,1.0,1.0,1.0,0.0,2
4272,reference_counted_object.h,2.0,6.0,0.0,29.0,24.0,58.0,1.0,1.0,1.0,1.0,8.0,0.0,3.0,0.0,1.0,2.0,110.0,25.0,13.0,4.0,0.0,58.0,6.0,9.0,1.0,4.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,4.46,2.0,2.0,2.0,2.0,0.0,11
4330,error_estimator.h,0.0,0.0,0.0,16.0,13.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,16.0,7.0,7.0,0.0,31.0,0.0,6.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.43,0.0,0.0,0.0,0.0,0.0,16
4347,numeric_vector.h,1.0,4.0,0.0,101.0,140.0,223.0,1.0,1.0,1.0,1.0,5.0,1.0,4.0,0.0,1.0,14.0,463.0,101.0,132.0,96.0,35.0,223.0,0.0,8.0,63.0,80.0,57.0,0.0,23.0,4.0,4.0,4.0,1.0,1.0,1.69,19.0,19.0,19.0,14.0,0.0,20
4362,mesh_tools.h,0.0,0.0,0.0,37.0,43.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174.0,37.0,37.0,37.0,4.0,96.0,0.0,6.0,18.0,19.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.59,0.0,0.0,0.0,0.0,0.0,40
4371,linear_solver_interface.h,0.0,2.0,0.0,46.0,54.0,72.0,1.0,1.0,1.0,1.0,3.0,0.0,2.0,0.0,1.0,8.0,171.0,46.0,45.0,34.0,10.0,72.0,0.0,9.0,18.0,27.0,20.0,0.0,7.0,1.0,1.0,1.0,1.0,0.0,1.6,8.0,8.0,8.0,8.0,0.0,0
4398,exodusII_io.h,0.0,4.0,0.0,36.0,30.0,54.0,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,3.0,119.0,36.0,26.0,16.0,1.0,54.0,0.0,4.0,8.0,10.0,9.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,2.08,3.0,3.0,3.0,3.0,0.0,38
4474,partitioner.h,0.0,1.0,0.0,27.0,21.0,63.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,3.0,111.0,27.0,17.0,13.0,4.0,63.0,0.0,4.0,7.0,12.0,10.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,3.71,3.0,3.0,3.0,3.0,0.0,18
4502,error_vector.h,0.0,2.0,0.0,26.0,17.0,81.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,1.0,1.0,124.0,26.0,13.0,9.0,1.0,81.0,0.0,4.0,9.0,10.0,9.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,6.23,1.0,1.0,1.0,1.0,0.0,14
4543,fe_interface.h,0.0,1.0,0.0,36.0,50.0,94.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,180.0,36.0,44.0,40.0,2.0,94.0,0.0,6.0,15.0,15.0,14.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,2.14,1.0,1.0,1.0,1.0,0.0,14
4683,tetgen_io.h,0.0,6.0,0.0,37.0,38.0,81.0,1.0,1.0,1.0,1.0,6.0,0.0,6.0,0.0,1.0,2.0,155.0,37.0,32.0,25.0,2.0,81.0,0.0,6.0,13.0,14.0,14.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,2.53,2.0,2.0,2.0,2.0,0.0,14
4727,mesh_input.h,0.0,5.0,0.0,48.0,55.0,57.0,1.0,1.0,1.0,1.0,6.0,0.0,5.0,0.0,1.0,5.0,159.0,48.0,49.0,30.0,6.0,57.0,0.0,6.0,15.0,21.0,13.0,1.0,7.0,2.0,2.0,2.0,1.0,1.0,1.16,7.0,7.0,7.0,5.0,0.0,13
4728,mesh_output.h,0.0,5.0,0.0,47.0,55.0,61.0,1.0,1.0,1.0,1.0,6.0,0.0,5.0,0.0,1.0,5.0,162.0,47.0,48.0,30.0,7.0,61.0,0.0,7.0,18.0,23.0,15.0,1.0,7.0,2.0,2.0,2.0,1.0,0.0,1.27,6.0,6.0,6.0,5.0,0.0,16
4764,operats.h,0.0,0.0,0.0,8.0,41.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,8.0,25.0,25.0,0.0,15.0,2.0,14.0,25.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,2
4780,quadrature.h,0.0,3.0,0.0,58.0,91.0,154.0,2.0,2.0,2.0,1.0,3.0,0.0,3.0,0.0,1.0,11.0,303.0,58.0,63.0,41.0,18.0,154.0,12.0,18.0,36.0,49.0,30.0,0.0,19.0,4.0,4.0,4.0,1.0,1.0,2.44,17.0,17.0,17.0,11.0,0.0,16
4845,eigen_solver.h,0.0,0.0,0.0,46.0,52.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161.0,10.0,0.0,0.0,0.0,16.0,131.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
4866,transient_system.h,1.0,4.0,1.0,50.0,35.0,110.0,2.0,2.0,2.0,1.0,6.0,1.0,4.0,1.0,1.0,3.0,195.0,50.0,31.0,17.0,7.0,110.0,0.0,4.0,17.0,19.0,12.0,0.0,7.0,3.0,3.0,3.0,1.0,0.0,3.55,7.0,7.0,7.0,3.0,0.0,16
4930,vector_value.h,0.0,5.0,0.0,34.0,39.0,41.0,1.0,1.0,1.0,1.0,5.0,0.0,5.0,0.0,1.0,3.0,113.0,34.0,35.0,28.0,3.0,41.0,0.0,4.0,8.0,11.0,11.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.17,3.0,3.0,3.0,3.0,0.0,13
4977,parmetis.h,0.0,0.0,0.0,46.0,115.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193.0,46.0,95.0,95.0,0.0,32.0,4.0,17.0,27.0,27.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.0,5
4987,implicit_system.h,0.0,3.0,0.0,50.0,45.0,118.0,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,4.0,213.0,50.0,41.0,30.0,4.0,118.0,0.0,4.0,26.0,29.0,25.0,0.0,4.0,1.0,1.0,1.0,1.0,0.0,2.88,4.0,4.0,4.0,4.0,0.0,18
4988,nonlinear_solver.h,0.0,3.0,0.0,40.0,51.0,71.0,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,4.0,156.0,40.0,44.0,36.0,6.0,71.0,0.0,7.0,15.0,19.0,17.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,1.61,4.0,4.0,4.0,4.0,0.0,21
5015,tetgen.h,0.0,2.0,0.0,173.0,683.0,992.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,9.0,33.0,1777.0,173.0,670.0,615.0,40.0,992.0,1.0,13.0,586.0,619.0,578.0,0.0,41.0,1.0,1.0,3.0,1.0,0.0,1.48,33.0,33.0,39.0,33.0,0.0,2
5054,eigen_system.h,0.0,0.0,0.0,46.0,35.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171.0,9.0,0.0,0.0,0.0,17.0,140.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15
5057,face_quad8.h,0.0,2.0,0.0,43.0,40.0,81.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,1.0,8.0,164.0,40.0,28.0,22.0,10.0,74.0,15.0,7.0,16.0,24.0,17.0,0.0,7.0,1.0,1.0,1.0,1.0,0.0,2.64,8.0,8.0,8.0,8.0,0.0,21
5082,point_locator_base.h,0.0,4.0,0.0,36.0,37.0,70.0,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,1.0,143.0,36.0,29.0,21.0,5.0,70.0,0.0,8.0,17.0,19.0,17.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,2.41,1.0,1.0,1.0,1.0,0.0,15
5086,edge_edge2.h,0.0,2.0,0.0,35.0,33.0,47.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,1.0,5.0,115.0,31.0,19.0,13.0,7.0,41.0,15.0,9.0,8.0,13.0,9.0,0.0,4.0,1.0,1.0,1.0,1.0,0.0,2.16,5.0,5.0,5.0,5.0,0.0,17
