index,File,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,Bugs,human_bugs
1964,inf_fe_base_radial.C,0.0,0.0,0.0,45.0,87.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,7.0,0.0,0.0,0.0,15.0,146.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,11
1965,ne_glbp.c,75.0,343.0,71.0,80.0,349.0,126.0,51.0,51.0,51.0,46.0,472.0,75.0,343.0,71.0,0.0,1.0,538.0,80.0,343.0,17.0,276.0,126.0,0.0,6.0,161.0,212.0,8.0,0.0,204.0,51.0,51.0,51.0,46.0,3.0,0.37,51.0,51.0,51.0,46.0,0.0,0
1966,inf_elem_builder.h,0.0,0.0,0.0,22.0,41.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,8.0,0.0,0.0,0.0,14.0,105.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,12
1967,medit_io.h,0.0,5.0,0.0,33.0,46.0,59.0,1.0,1.0,1.0,1.0,5.0,0.0,5.0,0.0,1.0,3.0,136.0,33.0,40.0,31.0,3.0,59.0,0.0,6.0,11.0,15.0,14.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.48,3.0,3.0,3.0,3.0,11.0,12
1968,mesh_data.C,4.0,19.0,3.0,206.0,467.0,100.0,14.0,14.0,15.0,1.0,26.0,3.0,17.0,3.0,0.0,24.0,772.0,201.0,404.0,54.0,249.0,92.0,57.0,19.0,502.0,655.0,35.0,9.0,611.0,31.0,31.0,32.0,4.0,6.0,0.23,337.0,337.0,351.0,36.0,12.0,14
1969,mpw.hpp,0.0,0.0,0.0,11.0,51.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,11.0,0.0,0.0,0.0,21.0,5.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1970,dense_matrix_base.h,0.0,4.0,0.0,44.0,63.0,94.0,3.0,3.0,3.0,1.0,4.0,0.0,4.0,0.0,1.0,6.0,199.0,44.0,58.0,44.0,16.0,94.0,0.0,5.0,39.0,52.0,23.0,0.0,29.0,15.0,15.0,15.0,1.0,4.0,1.62,20.0,20.0,20.0,6.0,14.0,14
1971,mesh.h,0.0,1.0,0.0,21.0,26.0,34.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,3.0,80.0,21.0,14.0,11.0,1.0,34.0,4.0,9.0,2.0,7.0,7.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,2.43,3.0,3.0,3.0,3.0,26.0,23
1972,rangeestimation.cc,4.0,82.0,18.0,48.0,806.0,181.0,22.0,11.0,28.0,10.0,95.0,4.0,80.0,18.0,0.0,10.0,950.0,48.0,780.0,132.0,531.0,181.0,14.0,12.0,376.0,602.0,117.0,2.0,483.0,169.0,87.0,219.0,79.0,5.0,0.23,224.0,108.0,284.0,102.0,2.0,4
1973,timestamp.h,0.0,4.0,0.0,14.0,16.0,18.0,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,0.0,1.0,47.0,14.0,11.0,8.0,2.0,18.0,0.0,5.0,2.0,5.0,4.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.64,1.0,1.0,1.0,1.0,8.0,10
