index,File,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,Bugs,human_bugs
223,DiagonalIntegratorFactory.hpp,0.0,2.0,0.0,8.0,30.0,57.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,1.0,3.0,94.0,8.0,23.0,15.0,1.0,57.0,0.0,7.0,12.0,15.0,14.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,2.48,3.0,3.0,3.0,3.0,0.0,0
224,Atom.cpp,4.0,96.0,2.0,14.0,196.0,28.0,1.0,1.0,1.0,1.0,102.0,4.0,96.0,2.0,0.0,2.0,238.0,14.0,192.0,6.0,184.0,28.0,0.0,4.0,186.0,188.0,6.0,0.0,182.0,1.0,1.0,1.0,1.0,0.0,0.15,2.0,2.0,2.0,2.0,5.0,0
225,Atom.hpp,0.0,2.0,0.0,7.0,54.0,54.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,1.0,18.0,113.0,7.0,47.0,40.0,20.0,54.0,0.0,7.0,29.0,48.0,31.0,0.0,17.0,1.0,1.0,1.0,1.0,0.0,1.15,18.0,18.0,18.0,18.0,0.0,0
226,Interface.hpp,0.0,0.0,0.0,49.0,99.0,219.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,366.0,49.0,44.0,42.0,0.0,219.0,0.0,55.0,39.0,68.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.98,0.0,0.0,0.0,0.0,0.0,0
228,InputManager.hpp,0.0,5.0,0.0,7.0,74.0,78.0,1.0,1.0,1.0,1.0,5.0,0.0,5.0,0.0,0.0,3.0,156.0,7.0,67.0,29.0,8.0,78.0,0.0,7.0,52.0,83.0,75.0,0.0,8.0,1.0,1.0,1.0,1.0,0.0,1.16,3.0,3.0,3.0,3.0,0.0,0
229,wavelet_cavity_NH3.cpp,0.0,11.0,0.0,11.0,69.0,34.0,1.0,1.0,1.0,1.0,11.0,0.0,11.0,0.0,0.0,5.0,113.0,11.0,57.0,34.0,32.0,34.0,0.0,12.0,43.0,49.0,33.0,0.0,16.0,2.0,2.0,2.0,1.0,1.0,0.6,6.0,6.0,6.0,5.0,4.0,0
230,Volume.cpp,4.0,20.0,0.0,6.0,25.0,0.0,3.0,3.0,3.0,1.0,24.0,4.0,20.0,0.0,0.0,1.0,31.0,6.0,20.0,9.0,13.0,0.0,0.0,5.0,18.0,21.0,9.0,0.0,12.0,3.0,3.0,3.0,1.0,2.0,0.0,3.0,3.0,3.0,1.0,4.0,0
231,profile_pwl.cpp,4.0,53.0,2.0,21.0,173.0,31.0,2.0,2.0,2.0,1.0,58.0,4.0,50.0,2.0,0.0,3.0,222.0,21.0,152.0,93.0,101.0,31.0,4.0,17.0,140.0,146.0,91.0,0.0,55.0,2.0,2.0,2.0,1.0,1.0,0.2,6.0,6.0,6.0,3.0,3.0,0
232,sparse2.c,2.0,14.0,1.0,75.0,236.0,60.0,2.0,2.0,2.0,1.0,16.0,2.0,14.0,1.0,0.0,16.0,358.0,75.0,231.0,58.0,128.0,60.0,0.0,5.0,165.0,178.0,34.0,0.0,144.0,4.0,4.0,4.0,4.0,2.0,0.26,37.0,37.0,38.0,19.0,3.0,0
233,GePolCavity.cpp,8.0,61.0,22.0,23.0,139.0,68.0,8.0,8.0,8.0,1.0,90.0,8.0,61.0,22.0,0.0,2.0,229.0,23.0,129.0,49.0,100.0,68.0,0.0,10.0,99.0,116.0,42.0,0.0,74.0,13.0,13.0,13.0,1.0,3.0,0.53,16.0,16.0,16.0,2.0,12.0,0
234,GeneralizedSelfAdjointEigenSolver.h,3.0,13.0,2.0,26.0,71.0,132.0,4.0,4.0,6.0,1.0,18.0,3.0,13.0,2.0,1.0,4.0,227.0,26.0,67.0,26.0,35.0,132.0,0.0,4.0,28.0,41.0,17.0,0.0,24.0,11.0,11.0,20.0,1.0,2.0,1.97,14.0,14.0,23.0,4.0,0.0,0
235,Tridiagonalization.h,0.0,8.0,0.0,48.0,238.0,274.0,1.0,1.0,2.0,1.0,9.0,0.0,8.0,0.0,1.0,18.0,557.0,48.0,235.0,116.0,78.0,274.0,0.0,3.0,107.0,143.0,81.0,0.0,62.0,4.0,4.0,4.0,1.0,2.0,1.17,24.0,24.0,33.0,18.0,0.0,0
236,polymul.hpp,0.0,7.0,0.0,141.0,1291.0,162.0,2.0,2.0,2.0,1.0,7.0,0.0,7.0,0.0,1.0,137.0,1582.0,141.0,1259.0,476.0,416.0,162.0,20.0,14.0,497.0,729.0,335.0,0.0,394.0,6.0,6.0,6.0,5.0,3.0,0.13,228.0,228.0,236.0,147.0,0.0,0
239,Transformations.hpp,0.0,0.0,0.0,5.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,5.0,3.0,3.0,0.0,7.0,0.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.33,0.0,0.0,0.0,0.0,0.0,0
240,iefpcm_gepol-NH3_from-file.cpp,2.0,36.0,2.0,9.0,48.0,29.0,2.0,2.0,2.0,1.0,40.0,2.0,36.0,2.0,0.0,1.0,86.0,9.0,36.0,26.0,26.0,29.0,0.0,12.0,31.0,33.0,25.0,0.0,8.0,2.0,2.0,2.0,1.0,1.0,0.81,2.0,2.0,2.0,1.0,7.0,0
241,toroidal3.c,4.0,33.0,0.0,21.0,106.0,10.0,5.0,5.0,5.0,1.0,37.0,4.0,33.0,0.0,0.0,3.0,137.0,21.0,98.0,11.0,71.0,10.0,0.0,8.0,74.0,89.0,11.0,0.0,78.0,9.0,9.0,9.0,1.0,5.0,0.1,15.0,15.0,16.0,3.0,0.0,0
242,SparseLU_Memory.h,3.0,22.0,4.0,30.0,125.0,80.0,4.0,4.0,5.0,2.0,27.0,3.0,22.0,4.0,0.0,5.0,222.0,30.0,122.0,25.0,67.0,80.0,0.0,3.0,54.0,72.0,16.0,0.0,56.0,11.0,11.0,12.0,6.0,3.0,0.66,21.0,21.0,25.0,14.0,0.0,0
243,SurfaceFunction.cpp,0.0,7.0,0.0,20.0,86.0,29.0,2.0,2.0,2.0,1.0,7.0,0.0,7.0,0.0,0.0,12.0,132.0,20.0,81.0,14.0,41.0,29.0,0.0,5.0,37.0,61.0,17.0,0.0,44.0,3.0,3.0,3.0,1.0,1.0,0.36,21.0,21.0,21.0,12.0,5.0,0
244,SurfaceFunction.hpp,0.0,3.0,0.0,17.0,78.0,61.0,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,19.0,155.0,17.0,71.0,41.0,23.0,61.0,0.0,7.0,40.0,58.0,35.0,0.0,23.0,1.0,1.0,1.0,1.0,0.0,0.86,19.0,19.0,19.0,19.0,0.0,0
245,memory.c,0.0,11.0,0.0,49.0,256.0,10.0,2.0,2.0,2.0,1.0,11.0,0.0,11.0,0.0,0.0,23.0,315.0,49.0,252.0,52.0,142.0,10.0,0.0,4.0,181.0,233.0,52.0,0.0,181.0,6.0,6.0,6.0,1.0,2.0,0.04,52.0,52.0,52.0,23.0,0.0,0
246,ColPivHouseholderQR.h,1.0,7.0,1.0,70.0,283.0,230.0,1.0,1.0,2.0,1.0,9.0,1.0,7.0,1.0,1.0,28.0,579.0,70.0,280.0,127.0,99.0,230.0,0.0,3.0,140.0,237.0,146.0,0.0,91.0,8.0,8.0,8.0,3.0,2.0,0.82,37.0,37.0,56.0,30.0,0.0,0
247,trimmed_sphere.c,1.0,18.0,0.0,23.0,115.0,10.0,2.0,2.0,2.0,1.0,19.0,1.0,18.0,0.0,0.0,6.0,148.0,23.0,107.0,18.0,76.0,10.0,0.0,8.0,91.0,102.0,18.0,0.0,84.0,3.0,3.0,3.0,1.0,1.0,0.09,11.0,11.0,11.0,6.0,0.0,0
248,Umeyama.h,16.0,54.0,12.0,29.0,79.0,73.0,7.0,7.0,7.0,1.0,80.0,16.0,54.0,12.0,0.0,1.0,177.0,29.0,74.0,42.0,38.0,73.0,0.0,5.0,42.0,51.0,29.0,1.0,21.0,7.0,7.0,7.0,1.0,2.0,0.99,7.0,7.0,7.0,1.0,0.0,0
249,cxx11-test-variadic_templates.cpp,0.0,5.0,0.0,3.0,20.0,0.0,1.0,1.0,2.0,1.0,5.0,0.0,5.0,0.0,0.0,4.0,23.0,3.0,20.0,8.0,6.0,0.0,0.0,0.0,6.0,10.0,6.0,0.0,4.0,2.0,2.0,3.0,1.0,0.0,0.0,5.0,5.0,6.0,4.0,1.0,0
250,GreensFunctionFactory.hpp,0.0,2.0,0.0,8.0,32.0,57.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,1.0,3.0,96.0,8.0,25.0,17.0,1.0,57.0,0.0,7.0,13.0,16.0,15.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,2.28,3.0,3.0,3.0,3.0,0.0,0
252,dwt_pwl.c,5.0,63.0,24.0,27.0,194.0,79.0,16.0,16.0,18.0,1.0,73.0,5.0,63.0,24.0,0.0,3.0,244.0,27.0,189.0,47.0,103.0,79.0,0.0,5.0,169.0,200.0,31.0,1.0,168.0,17.0,17.0,21.0,1.0,7.0,0.42,47.0,47.0,55.0,3.0,3.0,0
253,mask_pwl.h,0.0,0.0,0.0,4.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,4.0,1.0,1.0,0.0,7.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,3.0,0
254,treatblend8.c,2.0,34.0,0.0,73.0,559.0,10.0,6.0,6.0,6.0,1.0,36.0,2.0,34.0,0.0,0.0,16.0,642.0,73.0,546.0,54.0,421.0,10.0,0.0,13.0,456.0,546.0,54.0,0.0,492.0,24.0,24.0,24.0,9.0,6.0,0.02,90.0,90.0,92.0,28.0,0.0,0
255,input_embeddedPython.cpp,0.0,35.0,2.0,18.0,282.0,41.0,1.0,1.0,1.0,1.0,36.0,0.0,35.0,2.0,0.0,6.0,336.0,18.0,271.0,185.0,79.0,41.0,0.0,11.0,249.0,280.0,206.0,0.0,74.0,1.0,1.0,1.0,1.0,0.0,0.15,6.0,6.0,6.0,6.0,0.0,0
256,expand.c,1.0,31.0,0.0,21.0,227.0,10.0,6.0,6.0,6.0,1.0,32.0,1.0,31.0,0.0,0.0,7.0,258.0,21.0,220.0,19.0,163.0,10.0,0.0,7.0,167.0,207.0,19.0,0.0,188.0,9.0,9.0,9.0,3.0,5.0,0.05,40.0,40.0,40.0,9.0,0.0,0
257,UniformDielectric.hpp,0.0,3.0,0.0,8.0,55.0,7.0,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,5.0,69.0,8.0,45.0,34.0,6.0,7.0,0.0,10.0,14.0,20.0,17.0,0.0,3.0,1.0,1.0,1.0,1.0,0.0,0.16,5.0,5.0,5.0,5.0,0.0,0
258,SkylineProduct.h,2.0,14.0,1.0,57.0,207.0,34.0,3.0,3.0,5.0,1.0,17.0,2.0,14.0,1.0,1.0,10.0,295.0,57.0,204.0,128.0,66.0,34.0,0.0,3.0,92.0,125.0,73.0,0.0,52.0,9.0,9.0,15.0,1.0,3.0,0.17,26.0,26.0,46.0,10.0,0.0,0
259,fairing.c,2.0,32.0,0.0,117.0,819.0,10.0,5.0,5.0,5.0,1.0,34.0,2.0,32.0,0.0,0.0,25.0,946.0,117.0,809.0,97.0,624.0,10.0,0.0,10.0,722.0,840.0,97.0,0.0,743.0,16.0,16.0,16.0,1.0,2.0,0.01,117.0,114.0,120.0,25.0,0.0,0
260,ForceAlignedAccess.h,0.0,4.0,0.0,25.0,89.0,34.0,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,16.0,146.0,25.0,86.0,45.0,16.0,34.0,0.0,3.0,22.0,52.0,36.0,0.0,16.0,1.0,1.0,1.0,1.0,0.0,0.4,16.0,16.0,16.0,16.0,0.0,0
261,partcas2.c,1.0,23.0,0.0,36.0,260.0,10.0,3.0,3.0,4.0,1.0,24.0,1.0,23.0,0.0,0.0,11.0,306.0,36.0,253.0,37.0,185.0,10.0,0.0,7.0,183.0,217.0,37.0,0.0,180.0,7.0,7.0,10.0,3.0,3.0,0.04,34.0,34.0,44.0,13.0,0.0,0
262,ArrayBase.h,0.0,3.0,0.0,31.0,135.0,66.0,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,0.0,14.0,228.0,31.0,117.0,57.0,21.0,66.0,1.0,18.0,66.0,110.0,64.0,0.0,46.0,1.0,1.0,1.0,1.0,0.0,0.56,14.0,14.0,14.0,14.0,0.0,0
263,CommonCwiseUnaryOps.h,0.0,0.0,0.0,20.0,78.0,75.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,172.0,20.0,73.0,47.0,2.0,75.0,1.0,4.0,7.0,20.0,20.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.03,14.0,14.0,14.0,14.0,0.0,0
264,MatrixCwiseUnaryOps.h,0.0,0.0,0.0,6.0,14.0,47.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,6.0,14.0,10.0,0.0,47.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,3.36,5.0,5.0,5.0,5.0,0.0,0
265,ArrayCwiseUnaryOps.h,0.0,0.0,0.0,22.0,83.0,98.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,203.0,22.0,77.0,34.0,0.0,98.0,0.0,6.0,0.0,20.0,20.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.27,20.0,20.0,20.0,20.0,0.0,0
266,CommonCwiseBinaryOps.h,0.0,0.0,0.0,5.0,8.0,33.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,5.0,8.0,5.0,1.0,33.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,4.12,1.0,1.0,1.0,1.0,0.0,0
267,MatrixCwiseBinaryOps.h,2.0,1.0,0.0,10.0,46.0,70.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,0.0,0.0,46.0,126.0,10.0,46.0,22.0,13.0,70.0,0.0,0.0,48.0,70.0,24.0,0.0,46.0,1.0,1.0,1.0,1.0,0.0,1.52,6.0,6.0,6.0,6.0,0.0,0
