index,File,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,Bugs
62,TensorImagePatch.h,1.0,7.0,1.0,67.0,373.0,73.0,2.0,2.0,2.0,1.0,9.0,1.0,7.0,1.0,1.0,38.0,509.0,67.0,370.0,221.0,183.0,73.0,0.0,3.0,232.0,295.0,161.0,0.0,134.0,10.0,10.0,16.0,7.0,2.0,0.20,66.0,65.0,79.0,46.0,0.0
63,input_restart.cpp,1.0,40.0,2.0,7.0,53.0,28.0,69.0,69.0,86.0,1.0,41.0,1.0,40.0,2.0,0.0,1.0,86.0,7.0,42.0,20.0,36.0,28.0,0.0,11.0,142.0,198.0,43.0,17.0,138.0,69.0,69.0,86.0,1.0,3.0,0.67,69.0,69.0,86.0,1.0,0.0
65,BIOperatorData.hpp,0.0,2.0,0.0,5.0,10.0,29.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,0.0,1.0,43.0,5.0,8.0,7.0,0.0,29.0,0.0,2.0,3.0,5.0,5.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,3.62,1.0,1.0,1.0,1.0,0.0
66,CavityData.hpp,0.0,12.0,0.0,6.0,26.0,33.0,1.0,1.0,1.0,1.0,12.0,0.0,12.0,0.0,0.0,1.0,64.0,6.0,22.0,21.0,0.0,33.0,0.0,4.0,7.0,9.0,9.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.50,1.0,1.0,1.0,1.0,0.0
67,Input.hpp,0.0,1.0,0.0,25.0,117.0,128.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,24.0,267.0,25.0,107.0,98.0,24.0,128.0,0.0,10.0,95.0,126.0,99.0,0.0,27.0,1.0,1.0,1.0,1.0,0.0,1.20,24.0,24.0,24.0,24.0,0.0
68,Sphere.hpp,0.0,3.0,0.0,9.0,30.0,40.0,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,0.0,5.0,77.0,9.0,24.0,16.0,5.0,40.0,0.0,6.0,9.0,16.0,11.0,0.0,5.0,1.0,1.0,1.0,1.0,0.0,1.67,5.0,5.0,5.0,5.0,0.0
69,DisableStupidWarnings.h,0.0,0.0,0.0,8.0,39.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,3.0,0.0,0.0,0.0,1.0,62.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0
70,MembraneTanh.hpp,0.0,8.0,0.0,6.0,84.0,58.0,1.0,1.0,2.0,1.0,8.0,0.0,8.0,0.0,1.0,8.0,146.0,6.0,80.0,46.0,36.0,58.0,0.0,4.0,39.0,52.0,30.0,0.0,22.0,3.0,3.0,3.0,1.0,1.0,0.72,11.0,11.0,12.0,8.0,0.0
72,CholmodSupport.h,0.0,7.0,0.0,82.0,384.0,178.0,1.0,1.0,2.0,1.0,8.0,0.0,7.0,0.0,5.0,41.0,639.0,82.0,379.0,133.0,168.0,178.0,0.0,5.0,196.0,265.0,111.0,0.0,154.0,5.0,5.0,6.0,1.0,2.0,0.47,60.0,57.0,66.0,41.0,0.0
73,TensorShuffling.h,0.0,7.0,0.0,42.0,205.0,23.0,2.0,2.0,2.0,1.0,7.0,0.0,7.0,0.0,1.0,17.0,264.0,42.0,202.0,119.0,67.0,23.0,0.0,3.0,111.0,144.0,89.0,0.0,55.0,6.0,6.0,6.0,1.0,2.0,0.11,27.0,27.0,27.0,17.0,0.0
