index,File,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,Bugs
709,earscut.c,1.0,26.0,0.0,94.0,635.0,10.0,5.0,5.0,5.0,2.0,27.0,1.0,26.0,0.0,0.0,24.0,739.0,94.0,628.0,69.0,465.0,10.0,0.0,7.0,462.0,572.0,69.0,0.0,503.0,13.0,13.0,14.0,8.0,5.0,0.02,110.0,110.0,118.0,58.0,0.0
710,intlin4.c,13.0,75.0,1.0,17.0,87.0,4.0,3.0,3.0,3.0,1.0,89.0,13.0,75.0,1.0,0.0,1.0,108.0,17.0,75.0,13.0,59.0,4.0,0.0,12.0,72.0,68.0,6.0,0.0,62.0,3.0,3.0,3.0,1.0,2.0,0.05,3.0,3.0,3.0,1.0,4.0
711,EigenBase.h,0.0,4.0,1.0,22.0,82.0,59.0,1.0,1.0,1.0,1.0,4.0,0.0,4.0,1.0,0.0,16.0,161.0,22.0,79.0,43.0,20.0,59.0,0.0,3.0,27.0,57.0,37.0,0.0,20.0,1.0,1.0,1.0,1.0,0.0,0.75,16.0,16.0,16.0,16.0,0.0
712,SparseBlock.h,0.0,4.0,0.0,67.0,299.0,44.0,2.0,2.0,2.0,1.0,4.0,0.0,4.0,0.0,8.0,54.0,405.0,67.0,296.0,168.0,101.0,44.0,0.0,3.0,132.0,205.0,124.0,1.0,80.0,8.0,8.0,8.0,3.0,2.0,0.15,94.0,94.0,98.0,55.0,0.0
713,holefill.c,0.0,27.0,0.0,52.0,540.0,10.0,6.0,6.0,6.0,2.0,27.0,0.0,27.0,0.0,0.0,20.0,602.0,52.0,531.0,55.0,377.0,10.0,0.0,9.0,390.0,506.0,55.0,0.0,451.0,14.0,14.0,14.0,6.0,7.0,0.02,116.0,116.0,117.0,51.0,0.0
714,SimplicialCholesky_impl.h,8.0,60.0,14.0,24.0,128.0,69.0,12.0,12.0,12.0,3.0,71.0,8.0,60.0,14.0,0.0,2.0,199.0,24.0,124.0,30.0,84.0,69.0,0.0,4.0,87.0,108.0,27.0,2.0,79.0,15.0,15.0,16.0,5.0,5.0,0.56,23.0,23.0,24.0,6.0,0.0
715,dwt_pwl.c,5.0,63.0,24.0,27.0,194.0,79.0,16.0,16.0,18.0,1.0,73.0,5.0,63.0,24.0,0.0,3.0,244.0,27.0,189.0,47.0,103.0,79.0,0.0,5.0,169.0,200.0,31.0,1.0,168.0,17.0,17.0,21.0,1.0,7.0,0.42,47.0,47.0,55.0,3.0,4.0
716,Determinant.h,0.0,6.0,0.0,14.0,74.0,16.0,1.0,1.0,1.0,1.0,6.0,0.0,6.0,0.0,0.0,7.0,101.0,14.0,71.0,26.0,18.0,16.0,0.0,3.0,16.0,33.0,24.0,0.0,9.0,2.0,2.0,3.0,1.0,1.0,0.23,8.0,8.0,9.0,7.0,0.0
717,composite_curve.c,2.0,28.0,0.0,99.0,620.0,10.0,5.0,4.0,6.0,1.0,30.0,2.0,28.0,0.0,0.0,22.0,729.0,99.0,613.0,64.0,462.0,10.0,0.0,7.0,462.0,581.0,64.0,0.0,517.0,14.0,10.0,15.0,5.0,3.0,0.02,112.0,98.0,121.0,39.0,0.0
718,Lazy.h,0.0,5.0,0.0,9.0,32.0,32.0,1.0,1.0,1.0,1.0,5.0,0.0,5.0,0.0,0.0,3.0,71.0,9.0,29.0,17.0,3.0,32.0,0.0,3.0,6.0,16.0,11.0,0.0,5.0,1.0,1.0,1.0,1.0,0.0,1.1,3.0,3.0,3.0,3.0,0.0
719,IonicLiquid.cpp,4.0,18.0,3.0,40.0,150.0,25.0,2.0,2.0,2.0,1.0,26.0,4.0,18.0,3.0,0.0,7.0,215.0,40.0,129.0,31.0,91.0,25.0,7.0,21.0,87.0,100.0,26.0,0.0,74.0,3.0,3.0,3.0,1.0,1.0,0.19,13.0,13.0,13.0,7.0,10.0
720,TriangularMatrixMatrix_MKL.h,0.0,1.0,0.0,15.0,260.0,65.0,8.0,8.0,9.0,1.0,1.0,0.0,1.0,0.0,0.0,16.0,309.0,15.0,29.0,24.0,16.0,65.0,0.0,231.0,383.0,492.0,228.0,0.0,264.0,15.0,15.0,17.0,1.0,2.0,2.24,128.0,128.0,144.0,16.0,0.0
721,debug_wavcav.cpp,0.0,27.0,2.0,3.0,35.0,2.0,1.0,1.0,1.0,1.0,27.0,0.0,27.0,2.0,0.0,1.0,38.0,3.0,27.0,19.0,14.0,2.0,0.0,8.0,25.0,26.0,19.0,0.0,7.0,1.0,1.0,1.0,1.0,0.0,0.07,1.0,1.0,1.0,1.0,7.0
722,baryc.c,0.0,10.0,0.0,7.0,34.0,11.0,1.0,1.0,1.0,1.0,10.0,0.0,10.0,0.0,0.0,3.0,52.0,7.0,30.0,6.0,18.0,11.0,0.0,4.0,21.0,24.0,6.0,0.0,18.0,1.0,1.0,1.0,1.0,0.0,0.37,3.0,3.0,3.0,3.0,0.0
723,planeeq_vil.c,1.0,28.0,1.0,25.0,204.0,18.0,4.0,4.0,4.0,2.0,30.0,1.0,28.0,1.0,0.0,7.0,247.0,25.0,195.0,25.0,144.0,18.0,0.0,9.0,143.0,173.0,25.0,0.0,148.0,10.0,10.0,10.0,6.0,3.0,0.09,30.0,30.0,30.0,17.0,0.0
