Name,AvgCyclomatic,AvgCyclomaticModified,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclExecutableUnit,CountDeclModule,CountDeclProgunit,CountDeclSubprogram,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumEssential,Bugs
m_ptg_S4.f90,2.0,2.0,1.0,88.0,9.0,67.0,12.0,1.0,1.0,1.0,1.0,138.0,18.0,72.0,23.0,48.0,50.0,63.0,14.0,49.0,2.0,2.0,1.0,1.0,0.69,2.0,2.0,1.0,1.0
orbmag.f90,20.0,20.0,0.0,353.0,73.0,235.0,51.0,2.0,0.0,1.0,1.0,785.0,150.0,472.0,163.0,308.0,179.0,350.0,69.0,281.0,41.0,41.0,1.0,11.0,0.38,41.0,41.0,1.0,1.0
m_pred_velverlet.f90,28.0,28.0,1.0,213.0,39.0,120.0,72.0,1.0,1.0,1.0,1.0,308.0,51.0,134.0,43.0,90.0,143.0,127.0,37.0,90.0,28.0,28.0,1.0,3.0,1.07,28.0,28.0,1.0,1.0
m_ebands.f90,7.0,7.0,2.0,75.0,13.0,45.0,17.0,51.0,1.0,1.0,51.0,5547.0,907.0,2453.0,840.0,1497.0,2337.0,2147.0,612.0,1535.0,26.0,26.0,14.0,6.0,0.95,396.0,381.0,130.0,1.0
m_abimover.f90,6.0,5.0,1.0,90.0,14.0,47.0,31.0,20.0,1.0,1.0,20.0,3108.0,475.0,1174.0,363.0,707.0,1552.0,946.0,308.0,638.0,24.0,18.0,5.0,5.0,1.32,125.0,107.0,24.0,1.0
dfptnl_loop.f90,53.0,53.0,1.0,686.0,95.0,535.0,80.0,1.0,0.0,1.0,1.0,799.0,99.0,537.0,188.0,348.0,189.0,384.0,108.0,276.0,53.0,53.0,1.0,13.0,0.35,53.0,53.0,1.0,1.0
m_symlist.f90,68.0,63.0,3.0,197.0,36.0,140.0,21.0,4.0,1.0,1.0,4.0,968.0,164.0,573.0,40.0,532.0,235.0,818.0,39.0,779.0,165.0,157.0,10.0,3.0,0.41,273.0,255.0,13.0,1.0
paw_mknewh0.f90,14.0,14.0,0.0,134.0,19.0,93.0,30.0,2.0,0.0,1.0,1.0,319.0,41.0,188.0,63.0,116.0,107.0,154.0,41.0,113.0,29.0,29.0,1.0,6.0,0.57,29.0,29.0,1.0,1.0
abi_xcopy.f90,1.0,1.0,1.0,28.0,6.0,13.0,9.0,9.0,0.0,9.0,9.0,399.0,76.0,118.0,86.0,32.0,207.0,124.0,86.0,38.0,3.0,3.0,1.0,1.0,1.75,15.0,15.0,9.0,1.0
m_cgtk.f90,14.0,14.0,1.0,135.0,24.0,85.0,31.0,1.0,1.0,1.0,1.0,223.0,36.0,101.0,41.0,59.0,93.0,99.0,33.0,66.0,14.0,14.0,1.0,4.0,0.92,14.0,14.0,1.0,1.0
m_dfpt_rhotov.f90,37.0,37.0,1.0,273.0,40.0,181.0,58.0,1.0,1.0,1.0,1.0,395.0,52.0,197.0,65.0,131.0,154.0,174.0,46.0,128.0,37.0,37.0,1.0,4.0,0.78,37.0,37.0,1.0,1.0
m_gstate.f90,38.0,38.0,1.0,355.0,53.0,234.0,71.0,6.0,1.0,1.0,6.0,2617.0,344.0,1481.0,343.0,1065.0,814.0,1176.0,225.0,951.0,162.0,162.0,1.0,5.0,0.55,228.0,228.0,6.0,1.0
m_vtowfk.f90,108.0,108.0,3.0,817.0,107.0,561.0,173.0,1.0,1.0,1.0,1.0,972.0,119.0,588.0,133.0,436.0,291.0,468.0,73.0,395.0,108.0,108.0,3.0,7.0,0.49,108.0,108.0,3.0,1.0
m_cohsex.f90,34.0,34.0,5.0,260.0,41.0,171.0,59.0,3.0,1.0,1.0,2.0,990.0,137.0,547.0,173.0,371.0,344.0,489.0,103.0,386.0,94.0,93.0,10.0,9.0,0.63,104.0,103.0,15.0,1.0
m_spin_hist.f90,4.0,4.0,1.0,32.0,4.0,21.0,6.0,8.0,1.0,1.0,8.0,606.0,66.0,220.0,118.0,101.0,322.0,179.0,80.0,99.0,15.0,15.0,1.0,1.0,1.46,34.0,34.0,8.0,1.0
m_frskerker1.f90,1.0,1.0,1.0,29.0,6.0,14.0,8.0,5.0,1.0,1.0,5.0,315.0,49.0,94.0,58.0,35.0,177.0,84.0,51.0,33.0,2.0,2.0,1.0,1.0,1.88,9.0,9.0,5.0,1.0
ujdet.f90,31.0,31.0,1.0,312.0,66.0,191.0,57.0,1.0,0.0,1.0,1.0,348.0,70.0,193.0,48.0,137.0,89.0,187.0,31.0,156.0,31.0,31.0,1.0,2.0,0.46,31.0,31.0,1.0,1.0
m_fft_prof.f90,8.0,7.0,1.0,79.0,15.0,47.0,17.0,20.0,1.0,1.0,20.0,2217.0,397.0,1035.0,409.0,625.0,808.0,959.0,323.0,636.0,39.0,36.0,4.0,7.0,0.78,162.0,158.0,23.0,1.0
posratecore.f90,63.0,63.0,1.0,391.0,38.0,307.0,52.0,1.0,0.0,1.0,1.0,445.0,41.0,309.0,129.0,179.0,103.0,252.0,48.0,204.0,63.0,63.0,1.0,5.0,0.33,63.0,63.0,1.0,1.0
