Name,AvgCyclomatic,AvgCyclomaticModified,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclExecutableUnit,CountDeclModule,CountDeclProgunit,CountDeclSubprogram,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumEssential,Bugs
wrtout.f90,6.0,6.0,1.0,47.0,10.0,28.0,9.0,3.0,0.0,2.0,2.0,302.0,38.0,88.0,31.0,53.0,181.0,86.0,29.0,57.0,11.0,11.0,3.0,2.0,2.06,20.0,20.0,4.0,1.0
multibinit.f90,19.0,18.0,1.0,323.0,52.0,182.0,91.0,1.0,0.0,1.0,1.0,364.0,55.0,184.0,41.0,141.0,129.0,167.0,38.0,129.0,19.0,18.0,1.0,3.0,0.7,19.0,18.0,1.0,1.0
m_polynomial_coeff.f90,4.0,4.0,1.0,54.0,9.0,29.0,14.0,5.0,1.0,1.0,5.0,476.0,76.0,171.0,73.0,97.0,232.0,148.0,61.0,87.0,10.0,9.0,1.0,5.0,1.36,24.0,23.0,5.0,1.0
chkinp.f90,226.0,226.0,5.0,1627.0,149.0,1212.0,293.0,2.0,0.0,1.0,1.0,3304.0,301.0,2427.0,186.0,2222.0,633.0,2041.0,40.0,2001.0,453.0,453.0,11.0,7.0,0.26,453.0,453.0,11.0,1.0
appdig.f90,4.0,4.0,1.0,61.0,9.0,29.0,23.0,1.0,0.0,1.0,1.0,103.0,13.0,31.0,14.0,16.0,61.0,27.0,12.0,15.0,4.0,4.0,1.0,1.0,1.97,4.0,4.0,1.0,1.0
m_multibinit_dataset.f90,52.0,52.0,1.0,321.0,42.0,240.0,39.0,3.0,1.0,1.0,3.0,1197.0,160.0,793.0,195.0,597.0,252.0,607.0,91.0,516.0,122.0,122.0,1.0,4.0,0.32,156.0,156.0,3.0,1.0
gstate.f90,51.0,51.0,0.0,559.0,80.0,357.0,127.0,3.0,0.0,1.0,2.0,1710.0,229.0,1035.0,242.0,724.0,464.0,771.0,139.0,632.0,147.0,147.0,1.0,3.0,0.45,153.0,153.0,2.0,1.0
m_epjdos.f90,18.0,17.0,1.0,150.0,22.0,105.0,30.0,11.0,1.0,1.0,11.0,1909.0,276.0,1103.0,276.0,740.0,612.0,889.0,191.0,698.0,70.0,70.0,9.0,9.0,0.55,198.0,197.0,19.0,1.0
m_sigmaph.f90,12.0,12.0,2.0,146.0,23.0,86.0,39.0,11.0,1.0,1.0,11.0,2158.0,348.0,1045.0,383.0,580.0,811.0,845.0,240.0,605.0,50.0,50.0,11.0,8.0,0.78,140.0,140.0,30.0,1.0
m_results_gs.f90,8.0,8.0,1.0,65.0,11.0,40.0,13.0,7.0,1.0,1.0,7.0,797.0,130.0,322.0,133.0,168.0,354.0,262.0,83.0,179.0,27.0,27.0,1.0,4.0,1.1,59.0,59.0,7.0,1.0
intagm.f90,37.0,37.0,0.0,282.0,38.0,199.0,45.0,2.0,0.0,1.0,1.0,680.0,79.0,401.0,60.0,340.0,204.0,342.0,33.0,309.0,74.0,74.0,1.0,5.0,0.51,74.0,74.0,1.0,1.0
m_atomdata.f90,38.0,4.0,1.0,116.0,14.0,89.0,13.0,6.0,1.0,1.0,6.0,916.0,114.0,558.0,63.0,494.0,257.0,972.0,61.0,911.0,106.0,18.0,1.0,3.0,0.46,233.0,26.0,6.0,1.0
defs_abitypes.f90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1806.0,228.0,1112.0,1111.0,0.0,654.0,1110.0,1110.0,0.0,0.0,0.0,0.0,0.0,0.59,0.0,0.0,0.0,1.0
