Name,AvgCyclomatic,AvgCyclomaticModified,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclExecutableUnit,CountDeclModule,CountDeclProgunit,CountDeclSubprogram,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumEssential,Bugs
calc_sigc_me.f90,81.0,78.0,4.0,630.0,69.0,430.0,170.0,2.0,0.0,1.0,1.0,1383.0,142.0,863.0,244.0,603.0,460.0,694.0,106.0,588.0,162.0,157.0,9.0,9.0,0.53,162.0,157.0,9.0,1.0
invars2.f90,381.0,381.0,2.0,1411.0,273.0,1061.0,87.0,2.0,0.0,1.0,1.0,2890.0,549.0,2124.0,110.0,1992.0,240.0,2431.0,42.0,2389.0,763.0,763.0,5.0,6.0,0.11,763.0,763.0,5.0,1.0
setup_sigma.f90,33.0,32.0,4.0,303.0,38.0,208.0,65.0,4.0,0.0,3.0,3.0,1326.0,162.0,836.0,217.0,605.0,364.0,693.0,109.0,584.0,98.0,98.0,14.0,7.0,0.44,132.0,131.0,16.0,1.0
m_BathOperator.f90,6.0,6.0,1.0,59.0,7.0,34.0,19.0,18.0,1.0,1.0,18.0,1802.0,177.0,676.0,229.0,431.0,980.0,710.0,224.0,486.0,19.0,19.0,1.0,4.0,1.45,119.0,119.0,18.0,1.0
calc_sigc_me.f90,81.0,78.0,4.0,630.0,69.0,430.0,170.0,2.0,0.0,1.0,1.0,1383.0,142.0,863.0,244.0,603.0,460.0,694.0,106.0,588.0,162.0,157.0,9.0,9.0,0.53,162.0,157.0,9.0,0.0
invars2.f90,380.0,380.0,2.0,1405.0,272.0,1056.0,87.0,2.0,0.0,1.0,1.0,2879.0,548.0,2115.0,108.0,1985.0,239.0,2425.0,42.0,2383.0,760.0,760.0,5.0,6.0,0.11,760.0,760.0,5.0,0.0
setup_sigma.f90,33.0,32.0,4.0,303.0,38.0,208.0,65.0,4.0,0.0,3.0,3.0,1326.0,162.0,835.0,217.0,604.0,365.0,692.0,109.0,583.0,98.0,98.0,14.0,7.0,0.44,132.0,131.0,16.0,0.0
m_BathOperator.f90,6.0,6.0,1.0,59.0,7.0,33.0,19.0,18.0,1.0,1.0,18.0,1802.0,177.0,668.0,229.0,423.0,988.0,698.0,224.0,474.0,19.0,19.0,1.0,4.0,1.48,115.0,115.0,18.0,0.0
timana.f90,166.0,75.0,108.0,1591.0,169.0,1272.0,178.0,1.0,0.0,1.0,1.0,1698.0,172.0,1274.0,34.0,1209.0,282.0,1394.0,31.0,1363.0,166.0,75.0,108.0,7.0,0.22,166.0,75.0,108.0,1.0
outvar_a_h.f90,37.0,37.0,0.0,509.0,115.0,356.0,52.0,2.0,0.0,1.0,1.0,1096.0,233.0,714.0,42.0,671.0,180.0,679.0,27.0,652.0,75.0,75.0,1.0,5.0,0.25,75.0,75.0,1.0,1.0
dfpt_nstdy.f90,31.0,31.0,2.0,277.0,34.0,187.0,59.0,2.0,0.0,1.0,1.0,652.0,72.0,377.0,116.0,256.0,213.0,319.0,71.0,248.0,63.0,63.0,4.0,6.0,0.56,63.0,63.0,4.0,1.0
m_fock.f90,14.0,14.0,2.0,145.0,19.0,75.0,51.0,13.0,1.0,1.0,13.0,2623.0,365.0,1077.0,349.0,723.0,1214.0,1017.0,232.0,785.0,54.0,54.0,11.0,8.0,1.13,183.0,183.0,35.0,1.0
calc_ubare.f90,3.0,3.0,0.0,37.0,3.0,30.0,4.0,4.0,0.0,1.0,1.0,198.0,15.0,124.0,32.0,91.0,62.0,100.0,22.0,78.0,15.0,15.0,1.0,7.0,0.5,15.0,15.0,1.0,1.0
fock_getghc.f90,52.0,52.0,7.0,537.0,47.0,365.0,135.0,1.0,0.0,1.0,1.0,584.0,50.0,367.0,107.0,257.0,179.0,311.0,43.0,268.0,52.0,52.0,7.0,7.0,0.49,52.0,52.0,7.0,1.0
dtfil_init.f90,41.0,41.0,1.0,503.0,58.0,360.0,106.0,1.0,0.0,1.0,1.0,560.0,61.0,362.0,44.0,317.0,160.0,366.0,36.0,330.0,41.0,41.0,1.0,3.0,0.44,41.0,41.0,1.0,1.0
dfptnl_resp.f90,15.0,15.0,4.0,279.0,56.0,186.0,43.0,1.0,0.0,1.0,1.0,351.0,60.0,188.0,73.0,114.0,111.0,167.0,45.0,122.0,15.0,15.0,4.0,5.0,0.59,15.0,15.0,4.0,1.0
scfcv.f90,85.0,85.0,4.0,639.0,69.0,479.0,102.0,3.0,0.0,1.0,1.0,2078.0,211.0,1439.0,315.0,1093.0,464.0,1187.0,171.0,1016.0,257.0,257.0,12.0,5.0,0.32,257.0,257.0,12.0,1.0
energy.f90,45.0,45.0,3.0,370.0,37.0,288.0,45.0,2.0,0.0,1.0,1.0,892.0,78.0,579.0,158.0,413.0,240.0,486.0,95.0,391.0,91.0,91.0,6.0,6.0,0.41,91.0,91.0,6.0,1.0
vtorho.f90,18.0,18.0,2.0,197.0,27.0,122.0,51.0,12.0,0.0,1.0,7.0,2224.0,254.0,1311.0,312.0,910.0,695.0,1045.0,195.0,850.0,206.0,206.0,15.0,4.0,0.53,227.0,227.0,26.0,1.0
m_ddk.f90,7.0,7.0,1.0,74.0,14.0,44.0,15.0,4.0,1.0,1.0,4.0,540.0,111.0,230.0,118.0,107.0,205.0,220.0,102.0,118.0,13.0,12.0,1.0,4.0,0.89,29.0,28.0,4.0,1.0
ctocprj.f90,34.0,34.0,3.0,237.0,20.0,192.0,31.0,2.0,0.0,1.0,1.0,571.0,44.0,387.0,131.0,255.0,154.0,340.0,51.0,289.0,68.0,68.0,6.0,5.0,0.4,68.0,68.0,6.0,1.0
dfpt_mkrho.f90,33.0,33.0,11.0,443.0,75.0,287.0,110.0,1.0,0.0,1.0,1.0,519.0,79.0,289.0,98.0,190.0,182.0,234.0,48.0,186.0,33.0,33.0,11.0,10.0,0.63,33.0,33.0,11.0,1.0
getghc.f90,37.0,37.0,0.0,219.0,20.0,174.0,35.0,4.0,0.0,2.0,2.0,1023.0,89.0,701.0,151.0,548.0,277.0,618.0,74.0,544.0,111.0,111.0,1.0,8.0,0.4,149.0,149.0,2.0,1.0
