Name,AvgCyclomatic,AvgCyclomaticModified,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclExecutableUnit,CountDeclModule,CountDeclProgunit,CountDeclSubprogram,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumEssential,Bugs
mrgddb.f90,16.0,16.0,6.0,207.0,38.0,129.0,41.0,1.0,0.0,1.0,1.0,260.0,41.0,131.0,34.0,95.0,91.0,120.0,28.0,92.0,16.0,16.0,6.0,3.0,0.69,16.0,16.0,6.0,1.0
m_polynomial_coeff.f90,8.0,8.0,2.0,79.0,11.0,49.0,19.0,11.0,1.0,1.0,11.0,1251.0,168.0,570.0,159.0,410.0,520.0,527.0,140.0,387.0,21.0,21.0,8.0,8.0,0.91,96.0,95.0,23.0,1.0
mrgddb.f90,16.0,16.0,6.0,207.0,38.0,129.0,41.0,1.0,0.0,1.0,1.0,260.0,41.0,131.0,34.0,95.0,91.0,120.0,28.0,92.0,16.0,16.0,6.0,3.0,0.69,16.0,16.0,6.0,0.0
m_polynomial_coeff.f90,8.0,8.0,2.0,79.0,11.0,49.0,19.0,11.0,1.0,1.0,11.0,1251.0,168.0,570.0,159.0,410.0,520.0,527.0,140.0,387.0,21.0,21.0,8.0,8.0,0.91,96.0,95.0,23.0,0.0
forces.f90,28.0,28.0,0.0,218.0,20.0,142.0,57.0,2.0,0.0,1.0,1.0,556.0,43.0,286.0,110.0,172.0,232.0,244.0,60.0,184.0,57.0,57.0,1.0,4.0,0.81,57.0,57.0,1.0,1.0
forces.f90,28.0,28.0,0.0,218.0,20.0,142.0,57.0,2.0,0.0,1.0,1.0,556.0,43.0,286.0,110.0,172.0,232.0,244.0,60.0,184.0,57.0,57.0,1.0,4.0,0.81,57.0,57.0,1.0,0.0
m_polynomial_coeff.f90,8.0,8.0,2.0,79.0,11.0,49.0,19.0,11.0,1.0,1.0,11.0,1251.0,168.0,570.0,159.0,410.0,520.0,527.0,140.0,387.0,21.0,21.0,8.0,8.0,0.91,96.0,95.0,23.0,1.0
m_polynomial_coeff.f90,8.0,8.0,2.0,79.0,11.0,49.0,19.0,11.0,1.0,1.0,11.0,1251.0,168.0,570.0,159.0,410.0,520.0,527.0,140.0,387.0,21.0,21.0,8.0,8.0,0.91,96.0,95.0,23.0,0.0
m_fft_mesh.f90,6.0,6.0,1.0,71.0,11.0,41.0,19.0,16.0,1.0,1.0,16.0,1692.0,258.0,698.0,211.0,486.0,762.0,656.0,187.0,469.0,29.0,27.0,12.0,5.0,1.09,108.0,106.0,29.0,1.0
dotprod_vn.f90,17.0,17.0,1.0,206.0,26.0,151.0,42.0,1.0,0.0,1.0,1.0,274.0,30.0,153.0,22.0,130.0,106.0,116.0,17.0,99.0,17.0,17.0,1.0,4.0,0.69,17.0,17.0,1.0,1.0
cohsex_me.f90,47.0,46.0,5.0,359.0,52.0,245.0,77.0,2.0,0.0,1.0,1.0,823.0,108.0,493.0,150.0,340.0,257.0,436.0,83.0,353.0,94.0,93.0,10.0,9.0,0.52,94.0,93.0,10.0,1.0
m_numeric_tools.f90,4.0,4.0,1.0,42.0,9.0,21.0,12.0,87.0,1.0,1.0,92.0,5830.0,1085.0,2072.0,944.0,1127.0,2786.0,2103.0,855.0,1248.0,35.0,29.0,29.0,5.0,1.34,379.0,354.0,155.0,1.0
cchi0q0_intraband.f90,46.0,45.0,9.0,505.0,61.0,332.0,133.0,1.0,0.0,1.0,1.0,586.0,64.0,334.0,127.0,206.0,211.0,304.0,89.0,215.0,46.0,45.0,9.0,5.0,0.63,46.0,45.0,9.0,1.0
pawdenpot.f90,78.0,78.0,0.0,459.0,50.0,355.0,66.0,2.0,0.0,1.0,1.0,1016.0,104.0,712.0,127.0,584.0,227.0,632.0,55.0,577.0,157.0,157.0,1.0,7.0,0.32,157.0,157.0,1.0,1.0
m_ppmodel.f90,12.0,11.0,1.0,116.0,18.0,71.0,31.0,19.0,1.0,1.0,19.0,3030.0,456.0,1420.0,511.0,901.0,1260.0,1228.0,325.0,903.0,21.0,21.0,5.0,7.0,0.89,235.0,214.0,23.0,1.0
m_hdr.f90,10.0,10.0,3.0,109.0,17.0,73.0,19.0,33.0,1.0,1.0,33.0,4713.0,690.0,2506.0,551.0,1509.0,1574.0,1826.0,334.0,1492.0,129.0,129.0,23.0,4.0,0.63,358.0,339.0,100.0,1.0
dummy_tests.f90,1.0,1.0,1.0,59.0,16.0,25.0,19.0,1.0,0.0,1.0,1.0,109.0,19.0,27.0,14.0,11.0,66.0,25.0,13.0,12.0,1.0,1.0,1.0,0.0,2.44,1.0,1.0,1.0,1.0
xcpositron.f90,28.0,28.0,0.0,145.0,12.0,119.0,19.0,2.0,0.0,1.0,1.0,361.0,27.0,240.0,44.0,195.0,106.0,264.0,34.0,230.0,57.0,57.0,1.0,4.0,0.44,57.0,57.0,1.0,1.0
m_tdep_readwrite.f90,27.0,27.0,11.0,224.0,10.0,195.0,22.0,2.0,1.0,1.0,2.0,563.0,34.0,453.0,100.0,340.0,86.0,430.0,86.0,344.0,54.0,54.0,21.0,4.0,0.19,55.0,55.0,22.0,1.0
respfn.f90,95.0,95.0,0.0,855.0,103.0,641.0,122.0,2.0,0.0,1.0,1.0,1821.0,210.0,1284.0,373.0,895.0,353.0,993.0,138.0,855.0,191.0,191.0,1.0,10.0,0.27,191.0,191.0,1.0,1.0
timana.f90,169.0,76.0,110.0,1645.0,171.0,1322.0,180.0,1.0,0.0,1.0,1.0,1752.0,174.0,1324.0,35.0,1258.0,284.0,1440.0,32.0,1408.0,169.0,76.0,110.0,8.0,0.21,169.0,76.0,110.0,1.0
m_xmpi.f90,2.0,2.0,1.0,41.0,9.0,18.0,13.0,34.0,1.0,1.0,34.0,4892.0,859.0,1831.0,543.0,196.0,2324.0,731.0,518.0,213.0,6.0,6.0,4.0,3.0,1.27,78.0,78.0,42.0,1.0
matr3inv.f90,2.0,2.0,1.0,52.0,10.0,31.0,11.0,1.0,0.0,1.0,1.0,98.0,14.0,33.0,11.0,21.0,53.0,27.0,9.0,18.0,2.0,2.0,1.0,1.0,1.61,2.0,2.0,1.0,1.0
outvar_a_h.f90,47.0,47.0,0.0,560.0,121.0,392.0,62.0,2.0,0.0,1.0,1.0,1200.0,246.0,787.0,43.0,743.0,200.0,755.0,28.0,727.0,95.0,95.0,1.0,5.0,0.25,95.0,95.0,1.0,1.0
dfpt_rhofermi.f90,11.0,11.0,0.0,110.0,14.0,81.0,15.0,6.0,0.0,1.0,1.0,793.0,88.0,492.0,172.0,319.0,223.0,418.0,97.0,321.0,70.0,70.0,4.0,6.0,0.45,70.0,70.0,4.0,1.0
gwls_model_polarisability.f90,4.0,4.0,1.0,84.0,25.0,40.0,18.0,6.0,1.0,1.0,6.0,707.0,188.0,272.0,93.0,178.0,260.0,248.0,74.0,174.0,13.0,13.0,1.0,3.0,0.96,29.0,29.0,6.0,1.0
pawinit.f90,38.0,37.0,2.0,265.0,27.0,198.0,44.0,2.0,0.0,2.0,2.0,702.0,62.0,398.0,113.0,284.0,252.0,350.0,44.0,306.0,72.0,72.0,4.0,7.0,0.63,77.0,75.0,5.0,1.0
compute_anharmonics.f90,55.0,55.0,5.0,490.0,55.0,383.0,54.0,1.0,0.0,1.0,1.0,528.0,58.0,385.0,56.0,328.0,89.0,315.0,39.0,276.0,55.0,55.0,5.0,7.0,0.23,55.0,55.0,5.0,1.0
m_tdep_phij.f90,14.0,14.0,5.0,82.0,9.0,60.0,17.0,8.0,1.0,1.0,8.0,714.0,96.0,507.0,138.0,379.0,155.0,495.0,110.0,385.0,58.0,58.0,28.0,8.0,0.31,115.0,115.0,43.0,1.0
cg_rotate.f90,7.0,7.0,0.0,71.0,12.0,46.0,15.0,2.0,0.0,1.0,1.0,193.0,28.0,94.0,34.0,59.0,78.0,92.0,26.0,66.0,14.0,14.0,1.0,4.0,0.83,14.0,14.0,1.0,1.0
dfpt_nstdy.f90,27.0,27.0,2.0,246.0,32.0,168.0,49.0,2.0,0.0,1.0,1.0,591.0,68.0,339.0,112.0,226.0,194.0,284.0,66.0,218.0,54.0,54.0,4.0,6.0,0.57,54.0,54.0,4.0,1.0
initylmg.f90,41.0,41.0,3.0,320.0,30.0,236.0,61.0,1.0,0.0,1.0,1.0,396.0,33.0,238.0,49.0,188.0,134.0,210.0,33.0,177.0,41.0,41.0,3.0,10.0,0.56,41.0,41.0,3.0,1.0
m_energies.f90,4.0,4.0,1.0,66.0,9.0,44.0,12.0,5.0,1.0,1.0,5.0,655.0,112.0,274.0,83.0,168.0,273.0,257.0,81.0,176.0,18.0,18.0,1.0,2.0,1.0,24.0,24.0,5.0,1.0
smpbz.f90,101.0,101.0,42.0,547.0,49.0,423.0,82.0,1.0,0.0,1.0,1.0,624.0,52.0,425.0,48.0,376.0,156.0,348.0,22.0,326.0,101.0,101.0,42.0,9.0,0.37,101.0,101.0,42.0,1.0
timab.f90,4.0,2.0,0.0,66.0,8.0,39.0,19.0,2.0,0.0,1.0,1.0,217.0,19.0,81.0,16.0,34.0,121.0,48.0,13.0,35.0,9.0,5.0,1.0,2.0,1.49,9.0,5.0,1.0,1.0
outvars.f90,22.0,22.0,0.0,155.0,21.0,108.0,27.0,2.0,0.0,1.0,1.0,384.0,45.0,219.0,38.0,156.0,125.0,179.0,30.0,149.0,44.0,44.0,1.0,5.0,0.57,44.0,44.0,1.0,1.0
m_fock.f90,11.0,11.0,2.0,118.0,18.0,64.0,36.0,16.0,1.0,1.0,16.0,2653.0,404.0,1145.0,402.0,739.0,1138.0,1068.0,269.0,799.0,53.0,53.0,10.0,10.0,0.99,191.0,191.0,39.0,1.0
calc_sigc_me.f90,83.0,80.0,4.0,601.0,74.0,425.0,132.0,2.0,0.0,1.0,1.0,1325.0,153.0,853.0,242.0,598.0,382.0,693.0,104.0,589.0,166.0,161.0,9.0,9.0,0.45,166.0,161.0,9.0,1.0
m_tdep_shell.f90,19.0,19.0,5.0,118.0,8.0,97.0,20.0,3.0,1.0,1.0,3.0,405.0,38.0,323.0,102.0,235.0,69.0,313.0,63.0,250.0,32.0,32.0,8.0,10.0,0.21,58.0,58.0,16.0,1.0
m_tdep_utils.f90,62.0,62.0,9.0,313.0,19.0,249.0,57.0,4.0,1.0,1.0,4.0,1294.0,90.0,1018.0,180.0,871.0,239.0,983.0,95.0,888.0,102.0,102.0,19.0,9.0,0.23,250.0,250.0,38.0,1.0
fock_getghc.f90,22.0,22.0,2.0,215.0,27.0,144.0,48.0,3.0,0.0,1.0,1.0,694.0,84.0,436.0,122.0,311.0,190.0,369.0,49.0,320.0,67.0,67.0,6.0,8.0,0.44,67.0,67.0,6.0,1.0
redgr.f90,17.0,17.0,1.0,119.0,18.0,75.0,28.0,1.0,0.0,1.0,1.0,170.0,22.0,77.0,24.0,52.0,75.0,70.0,15.0,55.0,17.0,17.0,1.0,5.0,0.97,17.0,17.0,1.0,1.0
symanal.f90,7.0,7.0,2.0,75.0,14.0,36.0,25.0,2.0,0.0,1.0,1.0,207.0,32.0,75.0,29.0,45.0,104.0,71.0,22.0,49.0,14.0,14.0,5.0,4.0,1.39,14.0,14.0,5.0,1.0
xcden.f90,18.0,18.0,0.0,122.0,17.0,85.0,21.0,2.0,0.0,1.0,1.0,303.0,37.0,173.0,51.0,121.0,99.0,156.0,27.0,129.0,36.0,36.0,1.0,9.0,0.57,36.0,36.0,1.0,1.0
m_tdep_abitypes.f90,9.0,9.0,3.0,80.0,8.0,58.0,14.0,6.0,1.0,1.0,6.0,532.0,63.0,381.0,131.0,251.0,101.0,357.0,107.0,250.0,30.0,30.0,18.0,9.0,0.27,55.0,55.0,23.0,1.0
newrho.f90,40.0,40.0,0.0,233.0,18.0,198.0,19.0,2.0,0.0,1.0,1.0,595.0,40.0,398.0,95.0,300.0,163.0,349.0,60.0,289.0,81.0,81.0,1.0,6.0,0.41,81.0,81.0,1.0,1.0
gwls_hamiltonian.f90,6.0,6.0,1.0,86.0,20.0,39.0,30.0,19.0,1.0,1.0,19.0,2413.0,459.0,879.0,399.0,479.0,1189.0,759.0,285.0,474.0,38.0,38.0,1.0,4.0,1.35,116.0,116.0,19.0,1.0
xcmult.f90,5.0,5.0,1.0,51.0,13.0,24.0,16.0,1.0,0.0,1.0,1.0,118.0,17.0,26.0,11.0,14.0,79.0,24.0,10.0,14.0,5.0,5.0,1.0,3.0,3.04,5.0,5.0,1.0,1.0
outvar_i_n.f90,56.0,56.0,0.0,510.0,99.0,357.0,70.0,2.0,0.0,1.0,1.0,1100.0,202.0,716.0,73.0,632.0,216.0,682.0,34.0,648.0,112.0,112.0,1.0,4.0,0.3,112.0,112.0,1.0,1.0
m_tdep_qpt.f90,23.0,23.0,1.0,218.0,9.0,174.0,36.0,2.0,1.0,1.0,2.0,480.0,33.0,374.0,72.0,310.0,80.0,283.0,41.0,242.0,26.0,26.0,1.0,5.0,0.21,47.0,47.0,2.0,1.0
defs_basis.f90,3.0,2.0,1.0,30.0,8.0,13.0,8.0,4.0,1.0,1.0,4.0,572.0,87.0,248.0,208.0,37.0,277.0,238.0,208.0,30.0,5.0,4.0,1.0,1.0,1.12,14.0,11.0,4.0,1.0
symchk.f90,5.0,5.0,4.0,86.0,13.0,51.0,22.0,1.0,0.0,1.0,1.0,137.0,17.0,53.0,15.0,37.0,69.0,52.0,14.0,38.0,5.0,5.0,4.0,3.0,1.3,5.0,5.0,4.0,1.0
m_xg.f90,5.0,5.0,1.0,41.0,8.0,27.0,6.0,52.0,1.0,1.0,52.0,2720.0,553.0,1533.0,650.0,882.0,638.0,1393.0,563.0,830.0,18.0,17.0,1.0,4.0,0.42,268.0,262.0,52.0,1.0
cchi0q0.f90,61.0,59.0,14.0,452.0,58.0,329.0,79.0,2.0,0.0,1.0,1.0,1025.0,119.0,660.0,210.0,448.0,276.0,556.0,108.0,448.0,123.0,119.0,28.0,13.0,0.42,123.0,119.0,28.0,1.0
