Name,AvgCyclomatic,AvgCyclomaticModified,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclExecutableUnit,CountDeclModule,CountDeclProgunit,CountDeclSubprogram,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumEssential,Bugs
pred_nose.f90,55.0,55.0,1.0,421.0,53.0,279.0,91.0,1.0,0.0,1.0,1.0,486.0,56.0,281.0,47.0,233.0,153.0,267.0,40.0,227.0,55.0,55.0,1.0,5.0,0.54,55.0,55.0,1.0,0.0
m_energy.f90,10.0,10.0,1.0,94.0,9.0,64.0,22.0,9.0,1.0,1.0,9.0,1178.0,133.0,617.0,193.0,423.0,449.0,543.0,172.0,371.0,22.0,22.0,1.0,9.0,0.73,93.0,93.0,9.0,0.0
m_gkk.f90,26.0,26.0,13.0,476.0,85.0,313.0,91.0,1.0,1.0,1.0,1.0,578.0,100.0,337.0,170.0,158.0,157.0,273.0,101.0,172.0,26.0,26.0,13.0,5.0,0.47,26.0,26.0,13.0,0.0
dotprod_vn.f90,17.0,17.0,1.0,206.0,26.0,151.0,42.0,1.0,0.0,1.0,1.0,274.0,30.0,153.0,22.0,130.0,106.0,116.0,17.0,99.0,17.0,17.0,1.0,4.0,0.69,17.0,17.0,1.0,0.0
herald.f90,5.0,5.0,1.0,115.0,17.0,77.0,21.0,1.0,0.0,1.0,1.0,157.0,21.0,79.0,20.0,57.0,59.0,51.0,18.0,33.0,5.0,5.0,1.0,1.0,0.75,5.0,5.0,1.0,0.0
hubbard_one.f90,20.0,20.0,0.0,314.0,21.0,185.0,118.0,4.0,0.0,1.0,3.0,850.0,62.0,451.0,129.0,321.0,367.0,384.0,85.0,299.0,49.0,49.0,1.0,7.0,0.81,80.0,80.0,3.0,0.0
m_phonon_supercell.f90,5.0,5.0,1.0,52.0,8.0,33.0,13.0,7.0,1.0,1.0,7.0,619.0,83.0,266.0,108.0,157.0,295.0,251.0,93.0,158.0,16.0,16.0,5.0,5.0,1.11,41.0,41.0,11.0,0.0
m_paw_numeric.f90,11.0,11.0,2.0,88.0,11.0,54.0,24.0,9.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,24.0,24.0,4.0,5.0,0.0,103.0,99.0,18.0,0.0
m_skw.f90,10.0,10.0,1.0,83.0,13.0,51.0,18.0,9.0,1.0,1.0,9.0,1127.0,177.0,508.0,207.0,300.0,455.0,485.0,137.0,348.0,27.0,27.0,7.0,4.0,0.9,91.0,91.0,15.0,0.0
pawdenpot.f90,77.0,77.0,0.0,440.0,46.0,347.0,58.0,2.0,0.0,1.0,1.0,978.0,96.0,697.0,126.0,570.0,212.0,619.0,55.0,564.0,154.0,154.0,1.0,7.0,0.3,154.0,154.0,1.0,0.0
pred_langevin.f90,84.0,84.0,1.0,663.0,86.0,412.0,172.0,1.0,0.0,1.0,1.0,715.0,89.0,414.0,63.0,350.0,221.0,380.0,40.0,340.0,84.0,84.0,1.0,7.0,0.53,84.0,84.0,1.0,0.0
xcpositron.f90,28.0,28.0,0.0,145.0,12.0,119.0,19.0,2.0,0.0,1.0,1.0,361.0,27.0,240.0,44.0,195.0,106.0,264.0,34.0,230.0,57.0,57.0,1.0,4.0,0.44,57.0,57.0,1.0,0.0
respfn.f90,94.0,94.0,0.0,848.0,102.0,636.0,121.0,2.0,0.0,1.0,1.0,1808.0,207.0,1275.0,372.0,887.0,350.0,982.0,137.0,845.0,189.0,189.0,1.0,10.0,0.27,189.0,189.0,1.0,0.0
m_gruneisen.f90,7.0,7.0,2.0,108.0,18.0,70.0,22.0,6.0,1.0,1.0,6.0,935.0,148.0,464.0,175.0,205.0,345.0,319.0,120.0,199.0,11.0,11.0,6.0,3.0,0.74,44.0,44.0,13.0,0.0
timana.f90,169.0,76.0,110.0,1645.0,171.0,1322.0,180.0,1.0,0.0,1.0,1.0,1752.0,174.0,1324.0,35.0,1258.0,284.0,1440.0,32.0,1408.0,169.0,76.0,110.0,8.0,0.21,169.0,76.0,110.0,0.0
m_xmpi.f90,2.0,2.0,1.0,41.0,9.0,18.0,13.0,34.0,1.0,1.0,34.0,4885.0,859.0,1830.0,544.0,196.0,2318.0,732.0,519.0,213.0,6.0,6.0,4.0,3.0,1.27,78.0,78.0,42.0,0.0
matr3inv.f90,2.0,2.0,1.0,52.0,10.0,31.0,11.0,1.0,0.0,1.0,1.0,98.0,14.0,33.0,11.0,21.0,53.0,27.0,9.0,18.0,2.0,2.0,1.0,1.0,1.61,2.0,2.0,1.0,0.0
getng.f90,33.0,33.0,11.0,207.0,27.0,139.0,49.0,2.0,0.0,1.0,1.0,487.0,57.0,280.0,44.0,235.0,168.0,274.0,37.0,237.0,66.0,66.0,22.0,7.0,0.6,66.0,66.0,22.0,0.0
outvar_a_h.f90,40.0,40.0,0.0,532.0,118.0,375.0,54.0,2.0,0.0,1.0,1.0,1143.0,240.0,752.0,42.0,709.0,184.0,711.0,27.0,684.0,81.0,81.0,1.0,5.0,0.24,81.0,81.0,1.0,0.0
pred_steepdesc.f90,11.0,11.0,0.0,85.0,15.0,44.0,28.0,2.0,0.0,1.0,1.0,233.0,35.0,91.0,26.0,64.0,115.0,98.0,25.0,73.0,23.0,23.0,1.0,5.0,1.26,23.0,23.0,1.0,0.0
compute_anharmonics.f90,56.0,56.0,5.0,491.0,56.0,387.0,48.0,1.0,0.0,1.0,1.0,529.0,59.0,389.0,56.0,332.0,83.0,320.0,40.0,280.0,56.0,56.0,5.0,7.0,0.21,56.0,56.0,5.0,0.0
m_pawang.f90,10.0,10.0,1.0,175.0,29.0,96.0,51.0,10.0,0.0,1.0,10.0,1007.0,163.0,483.0,80.0,362.0,372.0,497.0,80.0,417.0,34.0,34.0,1.0,12.0,0.77,103.0,103.0,10.0,0.0
m_bandfft_kpt.f90,21.0,21.0,2.0,137.0,12.0,110.0,15.0,12.0,1.0,1.0,12.0,2147.0,203.0,1387.0,410.0,976.0,602.0,1159.0,176.0,983.0,69.0,69.0,7.0,6.0,0.43,257.0,257.0,27.0,0.0
initylmg.f90,41.0,41.0,3.0,319.0,29.0,236.0,61.0,1.0,0.0,1.0,1.0,395.0,32.0,238.0,49.0,188.0,134.0,210.0,33.0,177.0,41.0,41.0,3.0,10.0,0.56,41.0,41.0,3.0,0.0
m_pred_lotf.f90,27.0,27.0,1.0,304.0,65.0,154.0,85.0,1.0,1.0,1.0,1.0,391.0,74.0,167.0,45.0,121.0,153.0,155.0,36.0,119.0,27.0,27.0,1.0,4.0,0.92,27.0,27.0,1.0,0.0
isfile.f90,13.0,13.0,1.0,112.0,16.0,82.0,16.0,1.0,0.0,1.0,1.0,155.0,19.0,84.0,24.0,59.0,56.0,61.0,14.0,47.0,13.0,13.0,1.0,4.0,0.67,13.0,13.0,1.0,0.0
timab.f90,4.0,2.0,0.0,66.0,8.0,39.0,19.0,2.0,0.0,1.0,1.0,217.0,19.0,81.0,16.0,34.0,121.0,48.0,13.0,35.0,9.0,5.0,1.0,2.0,1.49,9.0,5.0,1.0,0.0
anaddb.f90,71.0,71.0,1.0,882.0,173.0,519.0,203.0,1.0,0.0,1.0,1.0,926.0,176.0,521.0,101.0,377.0,244.0,432.0,66.0,366.0,71.0,71.0,1.0,6.0,0.47,71.0,71.0,1.0,0.0
m_fock.f90,14.0,14.0,2.0,146.0,20.0,78.0,48.0,13.0,1.0,1.0,13.0,2648.0,378.0,1122.0,361.0,757.0,1181.0,1059.0,237.0,822.0,55.0,55.0,11.0,11.0,1.05,193.0,193.0,37.0,0.0
fock_getghc.f90,22.0,22.0,2.0,214.0,26.0,145.0,47.0,3.0,0.0,1.0,1.0,690.0,82.0,437.0,123.0,311.0,186.0,374.0,52.0,322.0,66.0,66.0,6.0,8.0,0.43,66.0,66.0,6.0,0.0
pred_verlet.f90,35.0,35.0,0.0,242.0,25.0,166.0,51.0,2.0,0.0,1.0,1.0,555.0,54.0,334.0,55.0,278.0,169.0,295.0,33.0,262.0,70.0,70.0,1.0,5.0,0.51,70.0,70.0,1.0,0.0
xcden.f90,18.0,18.0,0.0,122.0,17.0,85.0,21.0,2.0,0.0,1.0,1.0,303.0,37.0,173.0,51.0,121.0,99.0,156.0,27.0,129.0,36.0,36.0,1.0,9.0,0.57,36.0,36.0,1.0,0.0
newrho.f90,40.0,40.0,0.0,233.0,18.0,198.0,19.0,2.0,0.0,1.0,1.0,595.0,40.0,398.0,95.0,300.0,163.0,349.0,60.0,289.0,81.0,81.0,1.0,6.0,0.41,81.0,81.0,1.0,0.0
gwls_hamiltonian.f90,6.0,6.0,1.0,86.0,20.0,39.0,30.0,19.0,1.0,1.0,19.0,2413.0,459.0,880.0,400.0,479.0,1188.0,760.0,286.0,474.0,38.0,38.0,1.0,4.0,1.35,116.0,116.0,19.0,0.0
xcmult.f90,5.0,5.0,1.0,51.0,13.0,24.0,16.0,1.0,0.0,1.0,1.0,118.0,17.0,26.0,11.0,14.0,79.0,24.0,10.0,14.0,5.0,5.0,1.0,3.0,3.04,5.0,5.0,1.0,0.0
inwffil.f90,36.0,36.0,2.0,285.0,32.0,212.0,44.0,3.0,0.0,1.0,1.0,980.0,100.0,639.0,139.0,497.0,254.0,567.0,59.0,508.0,109.0,109.0,7.0,8.0,0.4,109.0,109.0,7.0,0.0
rhohxc.f90,82.0,82.0,5.0,500.0,44.0,376.0,86.0,2.0,0.0,1.0,1.0,1219.0,93.0,754.0,139.0,597.0,387.0,673.0,59.0,614.0,165.0,165.0,11.0,8.0,0.51,165.0,165.0,11.0,0.0
mati3det.f90,1.0,1.0,1.0,26.0,7.0,9.0,10.0,1.0,0.0,1.0,1.0,62.0,10.0,11.0,7.0,3.0,43.0,7.0,6.0,1.0,1.0,1.0,1.0,0.0,3.91,1.0,1.0,1.0,0.0
mkcore_wvl.f90,1.0,1.0,0.0,197.0,27.0,137.0,37.0,4.0,0.0,2.0,2.0,910.0,117.0,554.0,66.0,6.0,260.0,59.0,55.0,4.0,2.0,2.0,1.0,1.0,0.47,4.0,4.0,2.0,0.0
m_time.f90,6.0,5.0,3.0,55.0,12.0,28.0,15.0,6.0,1.0,1.0,6.0,557.0,101.0,190.0,70.0,102.0,276.0,181.0,65.0,116.0,17.0,15.0,17.0,2.0,1.45,37.0,34.0,22.0,0.0
pred_diisrelax.f90,53.0,53.0,1.0,528.0,65.0,263.0,200.0,1.0,0.0,1.0,1.0,584.0,68.0,265.0,62.0,202.0,253.0,233.0,38.0,195.0,53.0,53.0,1.0,5.0,0.95,53.0,53.0,1.0,0.0
pred_velverlet.f90,31.0,31.0,1.0,218.0,39.0,138.0,59.0,1.0,0.0,1.0,1.0,279.0,43.0,140.0,38.0,101.0,116.0,133.0,32.0,101.0,31.0,31.0,1.0,3.0,0.83,31.0,31.0,1.0,0.0
m_kxc.f90,17.0,17.0,1.0,199.0,37.0,110.0,56.0,7.0,1.0,1.0,7.0,1776.0,293.0,801.0,262.0,538.0,719.0,688.0,160.0,528.0,43.0,43.0,1.0,5.0,0.9,122.0,119.0,7.0,0.0
m_wfd.f90,7.0,7.0,1.0,69.0,14.0,40.0,16.0,63.0,1.0,1.0,62.0,6568.0,1171.0,2735.0,1093.0,1643.0,2829.0,2563.0,846.0,1717.0,35.0,35.0,6.0,8.0,1.03,494.0,486.0,83.0,0.0
m_mpinfo.f90,5.0,5.0,1.0,46.0,9.0,27.0,9.0,16.0,1.0,1.0,16.0,1233.0,218.0,470.0,155.0,311.0,562.0,415.0,113.0,302.0,15.0,15.0,1.0,3.0,1.2,81.0,81.0,16.0,0.0
pred_srkna14.f90,15.0,15.0,1.0,223.0,41.0,130.0,55.0,1.0,0.0,1.0,1.0,285.0,45.0,132.0,29.0,102.0,113.0,127.0,28.0,99.0,15.0,15.0,1.0,3.0,0.86,15.0,15.0,1.0,0.0
mrgddb.f90,16.0,16.0,6.0,207.0,38.0,129.0,41.0,1.0,0.0,1.0,1.0,259.0,41.0,131.0,34.0,95.0,90.0,120.0,28.0,92.0,16.0,16.0,6.0,3.0,0.69,16.0,16.0,6.0,0.0
odamix.f90,77.0,77.0,1.0,524.0,73.0,388.0,72.0,1.0,0.0,1.0,1.0,658.0,76.0,390.0,83.0,306.0,203.0,360.0,62.0,298.0,77.0,77.0,1.0,6.0,0.52,77.0,77.0,1.0,0.0
m_pawrad.f90,11.0,10.0,1.0,193.0,28.0,111.0,56.0,17.0,0.0,1.0,17.0,1939.0,273.0,954.0,157.0,741.0,727.0,970.0,157.0,813.0,43.0,43.0,1.0,6.0,0.76,191.0,184.0,17.0,0.0
local_ks_green.f90,20.0,20.0,1.0,147.0,13.0,111.0,26.0,1.0,0.0,1.0,1.0,191.0,17.0,113.0,37.0,75.0,66.0,92.0,22.0,70.0,20.0,20.0,1.0,5.0,0.58,20.0,20.0,1.0,0.0
pred_isokinetic.f90,52.0,52.0,1.0,389.0,58.0,261.0,71.0,1.0,0.0,1.0,1.0,447.0,61.0,263.0,35.0,227.0,126.0,252.0,28.0,224.0,52.0,52.0,1.0,4.0,0.48,52.0,52.0,1.0,0.0
m_kptrank.f90,5.0,5.0,1.0,48.0,11.0,24.0,12.0,6.0,1.0,1.0,6.0,513.0,99.0,173.0,65.0,95.0,249.0,180.0,64.0,116.0,16.0,16.0,5.0,4.0,1.44,32.0,32.0,10.0,0.0
m_harmonics_terms.f90,8.0,8.0,1.0,73.0,12.0,44.0,16.0,8.0,1.0,1.0,8.0,917.0,137.0,387.0,147.0,239.0,396.0,323.0,108.0,215.0,19.0,19.0,3.0,7.0,1.02,66.0,66.0,10.0,0.0
m_double_grid.f90,4.0,4.0,2.0,59.0,13.0,33.0,12.0,8.0,1.0,1.0,8.0,855.0,166.0,310.0,163.0,146.0,388.0,259.0,124.0,135.0,13.0,13.0,9.0,8.0,1.25,39.0,39.0,21.0,0.0
dfpt_mkvxcstr.f90,14.0,14.0,0.0,92.0,14.0,65.0,15.0,2.0,0.0,1.0,1.0,249.0,33.0,132.0,40.0,91.0,92.0,119.0,27.0,92.0,28.0,28.0,1.0,4.0,0.7,28.0,28.0,1.0,0.0
gstateimg.f90,37.0,37.0,3.0,305.0,35.0,234.0,48.0,2.0,0.0,1.0,1.0,738.0,73.0,470.0,124.0,336.0,222.0,401.0,77.0,324.0,75.0,75.0,7.0,5.0,0.47,75.0,75.0,7.0,0.0
scfcv.f90,87.0,87.0,4.0,644.0,71.0,479.0,105.0,3.0,0.0,1.0,1.0,2091.0,216.0,1441.0,318.0,1092.0,471.0,1191.0,172.0,1019.0,261.0,261.0,12.0,5.0,0.33,261.0,261.0,12.0,0.0
psp9in.f90,4.0,4.0,0.0,202.0,30.0,109.0,70.0,2.0,0.0,1.0,1.0,479.0,65.0,220.0,37.0,9.0,212.0,58.0,34.0,24.0,8.0,8.0,1.0,1.0,0.96,8.0,8.0,1.0,0.0
energy.f90,44.0,44.0,3.0,366.0,38.0,283.0,46.0,2.0,0.0,1.0,1.0,886.0,79.0,569.0,159.0,401.0,243.0,476.0,96.0,380.0,88.0,88.0,6.0,6.0,0.43,88.0,88.0,6.0,0.0
m_phonons.f90,11.0,11.0,2.0,124.0,21.0,78.0,28.0,18.0,1.0,1.0,18.0,2864.0,465.0,1473.0,437.0,978.0,1022.0,1255.0,290.0,965.0,51.0,50.0,6.0,10.0,0.69,204.0,198.0,47.0,0.0
psp8in.f90,22.0,22.0,13.0,175.0,22.0,111.0,43.0,2.0,0.0,1.0,1.0,425.0,47.0,225.0,52.0,172.0,158.0,184.0,29.0,155.0,45.0,45.0,26.0,5.0,0.7,45.0,45.0,26.0,0.0
hartre.f90,32.0,32.0,1.0,204.0,31.0,142.0,36.0,1.0,0.0,1.0,1.0,261.0,34.0,144.0,38.0,105.0,90.0,153.0,29.0,124.0,32.0,32.0,1.0,6.0,0.62,32.0,32.0,1.0,0.0
mklocl_realspace.f90,6.0,6.0,0.0,112.0,17.0,64.0,31.0,13.0,0.0,4.0,8.0,1412.0,196.0,760.0,181.0,431.0,467.0,551.0,147.0,404.0,54.0,54.0,1.0,8.0,0.61,83.0,83.0,8.0,0.0
