index,File,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,Bugs,human_bugs
455,ProgressBar.cpp,0.0,10.0,0.0,6.0,74.0,14.0,2.0,2.0,2.0,1.0,10.0,0.0,10.0,0.0,0.0,7.0,92.0,6.0,72.0,17.0,46.0,14.0,0.0,2.0,31.0,48.0,10.0,0.0,38.0,7.0,7.0,7.0,1.0,3.0,0.19,17.0,17.0,17.0,7.0,0.0,0
456,histfile.c,8.0,47.0,4.0,80.0,386.0,88.0,8.0,8.0,10.0,3.0,59.0,7.0,37.0,4.0,0.0,7.0,546.0,76.0,261.0,46.0,151.0,85.0,61.0,92.0,151.0,193.0,28.0,1.0,164.0,22.0,22.0,26.0,8.0,5.0,0.33,56.0,56.0,70.0,23.0,0.0,0
459,tparam.c,4.0,35.0,6.0,40.0,248.0,69.0,8.0,5.0,8.0,4.0,40.0,4.0,35.0,6.0,0.0,6.0,332.0,38.0,213.0,47.0,140.0,68.0,20.0,22.0,120.0,153.0,27.0,0.0,126.0,39.0,23.0,41.0,23.0,6.0,0.32,47.0,31.0,49.0,28.0,0.0,0
461,EnsembleIn_Single.cpp,0.0,0.0,0.0,9.0,193.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229.0,0.0,0.0,0.0,0.0,0.0,227.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
462,EnsembleIn_Single.h,0.0,0.0,0.0,0.0,22.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,20.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
463,NetcdfFile.h,0.0,1.0,0.0,3.0,90.0,58.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,122.0,0.0,6.0,4.0,0.0,4.0,104.0,12.0,3.0,4.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.67,1.0,1.0,1.0,1.0,3.0,0
464,CharMask.h,0.0,1.0,0.0,0.0,23.0,22.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,5.0,43.0,0.0,19.0,16.0,3.0,22.0,0.0,4.0,14.0,19.0,16.0,0.0,3.0,1.0,1.0,1.0,1.0,0.0,1.16,5.0,5.0,5.0,5.0,0.0,0
465,MaskToken.h,0.0,1.0,0.0,6.0,86.0,25.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,18.0,116.0,6.0,81.0,74.0,20.0,25.0,0.0,5.0,70.0,88.0,70.0,0.0,18.0,1.0,1.0,1.0,1.0,0.0,0.31,18.0,18.0,18.0,18.0,1.0,0
466,DataIO_XVG.cpp,1.0,40.0,3.0,3.0,84.0,6.0,11.0,11.0,16.0,6.0,43.0,1.0,40.0,3.0,0.0,2.0,92.0,3.0,79.0,18.0,54.0,6.0,0.0,5.0,48.0,70.0,17.0,0.0,53.0,16.0,16.0,19.0,7.0,5.0,0.08,22.0,22.0,31.0,13.0,0.0,0
467,Action_Pucker.h,0.0,1.0,0.0,1.0,26.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,28.0,1.0,22.0,19.0,1.0,1.0,0.0,4.0,18.0,20.0,19.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.05,2.0,2.0,2.0,2.0,0.0,0
468,Action_Image.cpp,1.0,23.0,2.0,11.0,138.0,20.0,6.0,6.0,6.0,2.0,25.0,1.0,23.0,2.0,0.0,6.0,169.0,11.0,135.0,22.0,97.0,20.0,0.0,3.0,59.0,94.0,11.0,0.0,83.0,17.0,17.0,17.0,7.0,3.0,0.15,35.0,35.0,36.0,14.0,0.0,0
469,Action_Image.h,0.0,1.0,0.0,1.0,30.0,8.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,39.0,1.0,25.0,22.0,1.0,8.0,0.0,5.0,21.0,23.0,22.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.32,2.0,2.0,2.0,2.0,0.0,0
470,DataSet_integer.cpp,0.0,8.0,1.0,5.0,49.0,13.0,3.0,3.0,3.0,1.0,8.0,0.0,8.0,1.0,0.0,4.0,66.0,5.0,31.0,8.0,22.0,9.0,18.0,3.0,17.0,28.0,8.0,0.0,20.0,5.0,5.0,5.0,3.0,2.0,0.29,11.0,11.0,11.0,6.0,0.0,0
471,Action_Jcoupling.h,0.0,1.0,0.0,3.0,46.0,31.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,69.0,3.0,39.0,34.0,1.0,31.0,0.0,7.0,33.0,35.0,34.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.79,2.0,2.0,2.0,2.0,0.0,0
472,Action_AtomicFluct.cpp,1.0,37.0,4.0,13.0,238.0,33.0,9.0,8.0,9.0,2.0,41.0,1.0,36.0,4.0,0.0,6.0,277.0,13.0,216.0,58.0,171.0,32.0,12.0,10.0,141.0,194.0,49.0,1.0,144.0,20.0,18.0,22.0,5.0,4.0,0.15,52.0,50.0,54.0,12.0,2.0,0
473,Action_AtomicFluct.h,0.0,1.0,0.0,2.0,34.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,36.0,2.0,25.0,22.0,1.0,3.0,2.0,7.0,22.0,23.0,22.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.12,1.0,1.0,1.0,1.0,0.0,0
