index,File,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,Bugs
100,Analysis_Regression.h,0.0,1.0,0.0,0.0,17.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,17.0,0.0,12.0,9.0,1.0,0.0,0.0,5.0,9.0,10.0,9.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.00,1.0,1.0,1.0,1.0,0.0
101,DataIO_Evecs.cpp,0.0,42.0,6.0,5.0,217.0,35.0,9.0,9.0,10.0,4.0,48.0,0.0,42.0,6.0,0.0,5.0,251.0,5.0,212.0,43.0,171.0,35.0,0.0,5.0,133.0,178.0,41.0,0.0,137.0,33.0,33.0,39.0,17.0,4.0,0.17,45.0,45.0,51.0,23.0,0.0
102,DataIO_Evecs.h,0.0,1.0,0.0,0.0,16.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,4.0,17.0,0.0,12.0,10.0,4.0,1.0,0.0,4.0,10.0,14.0,10.0,0.0,4.0,1.0,1.0,1.0,1.0,0.0,0.08,4.0,4.0,4.0,4.0,0.0
103,BufferedFrame.h,0.0,1.0,0.0,3.0,32.0,9.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,38.0,3.0,28.0,25.0,2.0,9.0,0.0,4.0,25.0,27.0,25.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,0.32,2.0,2.0,2.0,2.0,0.0
104,MapAtom.cpp,0.0,10.0,0.0,4.0,56.0,6.0,1.0,1.0,1.0,1.0,10.0,0.0,10.0,0.0,0.0,4.0,66.0,4.0,55.0,43.0,27.0,6.0,0.0,1.0,12.0,17.0,5.0,0.0,12.0,2.0,2.0,2.0,1.0,1.0,0.11,5.0,5.0,5.0,4.0,0.0
105,rlshell.h,0.0,0.0,0.0,5.0,9.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,5.0,5.0,5.0,0.0,21.0,0.0,4.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.20,0.0,0.0,0.0,0.0,0.0
107,DataSetList.h,0.0,1.0,0.0,1.0,55.0,46.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,7.0,101.0,1.0,47.0,43.0,7.0,45.0,2.0,7.0,42.0,50.0,43.0,0.0,7.0,1.0,1.0,1.0,1.0,0.0,0.96,7.0,7.0,7.0,7.0,0.0
108,CpptrajFile.h,0.0,1.0,0.0,2.0,64.0,39.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,13.0,92.0,2.0,59.0,55.0,14.0,39.0,0.0,5.0,55.0,68.0,55.0,0.0,13.0,1.0,1.0,1.0,1.0,0.0,0.66,13.0,13.0,13.0,13.0,0.0
109,BaseIOtype.h,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,0.0,5.0,3.0,0.0,1.0,0.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20,0.0,0.0,0.0,0.0,0.0
110,Action_GridFreeEnergy.h,0.0,1.0,0.0,1.0,22.0,11.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,34.0,1.0,16.0,13.0,1.0,11.0,0.0,6.0,12.0,13.0,12.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.69,1.0,1.0,1.0,1.0,0.0
