index,File,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,keyword_bugs,fastread_bugs
308,DataIO_Std.cpp,1.0,26.0,4.0,36.0,539.0,104.0,7.0,7.0,8.0,2.0,31.0,1.0,26.0,4.0,0.0,20.0,665.0,36.0,524.0,123.0,379.0,104.0,0.0,15.0,324.0,459.0,108.0,1.0,350.0,25.0,25.0,30.0,11.0,4.0,0.2,134.0,131.0,152.0,53.0,8.0,10
309,DataIO_Std.h,0.0,1.0,0.0,0.0,37.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,38.0,0.0,33.0,30.0,2.0,2.0,0.0,4.0,30.0,32.0,30.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,0.06,2.0,2.0,2.0,2.0,1.0,1
310,Parm_Amber.cpp,0.0,28.0,4.0,54.0,1321.0,323.0,6.0,6.0,6.0,2.0,33.0,0.0,28.0,4.0,0.0,43.0,1649.0,54.0,1312.0,367.0,1003.0,323.0,0.0,9.0,871.0,1138.0,265.0,0.0,873.0,68.0,68.0,72.0,22.0,5.0,0.25,266.0,263.0,279.0,109.0,20.0,16
311,Parm_Amber.h,0.0,1.0,0.0,6.0,90.0,8.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,4.0,101.0,6.0,86.0,82.0,5.0,8.0,0.0,4.0,64.0,68.0,64.0,0.0,4.0,1.0,1.0,1.0,1.0,0.0,0.09,4.0,4.0,4.0,4.0,6.0,5
312,Vec3.h,0.0,4.0,0.0,0.0,128.0,12.0,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,31.0,135.0,0.0,125.0,42.0,65.0,12.0,0.0,3.0,75.0,107.0,42.0,0.0,65.0,2.0,2.0,3.0,1.0,1.0,0.1,32.0,32.0,34.0,31.0,0.0,0
313,Action_Radgyr.cpp,2.0,21.0,1.0,16.0,131.0,18.0,5.0,5.0,5.0,2.0,24.0,2.0,21.0,1.0,0.0,6.0,164.0,16.0,128.0,41.0,96.0,18.0,0.0,3.0,89.0,118.0,34.0,0.0,84.0,12.0,12.0,12.0,6.0,3.0,0.14,29.0,29.0,29.0,13.0,1.0,4
314,Action_Radgyr.h,0.0,1.0,0.0,1.0,22.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,25.0,1.0,18.0,15.0,1.0,2.0,0.0,4.0,14.0,16.0,15.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.11,2.0,2.0,2.0,2.0,1.0,4
315,Residue.h,0.0,1.0,0.0,0.0,40.0,13.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,18.0,48.0,0.0,36.0,30.0,16.0,13.0,0.0,4.0,23.0,41.0,26.0,0.0,15.0,1.0,1.0,4.0,1.0,0.0,0.36,18.0,18.0,21.0,18.0,1.0,1
316,NameType.h,0.0,1.0,0.0,3.0,27.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,30.0,3.0,22.0,19.0,1.0,1.0,0.0,5.0,19.0,20.0,19.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.05,1.0,1.0,1.0,1.0,2.0,1
317,Action_MultiDihedral.h,0.0,1.0,0.0,1.0,24.0,5.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,26.0,1.0,19.0,16.0,1.0,5.0,0.0,5.0,15.0,17.0,16.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.26,2.0,2.0,2.0,2.0,1.0,4
318,Action_NMRrst.cpp,1.0,30.0,3.0,27.0,550.0,81.0,8.0,7.0,9.0,3.0,34.0,1.0,30.0,3.0,0.0,18.0,648.0,27.0,541.0,118.0,401.0,81.0,0.0,9.0,328.0,465.0,105.0,0.0,360.0,46.0,46.0,50.0,25.0,7.0,0.15,136.0,134.0,161.0,61.0,3.0,7
319,Action_NMRrst.h,0.0,2.0,0.0,8.0,111.0,33.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,3.0,18.0,125.0,8.0,105.0,88.0,19.0,33.0,0.0,6.0,86.0,106.0,88.0,0.0,18.0,2.0,2.0,2.0,1.0,1.0,0.31,19.0,19.0,19.0,18.0,3.0,7
320,Action_MinImage.cpp,2.0,27.0,7.0,16.0,169.0,64.0,5.0,5.0,6.0,2.0,35.0,2.0,24.0,7.0,0.0,6.0,242.0,16.0,146.0,37.0,106.0,63.0,11.0,16.0,98.0,126.0,33.0,0.0,93.0,8.0,8.0,10.0,5.0,4.0,0.43,28.0,28.0,33.0,13.0,3.0,5
321,NameType.cpp,0.0,10.0,1.0,15.0,158.0,25.0,3.0,3.0,4.0,2.0,11.0,0.0,10.0,1.0,0.0,15.0,190.0,15.0,157.0,32.0,110.0,25.0,0.0,1.0,100.0,150.0,24.0,0.0,126.0,9.0,9.0,9.0,7.0,3.0,0.16,50.0,50.0,53.0,31.0,2.0,1
322,Version.h,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7
323,Traj_CIF.cpp,0.0,17.0,2.0,6.0,90.0,19.0,3.0,3.0,3.0,2.0,19.0,0.0,17.0,2.0,0.0,5.0,113.0,6.0,87.0,17.0,68.0,19.0,0.0,3.0,54.0,69.0,17.0,1.0,51.0,10.0,10.0,12.0,7.0,2.0,0.22,15.0,15.0,17.0,11.0,0.0,0
324,Traj_AmberNetcdf.cpp,0.0,0.0,0.0,32.0,309.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,421.0,0.0,0.0,0.0,0.0,0.0,419.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,10
326,Traj_AmberNetcdf.h,0.0,0.0,0.0,0.0,40.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,40.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7
327,Analysis_KDE.cpp,2.0,55.0,5.0,16.0,341.0,36.0,11.0,11.0,11.0,3.0,61.0,2.0,46.0,4.0,0.0,6.0,383.0,16.0,275.0,51.0,215.0,31.0,43.0,36.0,172.0,237.0,42.0,0.0,195.0,31.0,31.0,32.0,11.0,5.0,0.11,65.0,65.0,68.0,23.0,5.0,9
329,DataIO_Grace.cpp,1.0,21.0,6.0,8.0,132.0,46.0,5.0,5.0,6.0,2.0,27.0,1.0,21.0,6.0,0.0,6.0,180.0,8.0,127.0,31.0,87.0,46.0,0.0,5.0,84.0,114.0,30.0,0.0,84.0,17.0,17.0,23.0,11.0,5.0,0.36,30.0,30.0,36.0,16.0,1.0,3
330,Analysis_Average.h,0.0,2.0,0.0,1.0,21.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,1.0,2.0,22.0,1.0,16.0,13.0,1.0,0.0,0.0,5.0,11.0,13.0,12.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,4
331,Analysis_CurveFit.cpp,1.0,34.0,4.0,23.0,384.0,54.0,8.0,8.0,8.0,3.0,39.0,1.0,34.0,4.0,0.0,11.0,460.0,23.0,377.0,97.0,275.0,54.0,0.0,7.0,240.0,328.0,77.0,0.0,251.0,35.0,35.0,36.0,23.0,4.0,0.14,87.0,83.0,90.0,43.0,4.0,10
332,Analysis_CurveFit.h,0.0,1.0,0.0,2.0,31.0,15.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,34.0,2.0,27.0,24.0,1.0,15.0,0.0,4.0,24.0,25.0,24.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.56,1.0,1.0,1.0,1.0,1.0,5
333,Action_CheckChirality.h,0.0,1.0,0.0,2.0,30.0,12.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,37.0,2.0,25.0,21.0,1.0,12.0,0.0,5.0,21.0,22.0,21.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.48,1.0,1.0,1.0,1.0,1.0,4
334,Topology.cpp,0.0,20.0,3.0,85.0,1317.0,330.0,5.0,5.0,6.0,2.0,23.0,0.0,20.0,3.0,0.0,65.0,1715.0,85.0,1288.0,265.0,950.0,330.0,12.0,19.0,748.0,1076.0,249.0,1.0,826.0,35.0,35.0,35.0,17.0,8.0,0.26,327.0,327.0,367.0,131.0,14.0,8
335,CoordinateInfo.h,0.0,1.0,0.0,0.0,38.0,12.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,19.0,43.0,0.0,33.0,30.0,15.0,12.0,0.0,5.0,23.0,42.0,27.0,0.0,15.0,1.0,1.0,1.0,1.0,0.0,0.36,19.0,19.0,19.0,19.0,5.0,7
336,ReplicaDimArray.h,0.0,3.0,1.0,0.0,45.0,12.0,2.0,2.0,2.0,1.0,3.0,0.0,3.0,1.0,1.0,11.0,49.0,0.0,41.0,16.0,24.0,12.0,0.0,4.0,26.0,49.0,16.0,0.0,33.0,7.0,4.0,7.0,4.0,2.0,0.29,22.0,17.0,23.0,14.0,0.0,1
337,signals.c,4.0,28.0,4.0,75.0,330.0,96.0,2.0,2.0,2.0,1.0,33.0,4.0,12.0,3.0,0.0,9.0,466.0,68.0,116.0,44.0,48.0,86.0,119.0,131.0,65.0,76.0,28.0,2.0,46.0,4.0,3.0,4.0,3.0,1.0,0.74,19.0,18.0,22.0,11.0,0.0,0
339,Action_NativeContacts.cpp,0.0,35.0,2.0,12.0,507.0,64.0,10.0,10.0,11.0,3.0,37.0,0.0,35.0,2.0,0.0,13.0,575.0,12.0,456.0,101.0,334.0,64.0,0.0,51.0,306.0,442.0,86.0,4.0,352.0,43.0,43.0,45.0,16.0,7.0,0.14,136.0,136.0,142.0,41.0,5.0,11
340,Action_NativeContacts.h,0.0,2.0,0.0,2.0,117.0,46.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,3.0,20.0,131.0,2.0,109.0,82.0,25.0,46.0,0.0,8.0,83.0,106.0,81.0,0.0,25.0,2.0,2.0,2.0,1.0,1.0,0.42,23.0,23.0,23.0,20.0,2.0,8
341,Action_Grid.cpp,1.0,24.0,4.0,13.0,171.0,37.0,6.0,6.0,7.0,2.0,29.0,1.0,24.0,4.0,0.0,7.0,218.0,13.0,166.0,41.0,125.0,37.0,0.0,5.0,102.0,144.0,31.0,0.0,113.0,15.0,15.0,17.0,6.0,5.0,0.22,42.0,42.0,46.0,15.0,4.0,8
342,Action_Grid.h,0.0,1.0,0.0,2.0,29.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,31.0,2.0,23.0,20.0,1.0,0.0,0.0,6.0,20.0,21.0,20.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,7
343,Traj_PDBfile.h,0.0,1.0,0.0,3.0,45.0,21.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,3.0,57.0,3.0,40.0,37.0,3.0,21.0,0.0,5.0,37.0,40.0,37.0,0.0,3.0,1.0,1.0,1.0,1.0,0.0,0.53,3.0,3.0,3.0,3.0,5.0,9
344,ClusterNode.cpp,0.0,9.0,0.0,13.0,115.0,25.0,2.0,2.0,2.0,1.0,9.0,0.0,9.0,0.0,0.0,13.0,151.0,13.0,112.0,47.0,57.0,25.0,0.0,3.0,54.0,81.0,27.0,1.0,53.0,6.0,6.0,6.0,4.0,3.0,0.22,27.0,27.0,27.0,16.0,2.0,1
345,ClusterNode.h,0.0,2.0,0.0,0.0,54.0,20.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,1.0,15.0,68.0,0.0,50.0,38.0,18.0,20.0,0.0,4.0,39.0,54.0,37.0,0.0,17.0,2.0,2.0,2.0,1.0,1.0,0.4,16.0,16.0,16.0,15.0,3.0,2
346,Action_Translate.cpp,0.0,6.0,0.0,6.0,33.0,1.0,2.0,2.0,2.0,1.0,6.0,0.0,6.0,0.0,0.0,5.0,40.0,6.0,31.0,9.0,20.0,1.0,0.0,2.0,19.0,26.0,9.0,0.0,17.0,3.0,3.0,3.0,3.0,1.0,0.03,8.0,8.0,8.0,7.0,1.0,4
347,Action_Translate.h,0.0,1.0,0.0,1.0,17.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,18.0,1.0,13.0,10.0,1.0,0.0,0.0,4.0,9.0,11.0,10.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,2.0,2.0,1.0,4
348,Analysis_CrossCorr.h,0.0,1.0,0.0,3.0,17.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,20.0,3.0,12.0,9.0,1.0,0.0,0.0,5.0,9.0,10.0,9.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4
349,rltty.c,3.0,22.0,4.0,171.0,771.0,168.0,2.0,2.0,3.0,1.0,27.0,3.0,13.0,2.0,0.0,18.0,1034.0,106.0,252.0,84.0,113.0,121.0,468.0,242.0,130.0,154.0,46.0,2.0,106.0,10.0,10.0,10.0,4.0,2.0,0.48,44.0,44.0,48.0,23.0,0.0,0
351,Traj_AmberCoord.h,0.0,1.0,0.0,2.0,35.0,14.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,41.0,2.0,30.0,27.0,2.0,14.0,0.0,5.0,27.0,29.0,27.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,0.47,2.0,2.0,2.0,2.0,4.0,7
352,Action_MultiDihedral.cpp,1.0,24.0,3.0,8.0,126.0,19.0,5.0,5.0,5.0,2.0,28.0,1.0,24.0,3.0,0.0,5.0,152.0,8.0,120.0,26.0,90.0,19.0,0.0,6.0,71.0,97.0,17.0,0.0,80.0,11.0,11.0,11.0,6.0,3.0,0.16,26.0,26.0,26.0,14.0,1.0,4
353,ClusterSieve.h,0.0,1.0,0.0,0.0,24.0,7.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,4.0,30.0,0.0,19.0,16.0,4.0,7.0,0.0,5.0,16.0,20.0,16.0,0.0,4.0,1.0,1.0,1.0,1.0,0.0,0.37,4.0,4.0,4.0,4.0,2.0,1
354,TrajectoryFile.cpp,0.0,14.0,0.0,3.0,89.0,5.0,4.0,4.0,5.0,4.0,14.0,0.0,14.0,0.0,0.0,1.0,97.0,3.0,56.0,50.0,55.0,5.0,7.0,29.0,11.0,15.0,6.0,0.0,9.0,4.0,4.0,5.0,4.0,3.0,0.09,4.0,4.0,5.0,4.0,4.0,4
355,Traj_AmberRestartNC.h,0.0,0.0,0.0,1.0,37.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,36.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3
356,Traj_NcEnsemble.h,0.0,0.0,0.0,0.0,38.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,35.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6
357,Traj_Conflib.h,0.0,1.0,0.0,0.0,27.0,4.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,4.0,30.0,0.0,23.0,20.0,4.0,4.0,0.0,4.0,20.0,24.0,20.0,0.0,4.0,1.0,1.0,1.0,1.0,0.0,0.17,4.0,4.0,4.0,4.0,0.0,1
358,Traj_CharmmDcd.h,0.0,1.0,0.0,3.0,48.0,21.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,3.0,54.0,3.0,44.0,41.0,3.0,21.0,0.0,4.0,44.0,47.0,44.0,0.0,3.0,1.0,1.0,1.0,1.0,0.0,0.48,3.0,3.0,3.0,3.0,1.0,3
359,Traj_GmxTrX.h,0.0,1.0,0.0,4.0,56.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,3.0,62.0,4.0,52.0,49.0,3.0,3.0,0.0,4.0,49.0,52.0,49.0,0.0,3.0,1.0,1.0,1.0,1.0,0.0,0.06,3.0,3.0,3.0,3.0,5.0,6
360,Traj_SDF.h,0.0,1.0,0.0,1.0,23.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,5.0,26.0,1.0,18.0,15.0,4.0,2.0,0.0,5.0,14.0,19.0,15.0,0.0,4.0,1.0,1.0,1.0,1.0,0.0,0.11,5.0,5.0,5.0,5.0,0.0,1
361,Traj_Tinker.h,0.0,1.0,0.0,1.0,25.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,4.0,28.0,1.0,20.0,17.0,4.0,2.0,0.0,5.0,17.0,21.0,17.0,0.0,4.0,1.0,1.0,1.0,1.0,0.0,0.1,4.0,4.0,4.0,4.0,0.0,1
362,Traj_CharmmCor.h,0.0,1.0,0.0,1.0,25.0,5.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,5.0,29.0,1.0,20.0,17.0,4.0,5.0,0.0,5.0,16.0,21.0,17.0,0.0,4.0,1.0,1.0,1.0,1.0,0.0,0.25,5.0,5.0,5.0,5.0,0.0,1
366,Analysis_Integrate.cpp,1.0,15.0,1.0,6.0,60.0,5.0,4.0,4.0,4.0,2.0,16.0,1.0,15.0,1.0,0.0,4.0,71.0,6.0,58.0,12.0,38.0,5.0,0.0,2.0,29.0,43.0,11.0,0.0,32.0,8.0,8.0,8.0,6.0,3.0,0.09,14.0,14.0,14.0,9.0,2.0,5
