,File,Hash,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclExecutableUnit,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,human_buggy
332,src/CLASS2/pair_lj_class2_coul_cut.cpp,633ca33,3.0,22.0,0.0,75.0,338.0,55.0,4.0,4.0,5.0,1.0,25.0,3.0,22.0,0.0,0.0,,15.0,468.0,75.0,326.0,63.0,243.0,55.0,0.0,12.0,,,241.0,310.0,61.0,0.0,249.0,,,,,13.0,13.0,15.0,1.0,5.0,0.17,67.0,67.0,71.0,15.0,0.0
333,src/MISC/pair_nm_cut.cpp,633ca33,3.0,19.0,0.0,74.0,305.0,54.0,4.0,4.0,4.0,1.0,22.0,3.0,19.0,0.0,0.0,,15.0,433.0,74.0,293.0,59.0,216.0,54.0,0.0,12.0,,,218.0,279.0,58.0,0.0,221.0,,,,,9.0,9.0,11.0,5.0,4.0,0.18,59.0,59.0,62.0,19.0,0.0
334,src/USER-MISC/pair_morse_smooth_linear.cpp,633ca33,2.0,16.0,0.0,70.0,249.0,52.0,4.0,4.0,4.0,1.0,19.0,2.0,16.0,0.0,0.0,,15.0,371.0,70.0,238.0,48.0,166.0,52.0,0.0,11.0,,,178.0,232.0,46.0,0.0,186.0,,,,,9.0,9.0,11.0,4.0,4.0,0.22,53.0,53.0,56.0,18.0,0.0
335,src/USER-REAXC/reaxc_bonds.cpp,633ca33,14.0,83.0,7.0,16.0,89.0,32.0,12.0,12.0,19.0,8.0,104.0,14.0,83.0,7.0,0.0,,1.0,137.0,16.0,83.0,14.0,62.0,32.0,0.0,6.0,,,57.0,69.0,12.0,0.0,57.0,,,,,12.0,12.0,19.0,8.0,5.0,0.39,12.0,12.0,19.0,8.0,0.0
336,src/pair_hybrid.cpp,633ca33,5.0,22.0,3.0,184.0,604.0,180.0,9.0,9.0,10.0,1.0,30.0,5.0,22.0,3.0,0.0,,27.0,968.0,184.0,589.0,104.0,432.0,180.0,0.0,15.0,,,452.0,680.0,100.0,0.0,580.0,,,,,33.0,33.0,41.0,7.0,5.0,0.31,236.0,236.0,262.0,51.0,0.0
337,src/CLASS2/pair_lj_class2_coul_long.cpp,633ca33,3.0,24.0,1.0,82.0,412.0,58.0,5.0,5.0,6.0,1.0,28.0,3.0,24.0,1.0,0.0,,16.0,552.0,82.0,391.0,69.0,294.0,58.0,0.0,21.0,,,286.0,368.0,67.0,0.0,301.0,,,,,18.0,18.0,22.0,1.0,6.0,0.15,80.0,80.0,88.0,16.0,0.0
338,lib/colvars/colvargrid.cpp,633ca33,1.0,8.0,0.0,36.0,149.0,8.0,2.0,2.0,2.0,1.0,9.0,1.0,8.0,0.0,0.0,,17.0,193.0,36.0,143.0,59.0,67.0,8.0,0.0,6.0,,,67.0,104.0,37.0,0.0,67.0,,,,,8.0,8.0,8.0,3.0,3.0,0.06,37.0,37.0,38.0,19.0,0.0
339,src/pair_born_coul_wolf.cpp,633ca33,3.0,23.0,0.0,77.0,359.0,56.0,5.0,5.0,5.0,1.0,26.0,3.0,23.0,0.0,0.0,,15.0,492.0,77.0,346.0,61.0,265.0,56.0,0.0,13.0,,,266.0,335.0,59.0,0.0,276.0,,,,,16.0,16.0,18.0,1.0,6.0,0.16,69.0,69.0,73.0,15.0,0.0
340,src/fix_property_atom.cpp,633ca33,2.0,21.0,1.0,94.0,458.0,97.0,7.0,7.0,8.0,1.0,24.0,2.0,21.0,1.0,0.0,,21.0,649.0,94.0,450.0,91.0,331.0,97.0,0.0,8.0,,,312.0,468.0,88.0,0.0,380.0,,,,,27.0,27.0,30.0,7.0,4.0,0.22,154.0,154.0,160.0,27.0,0.0
341,src/USER-REAXC/pair_reaxc.cpp,633ca33,8.0,31.0,3.0,177.0,587.0,87.0,6.0,6.0,7.0,1.0,40.0,8.0,31.0,3.0,0.0,,18.0,839.0,177.0,560.0,97.0,449.0,87.0,0.0,27.0,,,443.0,555.0,86.0,0.0,469.0,,,,,22.0,22.0,22.0,4.0,4.0,0.16,111.0,111.0,118.0,28.0,0.0
