,File,Hash,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclExecutableUnit,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,human_buggy
0,src/KOKKOS/domain_kokkos.cpp,7b98025,2.0,23.0,1.0,75.0,441.0,86.0,5.0,5.0,6.0,1.0,26.0,2.0,23.0,1.0,0.0,,18.0,602.0,75.0,433.0,99.0,289.0,86.0,0.0,8.0,,,292.0,382.0,66.0,0.0,316.0,,,,,42.0,42.0,44.0,1.0,4.0,0.20,91.0,91.0,104.0,18.0,1.0
1,src/KOKKOS/domain_kokkos.cpp,1a1b81c,2.0,23.0,1.0,75.0,441.0,86.0,5.0,5.0,6.0,1.0,26.0,2.0,23.0,1.0,0.0,,18.0,602.0,75.0,433.0,99.0,289.0,86.0,0.0,8.0,,,292.0,382.0,66.0,0.0,316.0,,,,,42.0,42.0,44.0,1.0,4.0,0.20,91.0,91.0,104.0,18.0,0.0
2,src/KOKKOS/neighbor_kokkos.cpp,1a1b81c,2.0,18.0,1.0,98.0,440.0,63.0,5.0,5.0,5.0,1.0,20.0,2.0,18.0,1.0,0.0,,24.0,599.0,98.0,430.0,57.0,313.0,63.0,0.0,10.0,,,292.0,407.0,49.0,0.0,358.0,,,,,20.0,20.0,24.0,5.0,4.0,0.15,115.0,115.0,128.0,30.0,1.0
3,src/KOKKOS/neighbor_kokkos.cpp,2ad2326,2.0,18.0,1.0,98.0,441.0,63.0,5.0,5.0,5.0,1.0,20.0,2.0,18.0,1.0,0.0,,24.0,600.0,98.0,431.0,57.0,314.0,63.0,0.0,10.0,,,293.0,408.0,49.0,0.0,359.0,,,,,20.0,20.0,24.0,5.0,4.0,0.15,115.0,115.0,128.0,30.0,0.0
4,src/USER-CUDA/verlet_cuda.cpp,dbd2599,57.0,125.0,12.0,357.0,786.0,103.0,32.0,32.0,40.0,1.0,193.0,55.0,115.0,11.0,0.0,,6.0,1242.0,343.0,693.0,46.0,592.0,97.0,68.0,46.0,,,476.0,667.0,46.0,0.0,621.0,,,,,80.0,80.0,103.0,3.0,5.0,0.14,191.0,191.0,242.0,8.0,1.0
5,src/USER-CUDA/verlet_cuda.cpp,b5e95a0,57.0,123.0,12.0,356.0,771.0,103.0,32.0,32.0,40.0,1.0,190.0,54.0,113.0,11.0,0.0,,6.0,1226.0,342.0,678.0,41.0,580.0,97.0,68.0,46.0,,,466.0,655.0,41.0,0.0,614.0,,,,,79.0,79.0,102.0,1.0,5.0,0.14,189.0,189.0,240.0,6.0,0.0
6,src/MC/fix_gcmc.cpp,855e8ec,9.0,57.0,2.0,353.0,1818.0,145.0,14.0,14.0,16.0,2.0,69.0,9.0,57.0,2.0,0.0,,31.0,2316.0,353.0,1786.0,322.0,1465.0,145.0,0.0,32.0,,,1262.0,1692.0,315.0,1.0,1376.0,,,,,39.0,39.0,53.0,9.0,5.0,0.08,428.0,428.0,494.0,67.0,1.0
7,src/MC/fix_gcmc.cpp,b2e792d,9.0,58.0,2.0,356.0,1822.0,147.0,14.0,14.0,16.0,2.0,69.0,9.0,58.0,2.0,0.0,,31.0,2325.0,356.0,1790.0,323.0,1468.0,147.0,0.0,32.0,,,1264.0,1695.0,316.0,1.0,1378.0,,,,,39.0,39.0,54.0,9.0,5.0,0.08,429.0,429.0,496.0,67.0,0.0
8,src/KOKKOS/comm_kokkos.cpp,9b33b04,3.0,22.0,2.0,151.0,722.0,124.0,5.0,5.0,5.0,1.0,28.0,3.0,22.0,2.0,0.0,,30.0,996.0,151.0,702.0,139.0,482.0,124.0,0.0,20.0,,,404.0,552.0,104.0,0.0,448.0,,,,,41.0,41.0,47.0,1.0,8.0,0.18,150.0,150.0,163.0,30.0,1.0
9,src/KOKKOS/comm_kokkos.cpp,d6a67c2,3.0,23.0,2.0,150.0,724.0,124.0,5.0,5.0,5.0,1.0,28.0,3.0,23.0,2.0,0.0,,30.0,997.0,150.0,704.0,139.0,484.0,124.0,0.0,20.0,,,406.0,554.0,104.0,0.0,450.0,,,,,41.0,41.0,47.0,1.0,8.0,0.18,150.0,150.0,163.0,30.0,0.0
10,src/VORONOI/compute_voronoi_atom.cpp,aaa32cf,5.0,34.0,5.0,84.0,464.0,97.0,10.0,10.0,10.0,1.0,44.0,5.0,33.0,5.0,0.0,,13.0,640.0,84.0,435.0,65.0,337.0,97.0,4.0,25.0,,,300.0,421.0,60.0,0.0,361.0,,,,,31.0,31.0,34.0,1.0,6.0,0.22,124.0,124.0,136.0,13.0,1.0
11,src/VORONOI/compute_voronoi_atom.cpp,25992ae,5.0,34.0,5.0,84.0,464.0,97.0,10.0,10.0,10.0,1.0,44.0,5.0,33.0,5.0,0.0,,13.0,640.0,84.0,435.0,65.0,337.0,97.0,4.0,25.0,,,300.0,421.0,60.0,0.0,361.0,,,,,31.0,31.0,34.0,1.0,6.0,0.22,124.0,124.0,136.0,13.0,0.0
12,src/VORONOI/compute_voronoi_atom.cpp,25992ae,5.0,34.0,5.0,84.0,464.0,97.0,10.0,10.0,10.0,1.0,44.0,5.0,33.0,5.0,0.0,,13.0,640.0,84.0,435.0,65.0,337.0,97.0,4.0,25.0,,,300.0,421.0,60.0,0.0,361.0,,,,,31.0,31.0,34.0,1.0,6.0,0.22,124.0,124.0,136.0,13.0,1.0
13,src/VORONOI/compute_voronoi_atom.cpp,5ebf01e,5.0,34.0,5.0,84.0,464.0,97.0,10.0,10.0,10.0,1.0,44.0,5.0,33.0,5.0,0.0,,13.0,640.0,84.0,435.0,65.0,337.0,97.0,4.0,25.0,,,300.0,421.0,60.0,0.0,361.0,,,,,31.0,31.0,34.0,1.0,6.0,0.22,124.0,124.0,136.0,13.0,0.0
14,src/MISC/fix_efield.cpp,5ebf01e,4.0,25.0,2.0,71.0,316.0,54.0,7.0,7.0,9.0,2.0,30.0,4.0,25.0,2.0,0.0,,12.0,441.0,71.0,300.0,42.0,234.0,54.0,0.0,16.0,,,192.0,277.0,41.0,0.0,236.0,,,,,31.0,31.0,41.0,18.0,5.0,0.18,85.0,85.0,103.0,29.0,1.0
15,src/MISC/fix_efield.cpp,83796fe,4.0,25.0,2.0,71.0,316.0,54.0,7.0,7.0,9.0,2.0,30.0,4.0,25.0,2.0,0.0,,12.0,441.0,71.0,300.0,42.0,234.0,54.0,0.0,16.0,,,192.0,277.0,41.0,0.0,236.0,,,,,31.0,31.0,41.0,18.0,5.0,0.18,85.0,85.0,103.0,29.0,0.0
16,src/KOKKOS/pair_tersoff_zbl_kokkos.cpp,656f8ed,6.0,31.0,1.0,243.0,985.0,73.0,5.0,5.0,6.0,2.0,38.0,6.0,31.0,1.0,0.0,,30.0,1301.0,243.0,961.0,291.0,702.0,73.0,1.0,23.0,,,701.0,860.0,188.0,0.0,672.0,,,,,28.0,28.0,33.0,19.0,4.0,0.08,156.0,156.0,169.0,79.0,1.0
17,src/KOKKOS/pair_tersoff_mod_kokkos.cpp,656f8ed,6.0,30.0,1.0,226.0,916.0,65.0,5.0,5.0,6.0,2.0,37.0,6.0,30.0,1.0,0.0,,28.0,1207.0,226.0,892.0,258.0,647.0,65.0,1.0,23.0,,,668.0,817.0,173.0,0.0,644.0,,,,,27.0,27.0,32.0,19.0,4.0,0.07,146.0,146.0,159.0,73.0,1.0
18,src/KOKKOS/pair_sw_kokkos.cpp,656f8ed,8.0,34.0,1.0,181.0,668.0,58.0,6.0,6.0,6.0,2.0,43.0,8.0,34.0,1.0,0.0,,18.0,907.0,181.0,645.0,216.0,489.0,58.0,1.0,22.0,,,479.0,580.0,166.0,0.0,414.0,,,,,20.0,20.0,25.0,14.0,4.0,0.09,101.0,101.0,114.0,43.0,1.0
19,src/KOKKOS/pair_tersoff_kokkos.cpp,656f8ed,6.0,30.0,1.0,225.0,910.0,66.0,5.0,5.0,6.0,2.0,37.0,6.0,30.0,1.0,0.0,,28.0,1201.0,225.0,886.0,253.0,641.0,66.0,1.0,23.0,,,666.0,819.0,168.0,0.0,651.0,,,,,27.0,27.0,32.0,19.0,4.0,0.07,150.0,150.0,163.0,77.0,1.0
20,src/KOKKOS/pair_tersoff_zbl_kokkos.cpp,e6ba3cc,6.0,31.0,1.0,242.0,984.0,73.0,5.0,5.0,6.0,2.0,38.0,6.0,31.0,1.0,0.0,,30.0,1299.0,242.0,960.0,291.0,701.0,73.0,1.0,23.0,,,700.0,859.0,188.0,0.0,671.0,,,,,28.0,28.0,33.0,19.0,4.0,0.08,156.0,156.0,169.0,79.0,0.0
21,src/KOKKOS/pair_tersoff_mod_kokkos.cpp,e6ba3cc,6.0,30.0,1.0,225.0,915.0,65.0,5.0,5.0,6.0,2.0,37.0,6.0,30.0,1.0,0.0,,28.0,1205.0,225.0,891.0,258.0,646.0,65.0,1.0,23.0,,,667.0,816.0,173.0,0.0,643.0,,,,,27.0,27.0,32.0,19.0,4.0,0.07,146.0,146.0,159.0,73.0,0.0
22,src/KOKKOS/pair_sw_kokkos.cpp,e6ba3cc,8.0,34.0,1.0,180.0,669.0,58.0,6.0,6.0,6.0,2.0,43.0,8.0,34.0,1.0,0.0,,18.0,907.0,180.0,645.0,216.0,488.0,58.0,1.0,23.0,,,479.0,581.0,167.0,0.0,414.0,,,,,20.0,20.0,25.0,14.0,4.0,0.09,101.0,101.0,114.0,43.0,0.0
23,src/KOKKOS/pair_tersoff_kokkos.cpp,e6ba3cc,6.0,30.0,1.0,224.0,909.0,66.0,5.0,5.0,6.0,2.0,37.0,6.0,30.0,1.0,0.0,,28.0,1199.0,224.0,885.0,253.0,640.0,66.0,1.0,23.0,,,665.0,818.0,168.0,0.0,650.0,,,,,27.0,27.0,32.0,19.0,4.0,0.07,150.0,150.0,163.0,77.0,0.0
24,src/write_restart.cpp,6b582d1,5.0,25.0,3.0,128.0,464.0,120.0,6.0,6.0,6.0,1.0,33.0,5.0,25.0,3.0,0.0,,17.0,711.0,128.0,435.0,85.0,319.0,120.0,0.0,29.0,,,293.0,387.0,68.0,0.0,319.0,,,,,38.0,38.0,41.0,1.0,4.0,0.28,98.0,98.0,108.0,17.0,1.0
25,src/write_restart.cpp,579b616,5.0,25.0,3.0,128.0,465.0,120.0,6.0,6.0,6.0,1.0,33.0,5.0,25.0,3.0,0.0,,17.0,712.0,128.0,436.0,85.0,320.0,120.0,0.0,29.0,,,294.0,388.0,68.0,0.0,320.0,,,,,38.0,38.0,41.0,1.0,4.0,0.28,98.0,98.0,108.0,17.0,0.0
26,src/SHOCK/fix_nphug.cpp,579b616,6.0,16.0,2.0,119.0,263.0,80.0,3.0,3.0,4.0,1.0,24.0,6.0,16.0,2.0,0.0,,15.0,461.0,119.0,249.0,34.0,187.0,80.0,0.0,14.0,,,161.0,208.0,33.0,0.0,175.0,,,,,12.0,12.0,25.0,4.0,2.0,0.32,47.0,47.0,60.0,21.0,1.0
27,src/SHOCK/fix_nphug.cpp,05d3518,6.0,16.0,2.0,119.0,264.0,80.0,3.0,3.0,4.0,1.0,24.0,6.0,16.0,2.0,0.0,,15.0,462.0,119.0,250.0,34.0,188.0,80.0,0.0,14.0,,,162.0,209.0,33.0,0.0,176.0,,,,,12.0,12.0,25.0,4.0,2.0,0.32,47.0,47.0,60.0,21.0,0.0
28,src/MC/fix_gcmc.cpp,bbdd574,9.0,58.0,2.0,356.0,1823.0,147.0,14.0,14.0,16.0,2.0,69.0,9.0,58.0,2.0,0.0,,31.0,2326.0,356.0,1791.0,323.0,1469.0,147.0,0.0,32.0,,,1265.0,1697.0,316.0,1.0,1380.0,,,,,39.0,39.0,54.0,9.0,5.0,0.08,430.0,430.0,498.0,67.0,1.0
29,src/MC/fix_gcmc.cpp,97b8a30,9.0,58.0,2.0,358.0,1829.0,148.0,14.0,14.0,16.0,2.0,69.0,9.0,58.0,2.0,0.0,,31.0,2335.0,358.0,1797.0,324.0,1473.0,148.0,0.0,32.0,,,1271.0,1707.0,317.0,1.0,1389.0,,,,,43.0,43.0,58.0,9.0,5.0,0.08,434.0,434.0,502.0,70.0,0.0
