Unnamed: 0,File,Hash,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,keyword_buggy
3010,src/compute_displace_atom.cpp,0192d2e,4.0,19.0,2.0,36.0,125.0,33.0,3.0,3.0,3.0,1.0,24.0,4.0,19.0,2.0,0.0,6.0,194.0,36.0,113.0,34.0,87.0,33.0,0.0,12.0,85.0,104.0,32.0,0.0,72.0,7.0,7.0,7.0,1.0,3.0,0.29,18.0,18.0,18.0,6.0,1.0
3011,src/version.h,0192d2e,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3012,src/compute_msd_chunk.cpp,0192d2e,3.0,14.0,2.0,57.0,183.0,67.0,3.0,3.0,3.0,1.0,19.0,3.0,14.0,2.0,0.0,12.0,307.0,57.0,172.0,41.0,121.0,67.0,0.0,11.0,123.0,157.0,39.0,0.0,118.0,12.0,12.0,12.0,4.0,3.0,0.39,33.0,33.0,34.0,17.0,1.0
3013,src/compute_inertia_chunk.cpp,0192d2e,2.0,14.0,1.0,46.0,162.0,50.0,3.0,3.0,3.0,1.0,16.0,2.0,14.0,1.0,0.0,11.0,258.0,46.0,153.0,33.0,107.0,50.0,0.0,9.0,109.0,138.0,30.0,0.0,108.0,14.0,14.0,14.0,7.0,3.0,0.33,28.0,28.0,28.0,17.0,1.0
3014,src/compute_reduce.cpp,0192d2e,8.0,57.0,2.0,94.0,535.0,49.0,20.0,20.0,24.0,3.0,66.0,8.0,57.0,2.0,0.0,9.0,677.0,94.0,515.0,90.0,442.0,49.0,0.0,20.0,336.0,519.0,87.0,0.0,432.0,70.0,70.0,93.0,12.0,6.0,0.1,182.0,182.0,214.0,28.0,1.0
3015,lib/gpu/cudpp_mini/cudpp_plan_manager.h,0192d2e,0.0,1.0,0.0,10.0,28.0,19.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,56.0,10.0,24.0,18.0,0.0,19.0,0.0,4.0,14.0,16.0,16.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.79,2.0,2.0,2.0,2.0,1.0
3016,src/compute_property_local.cpp,0192d2e,3.0,21.0,0.0,155.0,713.0,97.0,6.0,6.0,7.0,3.0,24.0,3.0,21.0,0.0,0.0,33.0,965.0,155.0,700.0,157.0,519.0,97.0,0.0,13.0,472.0,670.0,155.0,0.0,515.0,65.0,65.0,99.0,27.0,6.0,0.14,197.0,197.0,245.0,103.0,1.0
3017,src/compute_msd.cpp,0192d2e,9.0,33.0,4.0,55.0,177.0,38.0,7.0,7.0,7.0,1.0,46.0,9.0,33.0,4.0,0.0,5.0,270.0,55.0,168.0,39.0,132.0,38.0,0.0,9.0,130.0,164.0,37.0,0.0,127.0,17.0,17.0,17.0,1.0,4.0,0.23,33.0,33.0,33.0,5.0,1.0
3018,src/USER-MISC/fix_flow_gauss.cpp,0192d2e,4.0,19.0,3.0,35.0,139.0,48.0,5.0,5.0,5.0,1.0,25.0,4.0,19.0,3.0,0.0,6.0,220.0,35.0,128.0,40.0,96.0,48.0,0.0,11.0,78.0,110.0,26.0,0.0,84.0,12.0,12.0,13.0,1.0,4.0,0.38,30.0,30.0,31.0,6.0,1.0
3019,src/compute_slice.cpp,0192d2e,6.0,44.0,2.0,49.0,278.0,31.0,15.0,15.0,15.0,1.0,51.0,6.0,44.0,2.0,0.0,6.0,358.0,49.0,264.0,44.0,215.0,31.0,0.0,14.0,162.0,250.0,42.0,0.0,208.0,59.0,59.0,64.0,1.0,7.0,0.12,87.0,87.0,92.0,6.0,1.0
3020,doc/utils/sha1sum.py,0192d2e,,,,,,,1.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,5.0,2.0,3.0,2.0,,,,5.0,2.0,,3.0,1.0,1.0,1.0,1.0,0.0,0.4,1.0,1.0,1.0,1.0,1.0
3021,src/Make.py,0192d2e,,,,,,,4.0,4.0,4.0,1.0,15.0,0.0,12.0,0.0,32.0,126.0,2349.0,332.0,1786.0,161.0,1626.0,245.0,,,,1544.0,161.0,,1383.0,101.0,101.0,101.0,11.0,5.0,0.14,610.0,610.0,610.0,162.0,1.0
