,File,Hash,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclExecutableUnit,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,fastread_buggy
5638,lib/colvars/colvarmodule.cpp,a323147,3.0,16.0,1.0,384.0,1381.0,109.0,3.0,3.0,4.0,1.0,19.0,3.0,16.0,1.0,0.0,,83.0,1867.0,384.0,1366.0,222.0,897.0,109.0,0.0,15.0,,,673.0,939.0,203.0,3.0,733.0,,,,,15.0,15.0,17.0,10.0,5.0,0.08,285.0,285.0,318.0,134.0,1.0
5639,src/compute_aggregate_atom.cpp,a323147,4.0,19.0,2.0,66.0,204.0,46.0,6.0,6.0,6.0,2.0,25.0,4.0,19.0,2.0,0.0,,10.0,316.0,66.0,188.0,51.0,132.0,46.0,0.0,16.0,,,134.0,186.0,48.0,0.0,138.0,,,,,27.0,27.0,27.0,17.0,5.0,0.24,55.0,55.0,56.0,26.0,1.0
5640,src/fix_wall_lj93.cpp,a323147,2.0,18.0,0.0,15.0,60.0,20.0,4.0,4.0,4.0,2.0,20.0,2.0,18.0,0.0,0.0,,3.0,95.0,15.0,56.0,18.0,39.0,20.0,0.0,4.0,,,40.0,54.0,18.0,0.0,36.0,,,,,10.0,10.0,10.0,5.0,4.0,0.36,12.0,12.0,12.0,7.0,1.0
5641,src/library.cpp,a323147,4.0,25.0,1.0,162.0,672.0,288.0,8.0,8.0,8.0,4.0,30.0,4.0,24.0,1.0,0.0,,24.0,1122.0,155.0,585.0,123.0,408.0,279.0,66.0,53.0,,,366.0,555.0,116.0,0.0,439.0,,,,,47.0,47.0,47.0,47.0,5.0,0.48,190.0,190.0,200.0,116.0,1.0
5642,lib/colvars/colvarbias_meta.cpp,a323147,6.0,41.0,5.0,298.0,1412.0,177.0,9.0,9.0,10.0,2.0,52.0,6.0,41.0,5.0,0.0,,34.0,1885.0,298.0,1391.0,205.0,1044.0,177.0,4.0,21.0,,,701.0,970.0,164.0,3.0,803.0,,,,,37.0,37.0,41.0,13.0,5.0,0.13,298.0,289.0,325.0,89.0,1.0
5643,lib/colvars/colvarcomp_distances.cpp,a323147,1.0,10.0,1.0,308.0,1105.0,73.0,2.0,2.0,3.0,1.0,12.0,1.0,10.0,1.0,0.0,,108.0,1484.0,308.0,1099.0,247.0,675.0,73.0,0.0,6.0,,,596.0,848.0,214.0,0.0,634.0,,,,,31.0,31.0,34.0,16.0,4.0,0.07,258.0,258.0,272.0,142.0,1.0
5644,src/USER-OMP/pair_lj_long_tip4p_long_omp.cpp,a323147,17.0,142.0,10.0,233.0,1730.0,150.0,30.0,30.0,35.0,1.0,166.0,17.0,141.0,10.0,0.0,,12.0,2077.0,233.0,1699.0,209.0,1356.0,150.0,4.0,31.0,,,1127.0,1484.0,201.0,0.0,1283.0,,,,,101.0,101.0,102.0,1.0,7.0,0.09,361.0,361.0,416.0,12.0,1.0
5645,src/fix_wall_lj1043.cpp,a323147,2.0,18.0,0.0,15.0,60.0,18.0,4.0,4.0,4.0,2.0,20.0,2.0,18.0,0.0,0.0,,3.0,93.0,15.0,56.0,17.0,40.0,18.0,0.0,4.0,,,40.0,53.0,17.0,0.0,36.0,,,,,9.0,9.0,9.0,5.0,4.0,0.32,11.0,11.0,11.0,7.0,1.0
5646,lib/colvars/colvarbias.cpp,a323147,2.0,14.0,1.0,129.0,507.0,31.0,3.0,3.0,3.0,1.0,17.0,2.0,14.0,1.0,0.0,,35.0,664.0,129.0,502.0,72.0,315.0,31.0,0.0,5.0,,,227.0,331.0,63.0,0.0,268.0,,,,,12.0,12.0,13.0,8.0,5.0,0.06,105.0,105.0,116.0,58.0,1.0
5647,src/read_data.cpp,a323147,11.0,58.0,5.0,335.0,1538.0,227.0,22.0,22.0,25.0,2.0,73.0,11.0,57.0,5.0,0.0,,26.0,2097.0,333.0,1492.0,208.0,1257.0,227.0,9.0,42.0,,,997.0,1546.0,197.0,0.0,1349.0,,,,,238.0,238.0,279.0,34.0,6.0,0.15,573.0,573.0,660.0,71.0,1.0
5648,src/USER-MISC/pair_edip_multi.cpp,e8eeb52,7.0,27.0,3.0,173.0,540.0,98.0,5.0,5.0,6.0,2.0,36.0,7.0,27.0,3.0,0.0,,19.0,807.0,173.0,523.0,111.0,396.0,98.0,0.0,17.0,,,409.0,508.0,94.0,0.0,414.0,,,,,27.0,27.0,38.0,15.0,6.0,0.19,98.0,98.0,114.0,46.0,0.0
