Unnamed: 0,File,Hash,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,keyword_buggy
0,src/atom_vec_ellipsoid.h,900c839,0.0,0.0,0.0,18.0,73.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,129.0,16.0,65.0,61.0,0.0,38.0,3.0,7.0,59.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.0,0.0,0.0,0.0,1.0
1,src/KOKKOS/dihedral_charmm_kokkos.cpp,900c839,9.0,55.0,2.0,113.0,586.0,52.0,9.0,9.0,12.0,1.0,66.0,9.0,55.0,2.0,0.0,10.0,751.0,113.0,569.0,133.0,437.0,52.0,1.0,16.0,403.0,499.0,112.0,0.0,387.0,25.0,25.0,33.0,1.0,4.0,0.09,93.0,93.0,116.0,10.0,1.0
2,src/KOKKOS/dihedral_charmm_kokkos.h,900c839,0.0,15.0,0.0,29.0,129.0,21.0,1.0,1.0,1.0,1.0,15.0,0.0,15.0,0.0,1.0,3.0,179.0,27.0,118.0,74.0,37.0,21.0,5.0,8.0,97.0,101.0,56.0,0.0,45.0,1.0,1.0,1.0,1.0,0.0,0.18,3.0,3.0,3.0,3.0,1.0
3,src/ASPHERE/fix_nve_asphere_noforce.h,900c839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
4,src/USER-INTEL/pair_sw_intel.cpp,900c839,8.0,75.0,1.0,158.0,1191.0,58.0,12.0,12.0,14.0,1.0,83.0,8.0,63.0,1.0,0.0,9.0,1394.0,98.0,569.0,163.0,413.0,37.0,627.0,146.0,462.0,574.0,156.0,11.0,407.0,62.0,62.0,64.0,1.0,6.0,0.07,111.0,111.0,130.0,9.0,1.0
5,src/USER-INTEL/pair_sw_intel.h,900c839,0.0,1.0,0.0,22.0,69.0,31.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,2.0,122.0,20.0,57.0,51.0,1.0,31.0,4.0,10.0,35.0,38.0,37.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.54,2.0,2.0,2.0,2.0,1.0
6,src/compute_pe_atom.h,900c839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
7,src/GPU/pair_lj_sf_dipole_sf_gpu.cpp,900c839,7.0,44.0,1.0,61.0,306.0,33.0,6.0,6.0,8.0,1.0,52.0,7.0,44.0,1.0,0.0,6.0,400.0,61.0,287.0,72.0,212.0,33.0,0.0,19.0,190.0,227.0,46.0,0.0,181.0,18.0,18.0,26.0,1.0,6.0,0.11,36.0,36.0,49.0,6.0,1.0
8,src/GPU/pair_lj_sf_dipole_sf_gpu.h,900c839,0.0,0.0,0.0,11.0,23.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,66.0,9.0,15.0,12.0,0.0,32.0,3.0,7.0,10.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.13,0.0,0.0,0.0,0.0,1.0
9,src/KOKKOS/fix_nph_kokkos.h,900c839,0.0,1.0,0.0,10.0,18.0,23.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,51.0,8.0,8.0,6.0,0.0,23.0,5.0,7.0,2.0,4.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,2.88,1.0,1.0,1.0,1.0,1.0
