Unnamed: 0,File,Hash,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,keyword_buggy
0,src/USER-DPD/pair_table_rx.cpp,26d5085,6.0,37.0,3.0,193.0,880.0,157.0,8.0,8.0,9.0,1.0,46.0,6.0,37.0,3.0,0.0,23.0,1226.0,193.0,859.0,144.0,666.0,157.0,1.0,21.0,644.0,822.0,141.0,0.0,681.0,35.0,35.0,46.0,11.0,5.0,0.18,177.0,177.0,198.0,40.0,1.0
1,src/USER-DPD/pair_table_rx.h,26d5085,0.0,0.0,0.0,17.0,55.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,173.0,15.0,47.0,43.0,0.0,101.0,3.0,7.0,41.0,42.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.15,0.0,0.0,0.0,0.0,1.0
2,src/pair_table.h,26d5085,0.0,0.0,0.0,15.0,50.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,148.0,13.0,42.0,38.0,0.0,83.0,3.0,7.0,36.0,37.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.98,0.0,0.0,0.0,0.0,1.0
3,src/KOKKOS/pair_table_rx_kokkos.h,26d5085,0.0,4.0,0.0,36.0,122.0,103.0,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,1.0,261.0,34.0,109.0,99.0,1.0,103.0,5.0,10.0,87.0,89.0,88.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.94,1.0,1.0,1.0,1.0,1.0
4,src/KOKKOS/pair_table_rx_kokkos.cpp,26d5085,4.0,29.0,3.0,71.0,384.0,146.0,7.0,7.0,8.0,1.0,35.0,4.0,29.0,3.0,0.0,12.0,601.0,71.0,365.0,92.0,271.0,146.0,1.0,18.0,258.0,338.0,65.0,0.0,273.0,24.0,24.0,34.0,1.0,3.0,0.4,78.0,78.0,91.0,12.0,1.0
5,src/KOKKOS/pair_table_rx_kokkos.h,26d5085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
6,src/KOKKOS/pair_multi_lucy_rx_kokkos.cpp,26d5085,5.0,27.0,1.0,173.0,720.0,77.0,5.0,5.0,6.0,1.0,33.0,5.0,27.0,1.0,0.0,24.0,969.0,173.0,692.0,173.0,509.0,77.0,2.0,27.0,471.0,601.0,122.0,0.0,479.0,25.0,25.0,30.0,4.0,4.0,0.11,131.0,131.0,149.0,27.0,1.0
7,src/pair_table.h,afbc6fc,0.0,0.0,0.0,15.0,50.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,148.0,13.0,42.0,38.0,0.0,83.0,3.0,7.0,36.0,37.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.98,0.0,0.0,0.0,0.0,0.0
8,src/KOKKOS/pair_table_rx_kokkos.h,afbc6fc,0.0,4.0,0.0,40.0,122.0,16.0,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,1.0,178.0,38.0,112.0,102.0,2.0,16.0,5.0,7.0,90.0,94.0,92.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,0.14,1.0,1.0,1.0,1.0,0.0
9,src/USER-DPD/pair_table_rx.cpp,afbc6fc,12.0,70.0,3.0,91.0,441.0,40.0,16.0,16.0,19.0,3.0,85.0,12.0,70.0,3.0,0.0,6.0,572.0,91.0,421.0,71.0,337.0,40.0,1.0,20.0,326.0,423.0,69.0,0.0,354.0,36.0,36.0,47.0,11.0,5.0,0.1,97.0,97.0,115.0,19.0,0.0
