,File,Hash,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclExecutableUnit,CountDeclFunction,CountDeclModule,CountDeclProgunit,CountDeclSubprogram,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountPath,CountPathLog,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,human_buggy
0,abimkdocs/abi_check.py,e5dee57,12.0,12.0,12.0,2.0,43.0,10.0,72.0,0.0,0.0,2.0,1.0,,,,99.0,17.0,81.0,5.0,76.0,1.0,4.0,1.0,75.0,5.0,70.0,3.0,3.0,3.0,1.0,21.0,21.0,21.0,3.0,5.0,0.01,24.0,24.0,24.0,4.0,1.0
1,abimkdocs/mdx_figcaption.py,e5dee57,1.0,1.0,1.0,1.0,10.0,2.0,8.0,2.0,2.0,5.0,4.0,,,,109.0,30.0,48.0,13.0,35.0,31.0,1.0,0.0,44.0,13.0,31.0,1.0,1.0,1.0,1.0,5.0,5.0,5.0,1.0,1.0,0.65,9.0,9.0,9.0,5.0,1.0
2,abimkdocs/preprocessor.py,e5dee57,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,2.0,5.0,5.0,,,,43.0,9.0,26.0,11.0,15.0,8.0,0.0,0.0,21.0,11.0,10.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,0.31,6.0,6.0,6.0,5.0,1.0
3,abimkdocs/treepreprocessor.py,e5dee57,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,2.0,5.0,5.0,,,,43.0,9.0,26.0,11.0,15.0,8.0,0.0,0.0,21.0,11.0,10.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,0.31,6.0,6.0,6.0,5.0,1.0
4,abimkdocs/treepreprocessor.py,e5dee57,1.0,1.0,1.0,1.0,6.0,0.0,4.0,1.0,2.0,6.0,6.0,,,,57.0,16.0,33.0,11.0,22.0,10.0,0.0,0.0,31.0,11.0,20.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,2.0,0.30,11.0,11.0,11.0,9.0,1.0
5,abimkdocs/variables.py,e5dee57,3.0,3.0,3.0,1.0,17.0,1.0,13.0,3.0,9.0,49.0,48.0,,,,1002.0,160.0,651.0,86.0,566.0,230.0,2.0,0.0,528.0,75.0,453.0,2.0,2.0,2.0,1.0,17.0,17.0,17.0,7.0,4.0,0.35,156.0,156.0,156.0,82.0,1.0
6,abimkdocs/website.py,e5dee57,4.0,4.0,4.0,1.0,28.0,3.0,20.0,6.0,8.0,58.0,57.0,,,,1778.0,274.0,1171.0,110.0,1061.0,380.0,2.0,0.0,922.0,101.0,821.0,2.0,2.0,2.0,1.0,70.0,70.0,70.0,6.0,5.0,0.32,276.0,276.0,276.0,109.0,1.0
7,abimkdocs/wikilinks.py,e5dee57,2.0,2.0,2.0,1.0,10.0,0.0,7.0,2.0,2.0,7.0,7.0,,,,107.0,25.0,57.0,14.0,43.0,27.0,0.0,0.0,51.0,14.0,37.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,3.0,2.0,0.47,14.0,14.0,14.0,9.0,1.0
8,mkdocs_plugins/plugins.py,e5dee57,1.0,1.0,1.0,1.0,24.0,3.0,7.0,14.0,1.0,1.0,1.0,,,,34.0,7.0,10.0,4.0,6.0,17.0,0.0,0.0,10.0,4.0,6.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.70,1.0,1.0,1.0,1.0,1.0
9,mkdocs_plugins/setup.py,e5dee57,1.0,1.0,1.0,1.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,14.0,3.0,9.0,2.0,7.0,2.0,1.0,0.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.22,1.0,1.0,1.0,1.0,1.0
10,mksite.py,e5dee57,5.0,5.0,5.0,3.0,46.0,11.0,42.0,6.0,0.0,4.0,3.0,,,,147.0,35.0,89.0,17.0,72.0,23.0,2.0,0.0,85.0,15.0,70.0,2.0,2.0,2.0,1.0,10.0,10.0,10.0,6.0,3.0,0.26,22.0,22.0,22.0,13.0,1.0
11,src/30_diago/m_lobpcg2.F90,ded3efd,5.0,4.0,,1.0,63.0,10.0,40.0,14.0,,16.0,,1.0,1.0,18.0,1170.0,217.0,725.0,271.0,429.0,284.0,,,695.0,255.0,440.0,,,,,38.0,28.0,,7.0,4.0,0.39,88.0,73.0,,24.0,1.0
12,src/41_xc_lowlevel/m_libxc_functionals.F90,ded3efd,6.0,6.0,,1.0,68.0,11.0,41.0,16.0,,18.0,,1.0,1.0,18.0,2114.0,293.0,1004.0,214.0,382.0,869.0,,,600.0,199.0,401.0,,,,,32.0,32.0,,5.0,7.0,0.87,117.0,117.0,,32.0,1.0
13,src/95_drive/timana.F90,ded3efd,169.0,76.0,,110.0,1646.0,171.0,1323.0,180.0,,1.0,,0.0,1.0,1.0,1753.0,174.0,1325.0,35.0,1259.0,284.0,,,1441.0,32.0,1409.0,,,,,169.0,76.0,,110.0,8.0,0.21,169.0,76.0,,110.0,1.0
14,src/67_common/m_epjdos.F90,ded3efd,18.0,17.0,,1.0,150.0,22.0,105.0,30.0,,11.0,,1.0,1.0,11.0,1909.0,276.0,1103.0,276.0,740.0,612.0,,,889.0,191.0,698.0,,,,,70.0,70.0,,9.0,9.0,0.55,198.0,197.0,,19.0,1.0
15,src/28_numeric_noabirule/m_slk.F90,ded3efd,1.0,1.0,,1.0,14.0,5.0,3.0,6.0,,1.0,,1.0,1.0,1.0,5192.0,853.0,2060.0,49.0,0.0,2410.0,,,48.0,48.0,0.0,,,,,1.0,1.0,,1.0,0.0,1.17,1.0,1.0,,1.0,1.0
16,src/95_drive/driver.F90,ded3efd,42.0,38.0,,2.0,395.0,54.0,285.0,58.0,,2.0,,0.0,1.0,1.0,871.0,111.0,572.0,132.0,377.0,194.0,,,422.0,69.0,353.0,,,,,85.0,76.0,,4.0,8.0,0.34,85.0,76.0,,4.0,1.0
17,abimkdocs/abi_check.py,ded3efd,12.0,12.0,12.0,2.0,43.0,10.0,72.0,0.0,0.0,2.0,1.0,,,,99.0,17.0,81.0,5.0,76.0,1.0,4.0,1.0,75.0,5.0,70.0,3.0,3.0,3.0,1.0,21.0,21.0,21.0,3.0,5.0,0.01,24.0,24.0,24.0,4.0,1.0
18,abimkdocs/mdx_figcaption.py,ded3efd,1.0,1.0,1.0,1.0,10.0,2.0,8.0,2.0,2.0,5.0,4.0,,,,109.0,30.0,48.0,13.0,35.0,31.0,1.0,0.0,44.0,13.0,31.0,1.0,1.0,1.0,1.0,5.0,5.0,5.0,1.0,1.0,0.65,9.0,9.0,9.0,5.0,1.0
19,abimkdocs/preprocessor.py,ded3efd,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,2.0,5.0,5.0,,,,43.0,9.0,26.0,11.0,15.0,8.0,0.0,0.0,21.0,11.0,10.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,0.31,6.0,6.0,6.0,5.0,1.0
20,abimkdocs/treepreprocessor.py,ded3efd,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,2.0,5.0,5.0,,,,43.0,9.0,26.0,11.0,15.0,8.0,0.0,0.0,21.0,11.0,10.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,0.31,6.0,6.0,6.0,5.0,1.0
21,abimkdocs/treepreprocessor.py,ded3efd,1.0,1.0,1.0,1.0,6.0,0.0,4.0,1.0,2.0,6.0,6.0,,,,57.0,16.0,33.0,11.0,22.0,10.0,0.0,0.0,31.0,11.0,20.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,2.0,0.30,11.0,11.0,11.0,9.0,1.0
22,abimkdocs/variables.py,ded3efd,3.0,3.0,3.0,1.0,17.0,1.0,13.0,3.0,9.0,49.0,48.0,,,,1002.0,160.0,651.0,86.0,566.0,230.0,2.0,0.0,528.0,75.0,453.0,2.0,2.0,2.0,1.0,17.0,17.0,17.0,7.0,4.0,0.35,156.0,156.0,156.0,82.0,1.0
23,mkdocs_tests/test_variables.py,ded3efd,3.0,3.0,3.0,1.0,17.0,1.0,13.0,3.0,9.0,49.0,48.0,,,,1002.0,160.0,651.0,86.0,566.0,230.0,2.0,0.0,528.0,75.0,453.0,2.0,2.0,2.0,1.0,17.0,17.0,17.0,7.0,4.0,0.35,156.0,156.0,156.0,82.0,1.0
24,abimkdocs/website.py,ded3efd,4.0,4.0,4.0,1.0,28.0,3.0,20.0,6.0,8.0,58.0,57.0,,,,1778.0,274.0,1171.0,110.0,1061.0,380.0,2.0,0.0,922.0,101.0,821.0,2.0,2.0,2.0,1.0,70.0,70.0,70.0,6.0,5.0,0.32,276.0,276.0,276.0,109.0,1.0
25,mkdocs_tests/test_website.py,ded3efd,4.0,4.0,4.0,1.0,28.0,3.0,20.0,6.0,8.0,58.0,57.0,,,,1778.0,274.0,1171.0,110.0,1061.0,380.0,2.0,0.0,922.0,101.0,821.0,2.0,2.0,2.0,1.0,70.0,70.0,70.0,6.0,5.0,0.32,276.0,276.0,276.0,109.0,1.0
26,abimkdocs/wikilinks.py,ded3efd,2.0,2.0,2.0,1.0,10.0,0.0,7.0,2.0,2.0,7.0,7.0,,,,107.0,25.0,57.0,14.0,43.0,27.0,0.0,0.0,51.0,14.0,37.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,3.0,2.0,0.47,14.0,14.0,14.0,9.0,1.0
27,mkdocs_plugins/plugins.py,ded3efd,1.0,1.0,1.0,1.0,24.0,3.0,7.0,14.0,1.0,1.0,1.0,,,,34.0,7.0,10.0,4.0,6.0,17.0,0.0,0.0,10.0,4.0,6.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.70,1.0,1.0,1.0,1.0,1.0
28,mkdocs_plugins/setup.py,ded3efd,1.0,1.0,1.0,1.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,14.0,3.0,9.0,2.0,7.0,2.0,1.0,0.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.22,1.0,1.0,1.0,1.0,1.0
29,mkdocs_tests/test_bibtex.py,ded3efd,3.0,3.0,3.0,1.0,18.0,3.0,21.0,3.0,1.0,3.0,2.0,,,,55.0,11.0,37.0,8.0,29.0,7.0,1.0,0.0,33.0,8.0,25.0,1.0,1.0,1.0,1.0,5.0,5.0,5.0,1.0,2.0,0.19,9.0,9.0,9.0,3.0,1.0
