,File,Hash,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclExecutableUnit,CountDeclFunction,CountDeclModule,CountDeclProgunit,CountDeclSubprogram,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountPath,CountPathLog,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,human_buggy
12133,src/67_common/make_efg_ion.F90,86b7f7d,33.0,33.0,,1.0,195.0,21.0,133.0,85.0,,1.0,,0.0,1.0,1.0,256.0,24.0,135.0,31.0,103.0,143.0,,,129.0,24.0,105.0,,,,,33.0,33.0,,1.0,12.0,1.06,33.0,33.0,,1.0,0.0
12134,src/95_drive/testfi.F90,86b7f7d,23.0,23.0,,1.0,263.0,41.0,182.0,41.0,,1.0,,0.0,1.0,1.0,309.0,45.0,184.0,21.0,162.0,83.0,,,167.0,19.0,148.0,,,,,23.0,23.0,,1.0,4.0,0.45,23.0,23.0,,1.0,0.0
12135,src/43_wvl_wrappers/wvl_projectors_set.F90,86b7f7d,2.0,2.0,,1.0,93.0,13.0,58.0,22.0,,1.0,,0.0,1.0,1.0,141.0,16.0,60.0,20.0,2.0,67.0,,,20.0,18.0,2.0,,,,,2.0,2.0,,1.0,1.0,1.12,2.0,2.0,,1.0,0.0
12136,src/65_paw/int_ang.F90,86b7f7d,2.0,2.0,,1.0,390.0,13.0,187.0,191.0,,1.0,,0.0,1.0,1.0,432.0,16.0,189.0,12.0,176.0,230.0,,,186.0,10.0,176.0,,,,,2.0,2.0,,1.0,1.0,1.22,2.0,2.0,,1.0,0.0
12137,src/62_iowfdenpot/m_wfk.F90,86b7f7d,10.0,9.0,,4.0,128.0,25.0,79.0,27.0,,29.0,,1.0,1.0,29.0,5234.0,969.0,2569.0,680.0,1030.0,1819.0,,,1455.0,422.0,1033.0,,,,,38.0,37.0,,25.0,6.0,0.71,294.0,289.0,,120.0,0.0
12138,src/70_gw/m_ppmodel.F90,86b7f7d,12.0,11.0,,1.0,116.0,18.0,71.0,31.0,,19.0,,1.0,1.0,19.0,3030.0,456.0,1420.0,511.0,901.0,1260.0,,,1228.0,325.0,903.0,,,,,21.0,21.0,,5.0,7.0,0.89,235.0,214.0,,23.0,0.0
12139,src/72_response/elt_ewald.F90,86b7f7d,48.0,48.0,,1.0,394.0,51.0,268.0,91.0,,1.0,,0.0,1.0,1.0,445.0,55.0,270.0,44.0,225.0,138.0,,,239.0,31.0,208.0,,,,,48.0,48.0,,1.0,11.0,0.51,48.0,48.0,,1.0,0.0
12140,src/67_common/evdw_wannier.F90,86b7f7d,32.0,32.0,,14.0,210.0,40.0,140.0,38.0,,7.0,,0.0,6.0,6.0,1689.0,299.0,984.0,199.0,784.0,467.0,,,858.0,96.0,762.0,,,,,163.0,163.0,,62.0,10.0,0.47,230.0,230.0,,100.0,0.0
12141,src/68_dmft/datafordmft.F90,86b7f7d,29.0,29.0,,2.0,292.0,24.0,188.0,100.0,,4.0,,0.0,1.0,3.0,1002.0,85.0,586.0,122.0,463.0,389.0,,,526.0,94.0,432.0,,,,,79.0,79.0,,8.0,14.0,0.66,117.0,117.0,,10.0,0.0
12142,src/77_ddb/electrooptic.F90,86b7f7d,51.0,51.0,,8.0,739.0,89.0,551.0,120.0,,1.0,,0.0,1.0,1.0,819.0,92.0,553.0,137.0,316.0,197.0,,,399.0,78.0,321.0,,,,,51.0,51.0,,8.0,6.0,0.36,51.0,51.0,,8.0,0.0
12143,src/98_main/optic.F90,86b7f7d,51.0,51.0,,8.0,739.0,89.0,551.0,120.0,,1.0,,0.0,1.0,1.0,819.0,92.0,553.0,137.0,316.0,197.0,,,399.0,78.0,321.0,,,,,51.0,51.0,,8.0,6.0,0.36,51.0,51.0,,8.0,0.0
12144,src/41_geometry/gensymspgr.F90,86b7f7d,43.0,43.0,,4.0,190.0,17.0,139.0,43.0,,2.0,,0.0,1.0,1.0,450.0,37.0,281.0,44.0,236.0,153.0,,,282.0,26.0,256.0,,,,,87.0,87.0,,9.0,7.0,0.54,87.0,87.0,,9.0,0.0
12145,src/41_geometry/symspgr.F90,86b7f7d,43.0,43.0,,4.0,190.0,17.0,139.0,43.0,,2.0,,0.0,1.0,1.0,450.0,37.0,281.0,44.0,236.0,153.0,,,282.0,26.0,256.0,,,,,87.0,87.0,,9.0,7.0,0.54,87.0,87.0,,9.0,0.0
12146,src/67_common/wvl_mkrho.F90,86b7f7d,2.0,2.0,,1.0,80.0,16.0,44.0,20.0,,1.0,,0.0,1.0,1.0,126.0,20.0,46.0,24.0,2.0,62.0,,,20.0,18.0,2.0,,,,,2.0,2.0,,1.0,1.0,1.35,2.0,2.0,,1.0,0.0
12147,src/28_numeric_noabirule/m_gaussian_quadrature.F90,86b7f7d,8.0,8.0,,2.0,126.0,19.0,50.0,56.0,,18.0,,1.0,1.0,20.0,2706.0,402.0,928.0,312.0,615.0,1395.0,,,874.0,266.0,608.0,,,,,33.0,33.0,,12.0,4.0,1.50,145.0,145.0,,43.0,0.0
12148,src/65_paw/pawpuxinit.F90,86b7f7d,43.0,43.0,,0.0,288.0,18.0,230.0,45.0,,2.0,,0.0,1.0,1.0,648.0,40.0,463.0,64.0,398.0,159.0,,,400.0,30.0,370.0,,,,,87.0,87.0,,1.0,10.0,0.34,87.0,87.0,,1.0,0.0
12149,src/42_libpaw/m_pawcprj.F90,86b7f7d,15.0,15.0,,2.0,212.0,29.0,126.0,62.0,,24.0,,0.0,1.0,24.0,2971.0,395.0,1530.0,274.0,1163.0,1129.0,,,1615.0,265.0,1350.0,,,,,42.0,42.0,,9.0,8.0,0.74,365.0,364.0,,48.0,0.0
