index,File,AvgCyclomatic,AvgCyclomaticModified,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclExecutableUnit,CountDeclModule,CountDeclProgunit,CountDeclSubprogram,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumEssential,Bugs
306,m_contistr01.F90,12.0,12.0,1.0,1694.0,12.0,1652.0,30.0,1.0,1.0,1.0,1.0,1754.0,17.0,1657.0,19.0,1637.0,82.0,917.0,16.0,901.0,12.0,12.0,1.0,2.0,0.05,12.0,12.0,1.0,0.0
307,m_pred_lotf.F90,27.0,27.0,1.0,303.0,65.0,153.0,85.0,1.0,1.0,1.0,1.0,393.0,75.0,168.0,46.0,121.0,153.0,156.0,37.0,119.0,27.0,27.0,1.0,4.0,0.91,27.0,27.0,1.0,0.0
308,mrggkk.F90,48.0,48.0,1.0,397.0,68.0,261.0,75.0,1.0,0.0,1.0,1.0,449.0,71.0,263.0,50.0,209.0,124.0,233.0,30.0,203.0,48.0,48.0,1.0,8.0,0.47,48.0,48.0,1.0,0.0
309,m_macroave.F90,4.0,4.0,1.0,56.0,6.0,30.0,20.0,8.0,1.0,1.0,8.0,504.0,71.0,251.0,66.0,184.0,195.0,233.0,62.0,171.0,13.0,13.0,4.0,5.0,0.78,39.0,39.0,11.0,0.0
310,m_io_screening.F90,9.0,9.0,4.0,111.0,19.0,67.0,25.0,18.0,1.0,1.0,18.0,2750.0,453.0,1293.0,394.0,670.0,1058.0,941.0,257.0,684.0,34.0,34.0,23.0,7.0,0.82,179.0,175.0,78.0,0.0
311,cdotc.f,7.0,7.0,3.0,58.0,1.0,27.0,30.0,1.0,0.0,1.0,1.0,59.0,2.0,27.0,7.0,20.0,30.0,31.0,7.0,24.0,7.0,7.0,3.0,1.0,1.11,7.0,7.0,3.0,0.0
312,m_ddb.F90,11.0,11.0,1.0,102.0,19.0,63.0,20.0,30.0,1.0,1.0,28.0,4299.0,711.0,1993.0,553.0,1439.0,1668.0,1734.0,394.0,1340.0,56.0,56.0,5.0,13.0,0.84,354.0,349.0,34.0,0.0
313,abi_xtrsm.f90,3.0,3.0,1.0,49.0,8.0,25.0,16.0,4.0,0.0,4.0,4.0,286.0,46.0,101.0,45.0,34.0,141.0,81.0,43.0,38.0,4.0,4.0,1.0,2.0,1.40,12.0,12.0,4.0,0.0
314,m_GreenHyb.F90,6.0,6.0,1.0,63.0,7.0,43.0,13.0,13.0,1.0,1.0,13.0,1369.0,137.0,620.0,185.0,373.0,633.0,597.0,184.0,413.0,26.0,26.0,1.0,5.0,1.02,83.0,83.0,13.0,0.0
315,m_iogkk.F90,16.0,16.0,3.0,169.0,31.0,101.0,44.0,11.0,1.0,1.0,11.0,2301.0,382.0,1141.0,324.0,816.0,861.0,991.0,231.0,760.0,70.0,70.0,18.0,8.0,0.75,181.0,181.0,37.0,0.0
