,File,Hash,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclExecutableUnit,CountDeclFunction,CountDeclModule,CountDeclProgunit,CountDeclSubprogram,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountPath,CountPathLog,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,fastread_buggy
0,doc/generate_doc.py,8d06942,195.0,195.0,195.0,26.0,760.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,1083.0,153.0,771.0,11.0,760.0,176.0,999999999.0,36.0,707.0,11.0,696.0,195.0,195.0,195.0,26.0,195.0,195.0,195.0,26.0,8.0,0.23,195.0,195.0,195.0,26.0,1.0
1,doc/generate_doc.py,177cd82,194.0,194.0,194.0,26.0,751.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,1075.0,150.0,762.0,11.0,751.0,181.0,999999999.0,35.0,698.0,11.0,687.0,194.0,194.0,194.0,26.0,194.0,194.0,194.0,26.0,8.0,0.24,194.0,194.0,194.0,26.0,0.0
2,src/95_drive/gstateimg.F90,9197d9d,37.0,37.0,,3.0,305.0,35.0,234.0,48.0,,2.0,,0.0,1.0,1.0,738.0,73.0,470.0,124.0,336.0,222.0,,,401.0,77.0,324.0,,,,,75.0,75.0,,7.0,5.0,0.47,75.0,75.0,,7.0,1.0
3,doc/generate_doc.py,9197d9d,242.0,242.0,242.0,26.0,918.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,1275.0,160.0,929.0,11.0,918.0,208.0,999999999.0,44.0,857.0,11.0,846.0,242.0,242.0,242.0,26.0,242.0,242.0,242.0,26.0,8.0,0.22,242.0,242.0,242.0,26.0,1.0
4,src/95_drive/gstateimg.F90,b461871,37.0,37.0,,3.0,305.0,35.0,234.0,48.0,,2.0,,0.0,1.0,1.0,738.0,73.0,470.0,124.0,336.0,222.0,,,401.0,77.0,324.0,,,,,75.0,75.0,,7.0,5.0,0.47,75.0,75.0,,7.0,0.0
5,doc/generate_doc.py,b461871,242.0,242.0,242.0,26.0,918.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,1275.0,160.0,929.0,11.0,918.0,208.0,999999999.0,44.0,857.0,11.0,846.0,242.0,242.0,242.0,26.0,242.0,242.0,242.0,26.0,8.0,0.22,242.0,242.0,242.0,26.0,0.0
6,src/65_paw/pawmkrho.F90,123d386,6.0,6.0,,0.0,79.0,10.0,58.0,12.0,,2.0,,0.0,1.0,1.0,247.0,24.0,119.0,55.0,63.0,110.0,,,93.0,41.0,52.0,,,,,12.0,12.0,,1.0,2.0,0.92,12.0,12.0,,1.0,1.0
7,src/67_common/forstrnps.F90,123d386,77.0,77.0,,6.0,838.0,64.0,468.0,311.0,,1.0,,0.0,1.0,1.0,936.0,67.0,470.0,123.0,346.0,406.0,,,400.0,67.0,333.0,,,,,77.0,77.0,,6.0,8.0,0.86,77.0,77.0,,6.0,1.0
8,src/29_xgTools/m_xg.F90,123d386,5.0,5.0,,1.0,41.0,8.0,27.0,6.0,,52.0,,1.0,1.0,52.0,2719.0,553.0,1533.0,650.0,882.0,637.0,,,1393.0,563.0,830.0,,,,,18.0,17.0,,1.0,4.0,0.42,268.0,262.0,,52.0,1.0
9,src/72_response/dfpt_vtorho.F90,123d386,11.0,11.0,,0.0,116.0,14.0,88.0,16.0,,6.0,,0.0,1.0,1.0,857.0,87.0,533.0,196.0,336.0,254.0,,,453.0,111.0,342.0,,,,,67.0,67.0,,4.0,6.0,0.48,67.0,67.0,,4.0,1.0
10,src/72_response/dfpt_prtene.F90,123d386,44.0,44.0,,1.0,292.0,24.0,254.0,15.0,,1.0,,0.0,1.0,1.0,362.0,28.0,256.0,23.0,232.0,81.0,,,233.0,16.0,217.0,,,,,44.0,44.0,,1.0,3.0,0.32,44.0,44.0,,1.0,1.0
11,src/95_drive/dtfil_init.F90,123d386,41.0,41.0,,1.0,506.0,58.0,363.0,106.0,,1.0,,0.0,1.0,1.0,563.0,61.0,365.0,44.0,320.0,160.0,,,369.0,36.0,333.0,,,,,41.0,41.0,,1.0,3.0,0.44,41.0,41.0,,1.0,1.0
12,src/66_nonlocal/nonlop.F90,123d386,36.0,36.0,,0.0,234.0,13.0,193.0,35.0,,2.0,,0.0,1.0,1.0,751.0,31.0,388.0,91.0,296.0,349.0,,,368.0,41.0,327.0,,,,,72.0,72.0,,1.0,4.0,0.90,72.0,72.0,,1.0,1.0
13,src/65_paw/pawdenpot.F90,123d386,77.0,77.0,,0.0,439.0,46.0,347.0,58.0,,2.0,,0.0,1.0,1.0,977.0,96.0,696.0,126.0,569.0,212.0,,,618.0,55.0,563.0,,,,,154.0,154.0,,1.0,7.0,0.30,154.0,154.0,,1.0,1.0
14,src/95_drive/screening.F90,123d386,76.0,75.0,,5.0,730.0,91.0,512.0,154.0,,2.0,,0.0,1.0,1.0,1545.0,185.0,1026.0,295.0,704.0,390.0,,,853.0,131.0,722.0,,,,,153.0,150.0,,11.0,5.0,0.38,153.0,150.0,,11.0,1.0
15,src/57_iovars/chkvars.F90,123d386,6.0,6.0,,3.0,115.0,12.0,78.0,25.0,,3.0,,0.0,2.0,2.0,411.0,41.0,237.0,25.0,211.0,136.0,,,231.0,22.0,209.0,,,,,17.0,17.0,,9.0,5.0,0.57,18.0,18.0,,10.0,1.0
16,src/94_scfcv/afterscfloop.F90,123d386,19.0,19.0,,0.0,204.0,21.0,150.0,35.0,,4.0,,0.0,1.0,1.0,1016.0,88.0,602.0,149.0,352.0,337.0,,,442.0,109.0,333.0,,,,,76.0,76.0,,1.0,6.0,0.56,76.0,76.0,,1.0,1.0
17,src/95_drive/nonlinear.F90,123d386,27.0,27.0,,0.0,298.0,38.0,235.0,29.0,,2.0,,0.0,1.0,1.0,661.0,80.0,472.0,154.0,317.0,120.0,,,326.0,71.0,255.0,,,,,54.0,54.0,,1.0,7.0,0.25,54.0,54.0,,1.0,1.0
18,src/95_drive/sigma.F90,123d386,91.0,90.0,,2.0,795.0,101.0,532.0,194.0,,3.0,,0.0,1.0,1.0,2475.0,306.0,1598.0,398.0,1177.0,668.0,,,1327.0,157.0,1170.0,,,,,273.0,270.0,,6.0,8.0,0.42,273.0,270.0,,6.0,1.0
19,src/72_response/m_rf2.F90,123d386,6.0,5.0,,0.0,51.0,8.0,35.0,10.0,,7.0,,1.0,1.0,4.0,640.0,90.0,273.0,96.0,176.0,300.0,,,261.0,82.0,179.0,,,,,24.0,24.0,,1.0,4.0,1.10,48.0,39.0,,4.0,1.0
