index,File,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,Bugs
15,ScriptingUtils.java,3.0,3.0,4.0,1.0,19.0,2.0,12.0,4.0,1.0,6.0,0.0,6.0,6.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,165.0,29.0,88.0,30.0,41.0,48.0,37.0,65.0,32.0,33.0,6.0,6.0,6.0,1.0,3.0,0.55,23.0,23.0,26.0,6.0,0.0
16,TorqueScheduler.java,2.0,2.0,3.0,1.0,17.0,3.0,11.0,2.0,1.0,0.0,1.0,21.0,21.0,21.0,5.0,21.0,1.0,8.0,1.0,11.0,482.0,98.0,304.0,117.0,168.0,81.0,161.0,228.0,111.0,117.0,13.0,13.0,13.0,3.0,4.0,0.27,61.0,61.0,65.0,23.0,0.0
17,Slurm15SchedulerDockerTest.java,1.0,1.0,1.0,1.0,5.0,0.0,5.0,0.0,1.0,0.0,1.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,1.0,1.0,58.0,11.0,32.0,23.0,11.0,15.0,20.0,23.0,19.0,4.0,1.0,1.0,1.0,1.0,0.0,0.47,2.0,2.0,2.0,2.0,0.0
18,Path.java,2.0,2.0,2.0,1.0,15.0,1.0,6.0,7.0,2.0,0.0,2.0,32.0,32.0,32.0,3.0,32.0,0.0,0.0,0.0,32.0,589.0,73.0,241.0,69.0,128.0,275.0,102.0,171.0,67.0,104.0,8.0,8.0,10.0,5.0,4.0,1.14,65.0,65.0,76.0,44.0,0.0
19,OutputReaderTest.java,1.0,1.0,1.0,1.0,8.0,1.0,6.0,0.0,2.0,0.0,0.0,8.0,8.0,8.0,2.0,8.0,0.0,0.0,0.0,8.0,124.0,32.0,77.0,38.0,33.0,15.0,43.0,57.0,32.0,25.0,3.0,3.0,3.0,1.0,1.0,0.19,12.0,12.0,12.0,8.0,0.0
20,UnsupportedOperationException.java,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,0.0,1.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,32.0,4.0,10.0,5.0,3.0,18.0,4.0,7.0,5.0,2.0,1.0,1.0,1.0,1.0,0.0,1.80,2.0,2.0,2.0,2.0,0.0
22,SchedulerAdaptorDescription.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,56.0,5.0,7.0,6.0,0.0,44.0,5.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.29,0.0,0.0,0.0,0.0,0.0
23,SlurmUtilsTest.java,1.0,1.0,1.0,1.0,14.0,2.0,11.0,0.0,1.0,0.0,0.0,50.0,50.0,50.0,0.0,50.0,0.0,0.0,0.0,50.0,868.0,179.0,635.0,253.0,456.0,54.0,427.0,478.0,197.0,281.0,1.0,1.0,1.0,1.0,0.0,0.09,50.0,50.0,50.0,50.0,0.0
24,MockChannelExec.java,1.0,1.0,1.0,1.0,6.0,1.0,5.0,0.0,3.0,0.0,0.0,28.0,28.0,28.0,5.0,28.0,0.0,0.0,0.0,28.0,192.0,46.0,131.0,32.0,73.0,15.0,42.0,72.0,43.0,29.0,2.0,2.0,2.0,1.0,1.0,0.11,29.0,29.0,29.0,28.0,0.0
25,SshUtilTest.java,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,0.0,0.0,4.0,6.0,6.0,0.0,6.0,0.0,0.0,0.0,6.0,59.0,12.0,32.0,23.0,9.0,15.0,18.0,23.0,19.0,4.0,1.0,1.0,1.0,1.0,0.0,0.47,4.0,4.0,4.0,4.0,0.0
