index,File,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,Bugs,human_bugs
0,GridEngineSetup.java,2.0,2.0,2.0,1.0,17.0,2.0,11.0,3.0,1.0,4.0,1.0,8.0,8.0,4.0,3.0,8.0,3.0,3.0,0.0,2.0,196.0,38.0,110.0,42.0,66.0,48.0,58.0,82.0,40.0,42.0,9.0,9.0,9.0,5.0,2.0,0.44,21.0,21.0,22.0,12.0,20.0,0
1,SshInteractiveProcessFactory.java,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0,2.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,2.0,40.0,6.0,15.0,10.0,2.0,19.0,8.0,11.0,9.0,2.0,1.0,1.0,1.0,1.0,0.0,1.27,2.0,2.0,2.0,2.0,16.0,0
2,UnknownPropertyException.java,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,0.0,1.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,37.0,5.0,10.0,5.0,3.0,22.0,4.0,7.0,5.0,2.0,1.0,1.0,1.0,1.0,0.0,2.2,2.0,2.0,2.0,2.0,11.0,0
3,SlurmSchedulerConnectionTest.java,1.0,1.0,1.0,1.0,14.0,2.0,11.0,0.0,1.0,0.0,0.0,33.0,33.0,33.0,0.0,33.0,0.0,0.0,0.0,33.0,585.0,118.0,435.0,196.0,311.0,32.0,333.0,367.0,162.0,205.0,1.0,1.0,1.0,1.0,0.0,0.07,33.0,33.0,33.0,33.0,9.0,0
4,FilesEngineTest.java,1.0,1.0,1.0,1.0,12.0,3.0,8.0,0.0,1.0,0.0,0.0,3.0,3.0,3.0,0.0,3.0,0.0,0.0,0.0,3.0,77.0,18.0,42.0,35.0,18.0,17.0,28.0,32.0,29.0,3.0,1.0,1.0,1.0,1.0,0.0,0.4,3.0,3.0,3.0,3.0,6.0,0
5,LocalDirectoryAttributeStream.java,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,0.0,0.0,6.0,6.0,6.0,2.0,6.0,1.0,0.0,0.0,5.0,81.0,13.0,44.0,26.0,12.0,24.0,22.0,30.0,21.0,9.0,2.0,2.0,2.0,1.0,1.0,0.55,7.0,7.0,7.0,6.0,8.0,0
6,CreatingXenonWithProperties.java,2.0,2.0,2.0,1.0,24.0,5.0,12.0,7.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,59.0,10.0,20.0,10.0,9.0,29.0,13.0,16.0,10.0,6.0,2.0,2.0,2.0,1.0,1.0,1.45,2.0,2.0,2.0,1.0,6.0,0
7,InteractiveProcessFactory.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,28.0,3.0,6.0,5.0,0.0,19.0,4.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.17,0.0,0.0,0.0,0.0,12.0,0
8,Credential.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,42.0,4.0,6.0,5.0,0.0,32.0,4.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.33,0.0,0.0,0.0,0.0,10.0,0
9,SlurmSetup.java,2.0,2.0,3.0,1.0,12.0,2.0,10.0,0.0,1.0,0.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,1.0,0.0,0.0,78.0,16.0,42.0,15.0,21.0,20.0,21.0,31.0,16.0,15.0,4.0,4.0,4.0,3.0,2.0,0.48,8.0,8.0,9.0,5.0,16.0,0
10,JobQueueTest.java,1.0,1.0,1.0,1.0,9.0,1.0,7.0,0.0,3.0,4.0,9.0,38.0,38.0,34.0,7.0,38.0,0.0,0.0,0.0,38.0,545.0,122.0,371.0,160.0,201.0,52.0,229.0,282.0,130.0,152.0,3.0,3.0,4.0,1.0,2.0,0.14,48.0,48.0,49.0,38.0,7.0,0
11,SshAdaptor.java,2.0,1.0,2.0,1.0,8.0,0.0,7.0,0.0,1.0,0.0,20.0,11.0,11.0,11.0,4.0,11.0,1.0,1.0,1.0,8.0,268.0,43.0,155.0,74.0,88.0,70.0,87.0,106.0,67.0,39.0,10.0,5.0,10.0,1.0,3.0,0.45,25.0,17.0,25.0,11.0,16.0,0
