index,File,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,Bugs,human_bugs
15,PathAttributesPairImplementation.java,2.0,2.0,2.0,2.0,8.0,0.0,7.0,0.0,1.0,0.0,0.0,6.0,6.0,6.0,2.0,6.0,0.0,0.0,0.0,6.0,90.0,15.0,60.0,21.0,28.0,15.0,25.0,41.0,16.0,25.0,10.0,10.0,10.0,10.0,2.0,0.25,17.0,17.0,17.0,15.0,4.0,0
16,CreatingOctopus.java,2.0,2.0,2.0,1.0,22.0,5.0,12.0,5.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,58.0,9.0,22.0,14.0,9.0,27.0,14.0,17.0,13.0,4.0,2.0,2.0,2.0,1.0,1.0,1.23,2.0,2.0,2.0,1.0,2.0,0
17,JobScriptGeneratorTest.java,1.0,1.0,1.0,1.0,11.0,4.0,6.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,37.0,9.0,12.0,7.0,4.0,16.0,7.0,9.0,6.0,3.0,1.0,1.0,1.0,1.0,0.0,1.33,1.0,1.0,1.0,1.0,2.0,0
18,InvalidDataException.java,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,0.0,1.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,29.0,4.0,10.0,5.0,3.0,15.0,4.0,7.0,5.0,2.0,1.0,1.0,1.0,1.0,0.0,1.5,2.0,2.0,2.0,2.0,1.0,0
19,PathAttributesPair.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,40.0,3.0,5.0,4.0,0.0,32.0,3.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4,0.0,0.0,0.0,0.0,8.0,0
20,SshJobs.java,1.0,1.0,1.0,1.0,8.0,1.0,6.0,0.0,2.0,1.0,1.0,20.0,20.0,19.0,10.0,20.0,1.0,2.0,0.0,17.0,271.0,63.0,184.0,87.0,76.0,24.0,92.0,128.0,70.0,58.0,4.0,4.0,4.0,1.0,3.0,0.13,32.0,32.0,34.0,20.0,35.0,0
21,FileSystemImplementation.java,1.0,1.0,1.0,1.0,6.0,0.0,6.0,0.0,1.0,0.0,0.0,10.0,10.0,10.0,6.0,10.0,0.0,0.0,0.0,10.0,121.0,24.0,82.0,34.0,32.0,15.0,37.0,55.0,26.0,29.0,5.0,5.0,5.0,4.0,1.0,0.18,17.0,17.0,18.0,13.0,7.0,0
22,SshOutputStream.java,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0,9.0,9.0,9.0,3.0,9.0,0.0,0.0,0.0,9.0,84.0,12.0,50.0,25.0,14.0,22.0,19.0,30.0,17.0,13.0,1.0,1.0,1.0,1.0,1.0,0.44,9.0,9.0,9.0,9.0,11.0,0
23,SchedulerConnection.java,3.0,3.0,3.0,1.0,17.0,3.0,12.0,1.0,1.0,1.0,2.0,13.0,22.0,21.0,10.0,22.0,11.0,1.0,5.0,5.0,335.0,82.0,213.0,82.0,108.0,41.0,124.0,167.0,84.0,83.0,6.0,6.0,8.0,4.0,2.0,0.19,41.0,41.0,49.0,21.0,45.0,0
24,PasswordCredentialImplementation.java,1.0,1.0,1.0,1.0,7.0,0.0,3.0,4.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,42.0,4.0,12.0,7.0,2.0,26.0,4.0,7.0,5.0,2.0,1.0,1.0,1.0,1.0,0.0,2.17,2.0,2.0,2.0,2.0,11.0,0
