index,File,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,Bugs
0,LocalFileSystemSimpleTest.java,1.0,1.0,1.0,1.0,5.0,0.0,5.0,0.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,64.0,8.0,22.0,13.0,4.0,34.0,10.0,15.0,11.0,4.0,1.0,1.0,1.0,1.0,1.0,1.55,2.0,2.0,2.0,2.0,0.0
1,S3FileSystemSimpleTests.java,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0,4.0,4.0,4.0,0.0,4.0,0.0,0.0,0.0,4.0,47.0,7.0,25.0,16.0,4.0,15.0,11.0,16.0,12.0,4.0,1.0,1.0,1.0,1.0,0.0,0.60,4.0,4.0,4.0,4.0,0.0
2,ScriptingUtils.java,3.0,3.0,3.0,1.0,15.0,2.0,9.0,4.0,1.0,7.0,0.0,8.0,8.0,1.0,0.0,8.0,0.0,1.0,0.0,7.0,166.0,30.0,91.0,29.0,43.0,47.0,36.0,66.0,31.0,35.0,6.0,6.0,6.0,1.0,3.0,0.52,25.0,25.0,29.0,8.0,0.0
3,IncompleteJobDescriptionException.java,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,0.0,1.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,37.0,5.0,11.0,6.0,3.0,21.0,5.0,8.0,6.0,2.0,1.0,1.0,1.0,1.0,0.0,1.91,2.0,2.0,2.0,2.0,0.0
4,GridengineLocationConfig.java,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,25.0,3.0,7.0,4.0,1.0,15.0,3.0,5.0,4.0,1.0,1.0,1.0,1.0,1.0,0.0,2.14,1.0,1.0,1.0,1.0,0.0
5,AttributeNotSupportedException.java,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,0.0,1.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,38.0,6.0,11.0,6.0,3.0,21.0,5.0,8.0,6.0,2.0,1.0,1.0,1.0,1.0,0.0,1.91,2.0,2.0,2.0,2.0,0.0
6,TorqueXmlParserTest.java,1.0,1.0,1.0,1.0,8.0,0.0,8.0,0.0,1.0,1.0,0.0,11.0,11.0,10.0,0.0,11.0,0.0,1.0,0.0,10.0,155.0,25.0,114.0,67.0,66.0,16.0,71.0,83.0,55.0,28.0,2.0,2.0,2.0,1.0,0.0,0.14,12.0,12.0,12.0,11.0,0.0
7,CredentialMap.java,2.0,2.0,2.0,1.0,11.0,1.0,5.0,5.0,1.0,0.0,0.0,9.0,9.0,9.0,2.0,9.0,0.0,0.0,0.0,9.0,148.0,22.0,58.0,20.0,30.0,68.0,26.0,44.0,18.0,26.0,7.0,7.0,7.0,7.0,2.0,1.17,18.0,18.0,18.0,15.0,0.0
8,Path.java,1.0,1.0,2.0,1.0,14.0,1.0,6.0,7.0,2.0,1.0,2.0,37.0,37.0,36.0,4.0,37.0,0.0,2.0,1.0,34.0,642.0,83.0,258.0,76.0,133.0,301.0,112.0,184.0,73.0,111.0,8.0,8.0,10.0,5.0,4.0,1.17,70.0,70.0,85.0,45.0,0.0
9,GridengineSchedulerDockerTest.java,1.0,1.0,1.0,1.0,5.0,0.0,5.0,1.0,1.0,0.0,1.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,1.0,1.0,54.0,9.0,29.0,22.0,8.0,17.0,19.0,22.0,18.0,4.0,1.0,1.0,1.0,1.0,0.0,0.59,2.0,2.0,2.0,2.0,0.0
10,CopyStatusTest.java,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,0.0,0.0,14.0,14.0,14.0,0.0,14.0,0.0,0.0,0.0,14.0,125.0,25.0,85.0,56.0,34.0,15.0,40.0,55.0,41.0,14.0,1.0,1.0,1.0,1.0,0.0,0.18,14.0,14.0,14.0,14.0,0.0
11,InteractiveProcess.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,25.0,2.0,5.0,4.0,0.0,18.0,3.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.60,0.0,0.0,0.0,0.0,0.0
12,MockSftpClient.java,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0,32.0,32.0,32.0,0.0,32.0,0.0,0.0,0.0,32.0,196.0,38.0,143.0,78.0,32.0,15.0,45.0,78.0,46.0,32.0,1.0,1.0,1.0,1.0,0.0,0.10,32.0,32.0,32.0,32.0,0.0
13,SshInteractiveProcessITest.java,1.0,1.0,1.0,1.0,35.0,10.0,23.0,1.0,1.0,0.0,0.0,3.0,5.0,5.0,0.0,5.0,0.0,0.0,0.0,5.0,151.0,42.0,91.0,55.0,64.0,18.0,80.0,84.0,52.0,32.0,1.0,1.0,1.0,1.0,0.0,0.20,3.0,3.0,3.0,3.0,0.0
14,JCloudsFileSytem.java,1.0,1.0,1.0,1.0,8.0,1.0,6.0,0.0,3.0,0.0,1.0,43.0,43.0,39.0,9.0,39.0,8.0,7.0,2.0,22.0,504.0,106.0,361.0,141.0,183.0,37.0,185.0,256.0,118.0,138.0,4.0,4.0,8.0,3.0,2.0,0.10,72.0,71.0,78.0,47.0,0.0
16,LocalUtilFixedClientTest.java,1.0,1.0,1.0,1.0,3.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,26.0,4.0,7.0,5.0,0.0,15.0,2.0,4.0,4.0,0.0,1.0,1.0,1.0,1.0,0.0,2.14,1.0,1.0,1.0,1.0,0.0
17,HDFSFileSystem.java,2.0,2.0,2.0,1.0,11.0,0.0,11.0,0.0,5.0,1.0,0.0,32.0,32.0,31.0,3.0,32.0,3.0,4.0,4.0,21.0,443.0,47.0,378.0,90.0,231.0,19.0,180.0,252.0,77.0,175.0,13.0,10.0,13.0,1.0,2.0,0.05,78.0,70.0,79.0,32.0,0.0
18,JobStatus.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,10.0,0.0,10.0,9.0,0.0,0.0,1.0,109.0,13.0,16.0,15.0,0.0,80.0,14.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,5.00,0.0,0.0,0.0,0.0,0.0
20,PathIteratorTest.java,1.0,1.0,1.0,1.0,9.0,1.0,7.0,0.0,1.0,0.0,0.0,6.0,6.0,6.0,0.0,6.0,0.0,0.0,0.0,6.0,97.0,19.0,60.0,34.0,33.0,18.0,36.0,46.0,29.0,17.0,2.0,2.0,2.0,1.0,1.0,0.30,8.0,8.0,8.0,6.0,0.0
