index,File,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,Bugs,human_bugs
0,CommandNotFoundException.java,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,0.0,1.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,38.0,6.0,11.0,6.0,3.0,21.0,5.0,8.0,6.0,2.0,1.0,1.0,1.0,1.0,0.0,1.91,2.0,2.0,2.0,2.0,7.0,0
1,ITSSHCredentialTest.java,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,54.0,3.0,11.0,8.0,1.0,40.0,6.0,8.0,7.0,1.0,1.0,1.0,1.0,1.0,0.0,3.64,1.0,1.0,1.0,1.0,1.0,0
2,FtpDirectoryStream.java,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0,3.0,3.0,3.0,0.0,3.0,0.0,0.0,2.0,1.0,43.0,8.0,20.0,13.0,3.0,15.0,9.0,13.0,10.0,3.0,1.0,1.0,1.0,1.0,0.0,0.75,3.0,3.0,3.0,3.0,2.0,0
3,ITJobLocal.java,1.0,1.0,1.0,1.0,33.0,6.0,20.0,7.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,72.0,13.0,37.0,22.0,20.0,22.0,31.0,33.0,20.0,13.0,1.0,1.0,1.0,1.0,0.0,0.59,1.0,1.0,1.0,1.0,1.0,0
4,FileTestConfig.java,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0,7.0,11.0,11.0,0.0,11.0,0.0,0.0,1.0,10.0,67.0,14.0,35.0,20.0,7.0,18.0,19.0,27.0,20.0,7.0,1.0,1.0,1.0,1.0,0.0,0.51,7.0,7.0,7.0,7.0,3.0,0
5,XenonFactoryTest.java,1.0,1.0,1.0,1.0,5.0,0.0,5.0,0.0,1.0,0.0,0.0,5.0,5.0,5.0,0.0,5.0,0.0,0.0,0.0,5.0,69.0,12.0,41.0,26.0,15.0,16.0,24.0,30.0,21.0,9.0,1.0,1.0,1.0,1.0,0.0,0.39,5.0,5.0,5.0,5.0,1.0,0
6,ImmutableArrayTest.java,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,0.0,0.0,5.0,5.0,5.0,0.0,5.0,0.0,0.0,0.0,5.0,62.0,10.0,34.0,21.0,12.0,18.0,17.0,23.0,16.0,7.0,1.0,1.0,1.0,1.0,0.0,0.53,5.0,5.0,5.0,5.0,1.0,0
7,AttributeNotSupportedException.java,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,0.0,1.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,38.0,6.0,11.0,6.0,3.0,21.0,5.0,8.0,6.0,2.0,1.0,1.0,1.0,1.0,0.0,1.91,2.0,2.0,2.0,2.0,7.0,0
8,TorqueSchedulerConnectionFactory.java,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,38.0,4.0,15.0,12.0,1.0,19.0,9.0,11.0,10.0,1.0,1.0,1.0,1.0,1.0,0.0,1.27,1.0,1.0,1.0,1.0,1.0,0
9,SchedulerConnectionTest.java,1.0,1.0,1.0,1.0,9.0,2.0,7.0,0.0,1.0,0.0,0.0,18.0,18.0,18.0,0.0,18.0,0.0,0.0,0.0,18.0,322.0,65.0,164.0,91.0,94.0,93.0,107.0,126.0,72.0,54.0,1.0,1.0,1.0,1.0,0.0,0.57,18.0,18.0,18.0,18.0,1.0,0
10,TorqueJobScriptGeneratorTest.java,1.0,1.0,1.0,1.0,19.0,2.0,15.0,1.0,1.0,0.0,0.0,6.0,6.0,6.0,0.0,6.0,0.0,0.0,0.0,6.0,161.0,27.0,111.0,45.0,75.0,23.0,58.0,65.0,34.0,31.0,1.0,1.0,1.0,1.0,0.0,0.21,6.0,6.0,6.0,6.0,1.0,0
11,XenonFactory.java,1.0,1.0,1.0,1.0,14.0,0.0,2.0,11.0,1.0,3.0,0.0,4.0,4.0,1.0,0.0,4.0,0.0,1.0,0.0,3.0,92.0,7.0,16.0,8.0,3.0,69.0,6.0,11.0,8.0,3.0,1.0,1.0,1.0,1.0,0.0,4.31,4.0,4.0,4.0,4.0,1.0,0
12,TorqueJobTestConfig.java,1.0,1.0,1.0,1.0,4.0,0.0,3.0,0.0,1.0,0.0,0.0,32.0,32.0,32.0,11.0,32.0,0.0,0.0,0.0,32.0,252.0,47.0,172.0,86.0,58.0,33.0,77.0,111.0,60.0,51.0,2.0,2.0,4.0,1.0,1.0,0.19,33.0,33.0,35.0,32.0,1.0,0
13,CopyImplementationTest.java,1.0,1.0,1.0,1.0,10.0,3.0,7.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,42.0,9.0,15.0,9.0,5.0,18.0,10.0,12.0,8.0,4.0,1.0,1.0,1.0,1.0,0.0,1.2,1.0,1.0,1.0,1.0,1.0,0
14,SshInputStream.java,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0,11.0,11.0,11.0,3.0,11.0,0.0,0.0,0.0,11.0,98.0,15.0,63.0,30.0,19.0,20.0,23.0,37.0,20.0,17.0,2.0,2.0,2.0,1.0,1.0,0.32,12.0,12.0,12.0,11.0,3.0,0
15,LocalFileTestConfig.java,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0,15.0,15.0,15.0,4.0,15.0,0.0,0.0,0.0,15.0,123.0,22.0,83.0,43.0,24.0,18.0,36.0,53.0,31.0,22.0,2.0,2.0,2.0,1.0,1.0,0.22,16.0,16.0,16.0,15.0,3.0,0
16,GenericScheduleJobTestParent.java,2.0,2.0,2.0,1.0,16.0,2.0,12.0,1.0,1.0,2.0,3.0,48.0,48.0,46.0,8.0,48.0,0.0,0.0,20.0,28.0,972.0,176.0,692.0,240.0,448.0,106.0,399.0,526.0,221.0,305.0,11.0,11.0,11.0,4.0,6.0,0.15,110.0,110.0,115.0,51.0,7.0,0
17,XenonEngineTest.java,1.0,1.0,1.0,1.0,6.0,0.0,5.0,0.0,1.0,0.0,0.0,20.0,20.0,20.0,0.0,20.0,0.0,0.0,0.0,20.0,216.0,34.0,152.0,81.0,73.0,30.0,81.0,105.0,61.0,44.0,2.0,2.0,2.0,1.0,1.0,0.2,23.0,23.0,23.0,20.0,4.0,0
18,ScriptingAdaptor.java,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,0.0,0.0,5.0,5.0,5.0,2.0,5.0,0.0,0.0,1.0,4.0,73.0,10.0,37.0,24.0,7.0,26.0,18.0,24.0,17.0,7.0,1.0,1.0,1.0,1.0,0.0,0.7,5.0,5.0,5.0,5.0,0.0,0
19,FtpFileAttributesTest.java,1.0,1.0,1.0,1.0,7.0,0.0,5.0,1.0,1.0,0.0,0.0,16.0,16.0,16.0,4.0,16.0,0.0,1.0,0.0,15.0,188.0,34.0,116.0,67.0,54.0,38.0,63.0,84.0,54.0,30.0,3.0,3.0,3.0,1.0,2.0,0.33,18.0,18.0,18.0,16.0,1.0,0
20,GenericCredentialsAdaptorTestParent.java,2.0,2.0,2.0,1.0,10.0,0.0,8.0,0.0,1.0,1.0,1.0,9.0,9.0,8.0,3.0,9.0,0.0,0.0,0.0,9.0,159.0,22.0,110.0,56.0,48.0,27.0,49.0,79.0,52.0,27.0,4.0,4.0,4.0,1.0,3.0,0.25,23.0,23.0,23.0,9.0,0.0,0
21,SSHLocationTest.java,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,0.0,1.0,20.0,20.0,20.0,0.0,20.0,0.0,0.0,0.0,20.0,163.0,26.0,120.0,67.0,52.0,22.0,59.0,80.0,48.0,32.0,1.0,1.0,1.0,1.0,0.0,0.18,20.0,20.0,20.0,20.0,0.0,0
22,OpenOptions.java,2.0,1.0,2.0,1.0,8.0,1.0,6.0,0.0,1.0,1.0,0.0,9.0,9.0,8.0,4.0,9.0,0.0,0.0,0.0,9.0,113.0,23.0,71.0,18.0,38.0,19.0,30.0,47.0,19.0,28.0,11.0,5.0,12.0,1.0,2.0,0.27,21.0,15.0,24.0,9.0,3.0,0
23,QueueStatusImplementationTest.java,1.0,1.0,1.0,1.0,11.0,3.0,8.0,0.0,1.0,0.0,0.0,6.0,6.0,6.0,0.0,6.0,0.0,0.0,0.0,6.0,115.0,32.0,65.0,41.0,36.0,18.0,38.0,45.0,30.0,15.0,1.0,1.0,1.0,1.0,0.0,0.28,6.0,6.0,6.0,6.0,11.0,0
24,TorqueAdaptor.java,1.0,1.0,1.0,1.0,8.0,0.0,3.0,5.0,1.0,0.0,9.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,97.0,15.0,42.0,29.0,21.0,40.0,24.0,27.0,25.0,2.0,1.0,1.0,1.0,1.0,0.0,0.95,2.0,2.0,2.0,2.0,1.0,0
25,NoSuchCopyException.java,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,0.0,1.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,37.0,5.0,11.0,6.0,3.0,21.0,5.0,8.0,6.0,2.0,1.0,1.0,1.0,1.0,0.0,1.91,2.0,2.0,2.0,2.0,7.0,0
26,FileSystemImplementationTest.java,1.0,1.0,1.0,1.0,6.0,0.0,5.0,0.0,2.0,0.0,0.0,20.0,20.0,20.0,0.0,20.0,0.0,0.0,0.0,20.0,204.0,43.0,143.0,95.0,70.0,18.0,63.0,84.0,62.0,22.0,1.0,1.0,1.0,1.0,0.0,0.13,20.0,20.0,20.0,20.0,3.0,0
27,QueueInfo.java,1.0,1.0,1.0,1.0,9.0,1.0,6.0,1.0,1.0,0.0,0.0,6.0,6.0,6.0,3.0,6.0,2.0,0.0,0.0,4.0,95.0,15.0,50.0,18.0,23.0,30.0,24.0,35.0,17.0,18.0,5.0,5.0,5.0,1.0,1.0,0.6,10.0,10.0,10.0,6.0,8.0,0
28,RobotTest.java,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,0.0,0.0,6.0,6.0,6.0,0.0,6.0,0.0,0.0,0.0,6.0,62.0,8.0,36.0,23.0,12.0,18.0,16.0,23.0,17.0,6.0,1.0,1.0,1.0,1.0,0.0,0.5,6.0,6.0,6.0,6.0,0.0,0
