index,File,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,Bugs
396,hoomd_module.cc,2.0,24.0,1.0,67.0,533.0,114.0,1.0,1.0,1.0,1.0,27.0,2.0,15.0,1.0,0.0,14.0,710.0,53.0,220.0,19.0,172.0,97.0,210.0,186.0,159.0,182.0,22.0,0.0,160.0,7.0,7.0,7.0,7.0,1.0,0.44,20.0,20.0,20.0,20.0,41.0
397,ConstExternalFieldDipoleForceCompute.h,0.0,0.0,0.0,12.0,19.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,90.0,12.0,11.0,6.0,0.0,60.0,1.0,8.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.45,0.0,0.0,0.0,0.0,100.0
398,HarmonicAngleForceCompute.h,0.0,0.0,0.0,17.0,34.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,119.0,17.0,15.0,11.0,0.0,68.0,11.0,12.0,11.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.53,0.0,0.0,0.0,0.0,100.0
399,TablePotential.h,0.0,0.0,0.0,17.0,40.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,152.0,17.0,29.0,24.0,1.0,101.0,1.0,11.0,16.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.48,0.0,0.0,0.0,0.0,106.0
400,AllTripletPotentials.h,0.0,0.0,0.0,9.0,17.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,8.0,1.0,1.0,0.0,54.0,6.0,15.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,69.0
401,IMDInterface.h,0.0,0.0,0.0,17.0,48.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,145.0,17.0,39.0,35.0,5.0,92.0,1.0,9.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,93.0
402,POSDumpWriter.h,0.0,5.0,0.0,15.0,31.0,70.0,1.0,1.0,1.0,1.0,5.0,0.0,5.0,0.0,1.0,2.0,110.0,15.0,24.0,13.0,3.0,70.0,0.0,7.0,14.0,16.0,13.0,0.0,3.0,1.0,1.0,1.0,1.0,0.0,2.92,2.0,2.0,2.0,2.0,105.0
403,DCDDumpWriter.h,0.0,4.0,0.0,23.0,56.0,101.0,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,3.0,165.0,23.0,45.0,32.0,4.0,101.0,1.0,11.0,28.0,31.0,28.0,0.0,3.0,1.0,1.0,1.0,1.0,0.0,2.24,3.0,3.0,3.0,3.0,105.0
404,CallbackAnalyzer.h,0.0,0.0,0.0,13.0,22.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,98.0,13.0,11.0,7.0,0.0,63.0,1.0,11.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.73,0.0,0.0,0.0,0.0,89.0
405,TwoStepBD.h,0.0,0.0,0.0,10.0,21.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,95.0,10.0,14.0,11.0,0.0,65.0,1.0,7.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.64,0.0,0.0,0.0,0.0,100.0
406,TempRescaleUpdater.h,0.0,0.0,0.0,13.0,25.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,101.0,13.0,14.0,10.0,0.0,65.0,1.0,11.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.64,0.0,0.0,0.0,0.0,100.0
407,EvaluatorTersoff.h,3.0,16.0,4.0,51.0,243.0,149.0,2.0,2.0,2.0,1.0,23.0,3.0,16.0,4.0,1.0,12.0,417.0,51.0,227.0,137.0,121.0,149.0,2.0,16.0,139.0,160.0,113.0,0.0,47.0,4.0,4.0,5.0,1.0,2.0,0.66,20.0,20.0,25.0,12.0,76.0
408,AllExternalPotentials.h,0.0,0.0,0.0,13.0,34.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,12.0,9.0,9.0,0.0,55.0,13.0,16.0,9.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.11,0.0,0.0,0.0,0.0,55.0
409,Messenger.h,0.0,4.0,0.0,64.0,179.0,231.0,1.0,1.0,1.0,1.0,5.0,0.0,4.0,0.0,1.0,14.0,451.0,44.0,89.0,42.0,15.0,199.0,110.0,26.0,43.0,57.0,42.0,0.0,15.0,2.0,2.0,2.0,1.0,0.0,2.24,15.0,15.0,15.0,14.0,102.0
411,TwoStepBDGPU.h,0.0,1.0,0.0,12.0,23.0,63.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,96.0,12.0,16.0,12.0,0.0,63.0,1.0,7.0,7.0,7.0,7.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,3.94,1.0,1.0,1.0,1.0,100.0
412,TwoStepBerendsenGPU.h,0.0,1.0,0.0,11.0,22.0,60.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,91.0,11.0,15.0,11.0,0.0,60.0,1.0,7.0,7.0,7.0,7.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,4.0,1.0,1.0,1.0,1.0,93.0
413,TwoStepNVERigidGPU.h,0.0,1.0,0.0,12.0,16.0,62.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,89.0,12.0,9.0,6.0,0.0,62.0,1.0,7.0,6.0,6.0,6.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,6.89,1.0,1.0,1.0,1.0,18.0
414,TwoStepNPHRigidGPU.h,0.0,1.0,0.0,15.0,41.0,76.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,117.0,15.0,34.0,30.0,2.0,76.0,1.0,7.0,20.0,20.0,20.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,2.24,1.0,1.0,1.0,1.0,18.0
415,CGCMMForceComputeGPU.h,0.0,0.0,0.0,15.0,24.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,104.0,15.0,14.0,10.0,0.0,67.0,1.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.79,0.0,0.0,0.0,0.0,95.0
416,CGCMMAngleForceComputeGPU.h,0.0,6.0,0.0,13.0,31.0,78.0,1.0,1.0,1.0,1.0,6.0,0.0,6.0,0.0,1.0,1.0,118.0,13.0,20.0,11.0,3.0,78.0,1.0,11.0,13.0,14.0,11.0,0.0,3.0,1.0,1.0,1.0,1.0,0.0,3.9,1.0,1.0,1.0,1.0,108.0
417,FIREEnergyMinimizerRigidGPU.h,0.0,1.0,0.0,15.0,25.0,69.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,102.0,15.0,17.0,12.0,1.0,69.0,1.0,8.0,11.0,12.0,12.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,4.06,1.0,1.0,1.0,1.0,18.0
418,SFCPackUpdaterGPU.h,0.0,0.0,0.0,21.0,33.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.0,4.0,0.0,0.0,0.0,53.0,58.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0
419,EAMForceComputeGPU.h,0.0,6.0,0.0,15.0,30.0,71.0,1.0,1.0,1.0,1.0,6.0,0.0,6.0,0.0,1.0,1.0,112.0,15.0,19.0,10.0,3.0,71.0,1.0,11.0,12.0,13.0,10.0,0.0,3.0,1.0,1.0,1.0,1.0,0.0,3.74,1.0,1.0,1.0,1.0,111.0
420,PPPMForceComputeGPU.h,0.0,4.0,0.0,15.0,31.0,76.0,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,1.0,119.0,15.0,19.0,12.0,1.0,76.0,1.0,12.0,10.0,11.0,10.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,4.0,1.0,1.0,1.0,1.0,119.0
422,LoadBalancer.h,0.0,0.0,0.0,33.0,95.0,124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,232.0,4.0,0.0,0.0,0.0,53.0,172.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0
423,SignalHandler.h,0.0,0.0,0.0,8.0,9.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,8.0,2.0,1.0,0.0,57.0,1.0,7.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.5,0.0,0.0,0.0,0.0,55.0
