index,File,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,keyword_bugs,fastread_bugs
35,Autotuner.cc,4.0,35.0,6.0,44.0,256.0,111.0,5.0,5.0,5.0,1.0,45.0,4.0,26.0,5.0,0.0,7.0,411.0,43.0,186.0,37.0,98.0,108.0,50.0,25.0,79.0,114.0,21.0,0.0,93.0,11.0,11.0,11.0,1.0,5.0,0.58,33.0,33.0,33.0,7.0,91.0,64
36,Autotuner.h,0.0,8.0,0.0,30.0,107.0,137.0,2.0,2.0,2.0,1.0,8.0,0.0,8.0,0.0,1.0,6.0,253.0,30.0,94.0,50.0,20.0,135.0,3.0,11.0,39.0,48.0,31.0,0.0,17.0,3.0,3.0,3.0,1.0,2.0,1.44,9.0,9.0,9.0,6.0,93.0,66
37,HOOMDMPI.h,0.0,0.0,0.0,65.0,246.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,404.0,4.0,0.0,0.0,0.0,59.0,338.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.0,96
41,BondedGroupData.h,0.0,5.0,0.0,126.0,446.0,289.0,1.0,1.0,1.0,1.0,5.0,0.0,5.0,0.0,1.0,45.0,812.0,124.0,334.0,152.0,86.0,263.0,87.0,46.0,157.0,207.0,135.0,0.0,72.0,2.0,2.0,2.0,1.0,1.0,0.79,49.0,49.0,49.0,45.0,164.0,116
42,Profiler.h,2.0,10.0,2.0,45.0,118.0,125.0,1.0,1.0,1.0,1.0,15.0,2.0,6.0,2.0,2.0,5.0,278.0,45.0,69.0,44.0,18.0,121.0,18.0,39.0,42.0,47.0,36.0,0.0,11.0,1.0,1.0,1.0,1.0,0.0,1.75,5.0,5.0,5.0,5.0,99.0,69
43,CachedAllocator.h,0.0,0.0,0.0,47.0,133.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,269.0,5.0,0.0,0.0,0.0,56.0,203.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,63
48,test_fire_energy_minimizer.cc,5.0,27.0,2.0,54.0,459.0,67.0,3.0,3.0,3.0,2.0,33.0,5.0,27.0,2.0,0.0,6.0,580.0,53.0,430.0,337.0,380.0,64.0,17.0,17.0,132.0,152.0,73.0,0.0,79.0,7.0,7.0,7.0,4.0,3.0,0.15,18.0,18.0,18.0,13.0,130.0,89
49,FIREEnergyMinimizer.h,0.0,2.0,0.0,26.0,53.0,103.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,1.0,7.0,164.0,26.0,45.0,36.0,9.0,103.0,1.0,8.0,37.0,44.0,36.0,0.0,8.0,1.0,1.0,1.0,1.0,0.0,2.29,7.0,7.0,7.0,7.0,100.0,71
50,FIREEnergyMinimizerGPU.h,0.0,1.0,0.0,15.0,28.0,72.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,106.0,15.0,20.0,15.0,0.0,72.0,1.0,8.0,14.0,15.0,15.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,3.6,1.0,1.0,1.0,1.0,100.0,71
51,AllPairPotentials.h,0.0,0.0,0.0,12.0,56.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.0,11.0,14.0,14.0,0.0,67.0,34.0,28.0,14.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.79,0.0,0.0,0.0,0.0,71.0,54
52,NeighborList.h,0.0,5.0,0.0,81.0,213.0,268.0,1.0,1.0,1.0,1.0,5.0,0.0,5.0,0.0,1.0,22.0,521.0,80.0,179.0,98.0,32.0,258.0,21.0,23.0,101.0,125.0,95.0,0.0,30.0,2.0,2.0,2.0,1.0,1.0,1.44,23.0,23.0,24.0,22.0,159.0,109
53,ComputeThermo.h,1.0,12.0,1.0,31.0,122.0,115.0,1.0,1.0,1.0,1.0,14.0,1.0,10.0,1.0,1.0,7.0,263.0,30.0,88.0,31.0,31.0,113.0,11.0,26.0,43.0,53.0,29.0,0.0,24.0,2.0,2.0,2.0,1.0,1.0,1.28,10.0,10.0,10.0,7.0,118.0,82
54,boost_utf_configure.h,0.0,0.0,0.0,15.0,22.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.0,15.0,3.0,3.0,3.0,81.0,1.0,19.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,166.0,124
55,test_nvt_integrator_mpi.cc,19.0,83.0,8.0,47.0,196.0,66.0,12.0,12.0,12.0,1.0,109.0,19.0,76.0,8.0,0.0,2.0,309.0,47.0,153.0,48.0,104.0,65.0,20.0,29.0,105.0,130.0,49.0,0.0,81.0,23.0,23.0,23.0,1.0,5.0,0.42,24.0,24.0,24.0,2.0,37.0,28
56,System.h,0.0,8.0,0.0,81.0,224.0,225.0,2.0,2.0,2.0,1.0,9.0,0.0,8.0,0.0,1.0,14.0,495.0,79.0,196.0,92.0,54.0,220.0,14.0,21.0,108.0,130.0,84.0,0.0,46.0,5.0,5.0,5.0,1.0,3.0,1.12,22.0,22.0,22.0,14.0,116.0,83
57,TwoStepNVT.h,0.0,5.0,0.0,19.0,50.0,88.0,1.0,1.0,1.0,1.0,5.0,0.0,5.0,0.0,1.0,3.0,150.0,19.0,37.0,23.0,7.0,86.0,3.0,11.0,19.0,22.0,18.0,0.0,4.0,1.0,1.0,1.0,1.0,0.0,2.32,3.0,3.0,3.0,3.0,41.0,31
58,IntegratorTwoStep.h,0.0,0.0,0.0,24.0,35.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,144.0,24.0,24.0,20.0,0.0,87.0,5.0,10.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.62,0.0,0.0,0.0,0.0,137.0,95
59,NeighborListBinned.h,0.0,0.0,0.0,13.0,23.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,99.0,13.0,15.0,11.0,1.0,64.0,1.0,8.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.27,0.0,0.0,0.0,0.0,117.0,82
60,RandomGenerator.h,0.0,2.0,0.0,40.0,124.0,186.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,4.0,8.0,311.0,40.0,111.0,84.0,5.0,186.0,1.0,13.0,66.0,74.0,72.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,1.68,8.0,8.0,8.0,8.0,107.0,74
62,Communicator.h,0.0,0.0,0.0,107.0,318.0,370.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,724.0,3.0,0.0,0.0,0.0,53.0,667.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,212.0,152
63,CellListGPU.h,0.0,4.0,0.0,13.0,25.0,66.0,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,2.0,102.0,13.0,17.0,8.0,3.0,66.0,1.0,8.0,10.0,11.0,8.0,0.0,3.0,1.0,1.0,1.0,1.0,0.0,3.88,2.0,2.0,2.0,2.0,131.0,95
64,NeighborListGPUBinned.h,0.0,5.0,0.0,21.0,47.0,84.0,1.0,1.0,1.0,1.0,5.0,0.0,5.0,0.0,1.0,2.0,142.0,21.0,38.0,26.0,5.0,84.0,1.0,9.0,25.0,27.0,23.0,0.0,4.0,1.0,1.0,1.0,1.0,0.0,2.21,2.0,2.0,2.0,2.0,137.0,95
65,TwoStepNVTGPU.h,0.0,5.0,0.0,14.0,34.0,73.0,1.0,1.0,1.0,1.0,5.0,0.0,5.0,0.0,1.0,2.0,117.0,14.0,26.0,15.0,6.0,73.0,1.0,8.0,14.0,15.0,10.0,0.0,5.0,1.0,1.0,1.0,1.0,0.0,2.81,2.0,2.0,2.0,2.0,21.0,18
66,ComputeThermoGPU.h,0.0,0.0,0.0,11.0,26.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,97.0,11.0,16.0,12.0,1.0,64.0,3.0,9.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,113.0,79
67,CommunicatorGPU.h,0.0,0.0,0.0,59.0,126.0,178.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,293.0,4.0,0.0,0.0,0.0,54.0,232.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.0,116
68,TwoStepBDNVT.cc,4.0,20.0,3.0,45.0,168.0,93.0,3.0,3.0,3.0,1.0,27.0,4.0,19.0,3.0,0.0,8.0,306.0,45.0,153.0,49.0,92.0,93.0,6.0,10.0,84.0,110.0,43.0,0.0,67.0,11.0,11.0,11.0,1.0,3.0,0.61,25.0,25.0,26.0,8.0,17.0,11
69,TwoStepBDNVT.h,0.0,4.0,0.0,18.0,45.0,84.0,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,2.0,138.0,18.0,36.0,25.0,3.0,84.0,1.0,9.0,20.0,22.0,20.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,2.33,2.0,2.0,2.0,2.0,16.0,11
70,System.cc,3.0,17.0,3.0,136.0,557.0,264.0,3.0,3.0,3.0,1.0,22.0,3.0,14.0,2.0,0.0,32.0,956.0,133.0,462.0,92.0,270.0,248.0,81.0,34.0,235.0,337.0,89.0,1.0,247.0,27.0,27.0,32.0,12.0,4.0,0.54,100.0,100.0,105.0,47.0,124.0,84
71,SignalHandler.h,0.0,0.0,0.0,8.0,9.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,8.0,2.0,1.0,0.0,57.0,1.0,7.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.5,0.0,0.0,0.0,0.0,55.0,41
74,ForceConstraint.cc,0.0,4.0,0.0,10.0,17.0,57.0,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,0.0,3.0,84.0,10.0,15.0,5.0,3.0,57.0,0.0,2.0,3.0,8.0,5.0,0.0,3.0,1.0,1.0,1.0,1.0,0.0,3.8,3.0,3.0,3.0,3.0,89.0,63
75,ForceConstraint.h,0.0,4.0,0.0,12.0,20.0,62.0,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,1.0,94.0,12.0,12.0,5.0,1.0,62.0,1.0,8.0,5.0,6.0,5.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,5.17,1.0,1.0,1.0,1.0,93.0,66
76,EvaluatorPairMorse.h,0.0,4.0,0.0,17.0,56.0,106.0,1.0,1.0,1.0,1.0,5.0,0.0,4.0,0.0,1.0,7.0,173.0,17.0,42.0,20.0,15.0,106.0,1.0,14.0,19.0,28.0,18.0,0.0,10.0,3.0,3.0,3.0,1.0,2.0,2.52,9.0,9.0,9.0,7.0,62.0,47
77,BondTablePotential.h,0.0,0.0,0.0,16.0,43.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,148.0,16.0,24.0,20.0,1.0,92.0,11.0,12.0,14.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.83,0.0,0.0,0.0,0.0,100.0,72
78,VectorMath.h,0.0,5.0,0.0,118.0,529.0,630.0,1.0,1.0,1.0,1.0,5.0,0.0,5.0,0.0,0.0,84.0,1264.0,118.0,518.0,197.0,172.0,630.0,1.0,11.0,155.0,239.0,111.0,0.0,128.0,1.0,1.0,3.0,1.0,0.0,1.22,84.0,84.0,90.0,84.0,133.0,95
